cohort,outcome_id,analysis_family,age_floor,outcome_coding_status,median_age,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value
elsa,mortality,age_floor,60,PASS_SOURCE_STATUS,69.0,28927,8865,509,28418,19,19,5725,161,5564,427,21,406,PASS,,loss_1,risk_ratio,1.7853348906431084,0.09529030083583984,1.4811820533984208,2.1519438913227638,1.1830154314415564e-09
elsa,mortality,age_floor,60,PASS_SOURCE_STATUS,69.0,28927,8865,509,28418,19,19,5725,161,5564,427,21,406,PASS,,loss_2plus,risk_ratio,3.547408653638746,0.22678772466527006,2.27441211435855,5.532905877728384,2.360361868837037e-08
elsa,mortality,age_floor,65,PASS_SOURCE_STATUS,72.0,20952,6979,461,20491,19,19,4069,146,3923,293,18,275,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
elsa,mortality,age_floor,70,PASS_SOURCE_STATUS,76.0,13770,4951,393,13377,19,19,2663,126,2537,188,13,175,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
elsa,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,68.0,23018,7512,2200,20818,19,19,4172,528,3644,290,48,242,PASS,,loss_1,risk_ratio,1.473495893707875,0.04752947532269894,1.342430365248178,1.6173577453103698,3.470668510154106e-16
elsa,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,68.0,23018,7512,2200,20818,19,19,4172,528,3644,290,48,242,PASS,,loss_2plus,risk_ratio,2.0757354525277796,0.14185995558346448,1.5718843491325103,2.7410907623442995,2.6307604290979146e-07
elsa,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,16217,5782,1790,14427,19,19,2823,424,2399,194,39,155,PASS,,loss_1,risk_ratio,1.4920854797383836,0.05243141597252933,1.3463686848925602,1.6535731288371298,2.3051687344280513e-14
elsa,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,16217,5782,1790,14427,19,19,2823,424,2399,194,39,155,PASS,,loss_2plus,risk_ratio,2.243520095231405,0.15546649566902132,1.6542328575258727,3.0427290781995664,2.0192372157617497e-07
elsa,incident_any_adl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,10238,3986,1359,8879,19,19,1745,332,1413,116,24,92,PASS,,loss_1,risk_ratio,1.5286487682691796,0.058089167927275316,1.3641499810625617,1.7129839747611395,2.7575093724306394e-13
elsa,incident_any_adl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,10238,3986,1359,8879,19,19,1745,332,1413,116,24,92,PASS,,loss_2plus,risk_ratio,1.9189012418511848,0.19848425993992283,1.3004765203018205,2.8314098090163453,0.0010247225750290826
elsa,incident_any_iadl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,25533,7910,1402,24131,19,19,4747,373,4374,329,34,295,PASS,,loss_1,risk_ratio,1.7117126877559545,0.05873597715882916,1.5255790474484683,1.9205562178669626,5.639546814483532e-20
elsa,incident_any_iadl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,25533,7910,1402,24131,19,19,4747,373,4374,329,34,295,PASS,,loss_2plus,risk_ratio,2.742009258665779,0.1747133355953013,1.9469403953942725,3.8617590925716403,7.768511693254363e-09
elsa,incident_any_iadl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,18233,6137,1197,17036,19,19,3261,318,2943,220,27,193,PASS,,loss_1,risk_ratio,1.7275957760125065,0.0631212298902578,1.526557774020777,1.9551092111209107,4.651964433477351e-18
elsa,incident_any_iadl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,18233,6137,1197,17036,19,19,3261,318,2943,220,27,193,PASS,,loss_2plus,risk_ratio,2.6775805719614114,0.1974138211049444,1.8184593574552506,3.94258892284406,6.066709398461878e-07
elsa,incident_any_iadl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,11722,4284,971,10751,19,19,2042,265,1777,135,19,116,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
elsa,multimorbidity_progression,age_floor,60,PASS_STRICT_COMMON_SIX,69.0,27484,8313,3652,23832,19,19,5346,750,4596,389,65,324,PASS,,loss_1,risk_ratio,1.1366526137660313,0.03959811498091814,1.0517724199608394,1.2283828134885444,0.0012177473059181948
elsa,multimorbidity_progression,age_floor,60,PASS_STRICT_COMMON_SIX,69.0,27484,8313,3652,23832,19,19,5346,750,4596,389,65,324,PASS,,loss_2plus,risk_ratio,1.4445596194773904,0.11621297018894025,1.1503097769947965,1.8140787255380362,0.0015512669801707672
elsa,multimorbidity_progression,age_floor,65,PASS_STRICT_COMMON_SIX,72.0,19785,6499,2774,17011,19,19,3748,567,3181,262,37,225,PASS,,loss_1,risk_ratio,1.1524465705971392,0.04518302966476972,1.054777690048317,1.2591592622899221,0.001687893500151643
elsa,multimorbidity_progression,age_floor,65,PASS_STRICT_COMMON_SIX,72.0,19785,6499,2774,17011,19,19,3748,567,3181,262,37,225,PASS,,loss_2plus,risk_ratio,1.1342511964480442,0.15439465756132997,0.8380854004665049,1.5350771841720412,0.4145495771454948
elsa,multimorbidity_progression,age_floor,70,PASS_STRICT_COMMON_SIX,76.0,12900,4579,1923,10977,19,19,2418,389,2029,168,30,138,PASS,,loss_1,risk_ratio,1.1576095370503412,0.05407489558117397,1.0411983267894525,1.2870361061777689,0.006798359346495719
elsa,multimorbidity_progression,age_floor,70,PASS_STRICT_COMMON_SIX,76.0,12900,4579,1923,10977,19,19,2418,389,2029,168,30,138,PASS,,loss_2plus,risk_ratio,1.3716863265608807,0.16870771542721744,0.9854861877696878,1.9092336369850809,0.061026385065181994
