cohort,outcome_id,analysis_family,age_floor,outcome_coding_status,median_age,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value
hrs,mortality,age_floor,60,PASS_SOURCE_STATUS,71.0,72785,21202,4554,68231,19,19,19936,1895,18041,2246,288,1958,PASS,,loss_1,risk_ratio,1.7176908014979833,0.028997752108896362,1.6227890127125084,1.8181425104789548,1.1296037847440857e-77
hrs,mortality,age_floor,60,PASS_SOURCE_STATUS,71.0,72785,21202,4554,68231,19,19,19936,1895,18041,2246,288,1958,PASS,,loss_2plus,risk_ratio,3.3540141617107047,0.061949570993114114,2.97052575110571,3.7870100916541882,5.582009651298751e-85
hrs,mortality,age_floor,65,PASS_SOURCE_STATUS,74.0,55694,17046,4224,51470,19,19,15535,1761,13774,1694,264,1430,PASS,,loss_1,risk_ratio,1.7037679581133074,0.029837466721685437,1.6069884254611795,1.8063759571015734,2.4973875753982722e-71
hrs,mortality,age_floor,65,PASS_SOURCE_STATUS,74.0,55694,17046,4224,51470,19,19,15535,1761,13774,1694,264,1430,PASS,,loss_2plus,risk_ratio,3.363274434758759,0.06399139743718589,2.966830464450996,3.8126933975632578,4.065832586896911e-80
hrs,mortality,age_floor,70,PASS_SOURCE_STATUS,77.0,39979,13133,3728,36251,19,19,11317,1571,9746,1226,217,1009,PASS,,loss_1,risk_ratio,1.6864396390703265,0.031316297659002915,1.58604067424736,1.7931940223268752,1.591217388633802e-62
hrs,mortality,age_floor,70,PASS_SOURCE_STATUS,77.0,39979,13133,3728,36251,19,19,11317,1571,9746,1226,217,1009,PASS,,loss_2plus,risk_ratio,3.068866445118108,0.06895177767669679,2.6809340405078808,3.5129328493988985,1.8301707245726876e-59
hrs,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,70.0,54427,17198,5028,49399,19,19,13419,1663,11756,1396,195,1201,PASS,,loss_1,risk_ratio,1.4550521136887091,0.02852860870669567,1.3759256042298453,1.5387290177909287,1.7903343912835612e-39
hrs,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,70.0,54427,17198,5028,49399,19,19,13419,1663,11756,1396,195,1201,PASS,,loss_2plus,risk_ratio,2.040885047530725,0.07172325615586098,1.7732403191118618,2.348926838817121,2.6164100291724378e-23
hrs,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,73.0,40975,13692,4189,36786,19,19,10164,1389,8775,1028,162,866,PASS,,loss_1,risk_ratio,1.4660774409571704,0.031058977816161935,1.3794928737167491,1.558096532309349,7.229773003169858e-35
hrs,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,73.0,40975,13692,4189,36786,19,19,10164,1389,8775,1028,162,866,PASS,,loss_2plus,risk_ratio,2.1261487885122534,0.07797923000117674,1.824809832646697,2.477249185103083,3.9175196630999333e-22
