cohort,outcome_id,analysis_family,age_floor,outcome_coding_status,median_age,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value
klosa,mortality,age_floor,60,PASS_SOURCE_STATUS,70.0,17193,5827,611,16582,17,17,5018,277,4741,400,32,368,PASS,,loss_1,risk_ratio,1.8246649356698341,0.08201942302959343,1.5537032239287687,2.14288164958821,2.2612566900123406e-13
klosa,mortality,age_floor,60,PASS_SOURCE_STATUS,70.0,17193,5827,611,16582,17,17,5018,277,4741,400,32,368,PASS,,loss_2plus,risk_ratio,3.6251169677972195,0.1951491228529023,2.472924114238872,5.31414326648517,4.125479144679161e-11
klosa,mortality,age_floor,65,PASS_SOURCE_STATUS,73.0,12618,4517,567,12051,17,17,3840,259,3581,311,28,283,PASS,,loss_1,risk_ratio,1.7648418917460007,0.08421161962128833,1.4963209047748174,2.081550082554204,1.5235598195372657e-11
klosa,mortality,age_floor,65,PASS_SOURCE_STATUS,73.0,12618,4517,567,12051,17,17,3840,259,3581,311,28,283,PASS,,loss_2plus,risk_ratio,3.2001520688588254,0.20409464619775708,2.145087135594977,4.774152571187234,1.2029444195308765e-08
klosa,mortality,age_floor,70,PASS_SOURCE_STATUS,76.0,8694,3391,515,8179,17,17,2776,241,2535,216,24,192,PASS,,loss_1,risk_ratio,1.748118321937393,0.08800939951464988,1.4711504466702614,2.0772298811517476,2.2045870214446138e-10
klosa,mortality,age_floor,70,PASS_SOURCE_STATUS,76.0,8694,3391,515,8179,17,17,2776,241,2535,216,24,192,PASS,,loss_2plus,risk_ratio,2.86117610152411,0.21796667932072858,1.8664270286312619,4.386096299696282,1.4148178968880381e-06
klosa,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,16129,5498,348,15781,17,17,4517,138,4379,334,13,321,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
klosa,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,11679,4217,328,11351,17,17,3380,133,3247,254,10,244,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
klosa,incident_any_adl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,7878,3104,290,7588,17,17,2357,122,2235,168,8,160,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
klosa,incident_any_iadl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,15177,5334,857,14320,17,17,4194,297,3897,301,18,283,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
klosa,incident_any_iadl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,10900,4065,762,10138,17,17,3106,274,2832,231,17,214,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
klosa,incident_any_iadl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,7285,2976,658,6627,17,17,2133,241,1892,151,16,135,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
klosa,multimorbidity_progression,age_floor,60,PASS_STRICT_COMMON_SIX,69.0,16408,5574,1629,14779,17,17,4678,448,4230,362,33,329,PASS,,loss_1,risk_ratio,0.9973755305123528,0.05414938883520304,0.8969467606619224,1.1090490455985291,0.9612931259956792
klosa,multimorbidity_progression,age_floor,60,PASS_STRICT_COMMON_SIX,69.0,16408,5574,1629,14779,17,17,4678,448,4230,362,33,329,PASS,,loss_2plus,risk_ratio,0.9571327290089747,0.17353568035843425,0.6811744161831162,1.3448876516435357,0.80067489986409
klosa,multimorbidity_progression,age_floor,65,PASS_STRICT_COMMON_SIX,73.0,11933,4289,1231,10702,17,17,3532,347,3185,279,25,254,PASS,,loss_1,risk_ratio,0.9825533583104975,0.06184261966279248,0.8703934438510328,1.1091663301779953,0.7759479047716713
klosa,multimorbidity_progression,age_floor,65,PASS_STRICT_COMMON_SIX,73.0,11933,4289,1231,10702,17,17,3532,347,3185,279,25,254,PASS,,loss_2plus,risk_ratio,0.8903377208578696,0.19988003260324394,0.6017506682994985,1.3173250964930359,0.5611591012075129
klosa,multimorbidity_progression,age_floor,70,PASS_STRICT_COMMON_SIX,76.0,8100,3178,845,7255,17,17,2497,236,2261,188,19,169,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,
