cohort,outcome_id,analysis_family,age_floor,outcome_coding_status,median_age,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value
share,mortality,age_floor,60,PASS_SOURCE_STATUS,70.0,43677,30506,1917,41760,16,16,11085,794,10291,1276,140,1136,PASS,,loss_1,risk_ratio,1.8963378058484925,0.04705283666727371,1.729275769246572,2.0795393874379324,3.9973857464262914e-42
share,mortality,age_floor,60,PASS_SOURCE_STATUS,70.0,43677,30506,1917,41760,16,16,11085,794,10291,1276,140,1136,PASS,,loss_2plus,risk_ratio,3.4691392287523577,0.09420008951049447,2.8842869725782583,4.172583069191103,8.216547716659946e-40
share,mortality,age_floor,65,PASS_SOURCE_STATUS,73.0,33329,24002,1767,31562,16,16,8600,747,7853,972,125,847,PASS,,loss_1,risk_ratio,1.91827230114684,0.048807907034564155,1.743270937809209,2.1108414885706783,1.23798288960622e-40
share,mortality,age_floor,65,PASS_SOURCE_STATUS,73.0,33329,24002,1767,31562,16,16,8600,747,7853,972,125,847,PASS,,loss_2plus,risk_ratio,3.391430278845774,0.09932347930723276,2.791506184706726,4.120284382418554,9.5525172279747e-35
share,mortality,age_floor,70,PASS_SOURCE_STATUS,76.0,22744,16840,1526,21218,16,16,5961,658,5303,661,110,551,PASS,,loss_1,risk_ratio,1.8914082629302469,0.05204208769616788,1.707996500897928,2.0945155421571937,1.7589317012922494e-34
share,mortality,age_floor,70,PASS_SOURCE_STATUS,76.0,22744,16840,1526,21218,16,16,5961,658,5303,661,110,551,PASS,,loss_2plus,risk_ratio,3.385465662613157,0.10507799927754985,2.755344194418678,4.159690022012246,3.860466490076636e-31
share,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,31923,22735,2368,29555,16,16,7431,738,6693,773,77,696,PASS,,loss_1,risk_ratio,1.5264315107710655,0.04368582886863446,1.401173379959998,1.6628871133287992,3.6232144369455865e-22
share,incident_any_adl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,31923,22735,2368,29555,16,16,7431,738,6693,773,77,696,PASS,,loss_2plus,risk_ratio,1.8239082261178607,0.11374764497138667,1.459421739294416,2.2794241909187445,1.2676385351144006e-07
share,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,24036,17681,2067,21969,16,16,5559,643,4916,556,63,493,PASS,,loss_1,risk_ratio,1.5219313959825727,0.04634711177803022,1.3897745137202353,1.6666553827333561,1.285204409715876e-19
share,incident_any_adl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,24036,17681,2067,21969,16,16,5559,643,4916,556,63,493,PASS,,loss_2plus,risk_ratio,1.7591801863933552,0.12388341196918264,1.3799411752124493,2.242642645779819,5.127263926443569e-06
share,incident_any_adl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,15837,12018,1647,14190,16,16,3582,528,3054,329,43,286,PASS,,loss_1,risk_ratio,1.5594560571659324,0.050917598780695794,1.4113411455367337,1.7231150681904492,2.624632635285126e-18
share,incident_any_adl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,15837,12018,1647,14190,16,16,3582,528,3054,329,43,286,PASS,,loss_2plus,risk_ratio,1.597866869431233,0.14669406111142158,1.1986002967295148,2.1301334059340205,0.0013989027669698412
share,incident_any_iadl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,33008,23329,1955,31053,16,16,7657,569,7088,831,94,737,PASS,,loss_1,risk_ratio,1.4361552732465974,0.0481542551095513,1.3068099151480044,1.5783029689060886,5.610031817419905e-14
share,incident_any_iadl,age_floor,60,PASS_STRICT_COMPLETE_ITEM_COUNTS,69.0,33008,23329,1955,31053,16,16,7657,569,7088,831,94,737,PASS,,loss_2plus,risk_ratio,2.8046712322905916,0.10404625727181663,2.287271008051547,3.4391118033447956,3.698981655605275e-23
share,incident_any_iadl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,24869,18157,1784,23085,16,16,5706,515,5191,599,77,522,PASS,,loss_1,risk_ratio,1.4062279583487087,0.049932727425546705,1.2751254493033033,1.5508098218273518,8.646482994735764e-12
share,incident_any_iadl,age_floor,65,PASS_STRICT_COMPLETE_ITEM_COUNTS,72.0,24869,18157,1784,23085,16,16,5706,515,5191,599,77,522,PASS,,loss_2plus,risk_ratio,2.49242592473004,0.11177942733001586,2.002052393974686,3.1029092989586076,3.0796480437220167e-16
share,incident_any_iadl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,16410,12363,1543,14867,16,16,3663,456,3207,361,61,300,PASS,,loss_1,risk_ratio,1.4223826593190494,0.0527830124737651,1.28258887142067,1.5774130546529281,2.4701551386723712e-11
share,incident_any_iadl,age_floor,70,PASS_STRICT_COMPLETE_ITEM_COUNTS,75.0,16410,12363,1543,14867,16,16,3663,456,3207,361,61,300,PASS,,loss_2plus,risk_ratio,2.2694344207473196,0.12253625187043936,1.7849028823902362,2.8854973796533407,2.2613780765143302e-11
share,multimorbidity_progression,age_floor,60,PASS_STRICT_COMMON_SIX,70.0,35275,24773,7422,27853,16,16,8718,1909,6809,964,227,737,PASS,,loss_1,risk_ratio,1.1138320466313216,0.024268748006448963,1.0620919405085867,1.1680926865039971,8.90483106770017e-06
share,multimorbidity_progression,age_floor,60,PASS_STRICT_COMMON_SIX,70.0,35275,24773,7422,27853,16,16,8718,1909,6809,964,227,737,PASS,,loss_2plus,risk_ratio,1.2746530269563117,0.06009133490851957,1.1330319188777294,1.4339757883769038,5.381260302637127e-05
share,multimorbidity_progression,age_floor,65,PASS_STRICT_COMMON_SIX,73.0,26895,19470,5916,20979,16,16,6673,1507,5166,715,174,541,PASS,,loss_1,risk_ratio,1.0973558808010393,0.02718649288333725,1.0404142951276438,1.157413863657927,0.0006325290014499654
share,multimorbidity_progression,age_floor,65,PASS_STRICT_COMMON_SIX,73.0,26895,19470,5916,20979,16,16,6673,1507,5166,715,174,541,PASS,,loss_2plus,risk_ratio,1.2591123085458191,0.06821568208366029,1.101537218465946,1.4392285425811,0.0007311486029176339
share,multimorbidity_progression,age_floor,70,PASS_STRICT_COMMON_SIX,76.0,18173,13551,4148,14025,16,16,4516,1069,3447,462,114,348,PASS,,loss_1,risk_ratio,1.111403064266168,0.031879584081593824,1.0440844764643902,1.1830620980431337,0.0009223705668252804
share,multimorbidity_progression,age_floor,70,PASS_STRICT_COMMON_SIX,76.0,18173,13551,4148,14025,16,16,4516,1069,3447,462,114,348,PASS,,loss_2plus,risk_ratio,1.2330329425091955,0.08377601289735419,1.0463197142949003,1.453064695753573,0.012403894373503347
