outcome_id,context_id,model_id,state_adjustment,term,k_cohorts,cohorts,cohort_estimates,n_total,not_evaluable,pooled_estimate,ci_low,ci_high,prediction_low,prediction_high,i2,tau2
incident_any_adl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_1,3,elsa;hrs;share,elsa:1.2773;hrs:1.2306;share:1.1132,63818,,1.1910846023081416,1.0009106936547825,1.4173917202096082,0.7125957293954517,1.9908658883756134,0.0,4.2300630066830894e-13
incident_any_adl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_2plus,3,elsa;hrs;share,elsa:1.7275;hrs:1.8285;share:1.0675,63818,,1.4757685412827448,0.690502995497124,3.1540671099794975,0.029978569246379688,72.64832319183508,64.05475219278962,0.06287864789280415
incident_any_adl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,loss_1,3,elsa;hrs;share,elsa:1.4828;hrs:1.3821;share:1.5169,63818,,1.4597061608202218,1.2846572416557993,1.658607453292514,0.9114872203599342,2.337654361292207,2.6462451887849086,0.0004921046713619754
incident_any_adl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,loss_2plus,3,elsa;hrs;share,elsa:2.0866;hrs:2.0962;share:1.8454,63818,,1.983258063390741,1.6395371905305962,2.399038319302456,1.1305277609831395,3.4791826275755233,0.0,4.2300630066830894e-13
incident_any_adl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,context_bmi_or_weight_loss,3,elsa;hrs;share,elsa:1.1303;hrs:1.1871;share:1.2657,63818,,1.216876563941189,1.0665842998733002,1.3883464926731226,0.8244741592548469,1.7960400034946387,0.0,4.2300630066830894e-13
incident_any_adl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_1,3,elsa;hrs;share,elsa:1.4811;hrs:1.3765;share:1.5048,63818,,1.4522842523029074,1.2827380901412582,1.6442402121657993,0.9456965328105542,2.230239274769049,0.0,0.0003073434139857893
incident_any_adl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_2plus,3,elsa;hrs;share,elsa:2.0829;hrs:2.0879;share:1.8291,63818,,1.9714126940611765,1.616425423862547,2.404359615316241,1.096869361401643,3.54323691322656,0.0,4.2300630066830894e-13
incident_any_adl,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_1,2,elsa;hrs,elsa:1.2633;hrs:1.2896,75429,,,,,,,,
incident_any_adl,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_2plus,2,elsa;hrs,elsa:1.6990;hrs:1.6988,75429,,,,,,,,
incident_any_adl,cesd_worsening,base_same_set_cesd_worsening,unconditional,loss_1,2,elsa;hrs,elsa:1.4629;hrs:1.4490,75429,,,,,,,,
incident_any_adl,cesd_worsening,base_same_set_cesd_worsening,unconditional,loss_2plus,2,elsa;hrs,elsa:2.0828;hrs:1.9854,75429,,,,,,,,
incident_any_adl,cesd_worsening,plus_cesd_worsening,unconditional,context_cesd_worsening,2,elsa;hrs,elsa:1.3210;hrs:1.3061,75429,,,,,,,,
incident_any_adl,cesd_worsening,plus_cesd_worsening,unconditional,loss_1,2,elsa;hrs,elsa:1.4385;hrs:1.4297,75429,,,,,,,,
incident_any_adl,cesd_worsening,plus_cesd_worsening,unconditional,loss_2plus,2,elsa;hrs,elsa:2.0382;hrs:1.9340,75429,,,,,,,,
incident_any_adl,fi_change,base_same_set_fi_change,current_state_held,loss_1,2,hrs;share,hrs:1.2976;share:1.1590,61886,,,,,,,,
incident_any_adl,fi_change,base_same_set_fi_change,current_state_held,loss_2plus,2,hrs;share,hrs:1.7282;share:1.0087,61886,,,,,,,,
incident_any_adl,fi_change,base_same_set_fi_change,unconditional,loss_1,2,hrs;share,hrs:1.4590;share:1.5452,61886,,,,,,,,
