cohort,domain,transition_state,n,people,deaths
charls,alcohol,0_to_0,970,970,25
charls,alcohol,0_to_1,127,127,2
charls,alcohol,1_to_0,176,176,14
charls,alcohol,1_to_1,539,539,17
charls,activity,0_to_0,207,207,12
charls,activity,0_to_1,191,191,4
charls,activity,1_to_0,469,469,24
charls,activity,1_to_1,945,945,18
charls,work,0_to_0,381,381,21
charls,work,0_to_1,155,155,1
charls,work,1_to_0,289,289,15
charls,work,1_to_1,987,987,21
elsa,alcohol,0_to_0,2178,1009,44
elsa,alcohol,0_to_1,489,454,11
elsa,alcohol,1_to_0,1353,1213,50
elsa,alcohol,1_to_1,30635,9292,479
elsa,activity,0_to_0,3340,1938,168
elsa,activity,0_to_1,2665,2338,40
elsa,activity,1_to_0,3951,3361,145
elsa,activity,1_to_1,24699,8295,231
elsa,work,0_to_0,25112,8060,520
elsa,work,0_to_1,545,514,1
elsa,work,1_to_0,2684,2548,29
elsa,work,1_to_1,6314,3012,34
hrs,alcohol,0_to_0,24816,9518,1676
hrs,alcohol,0_to_1,3751,3300,216
hrs,alcohol,1_to_0,6222,5329,745
hrs,alcohol,1_to_1,38540,12010,1957
hrs,activity,0_to_0,8193,4572,1058
hrs,activity,0_to_1,5409,4614,295
hrs,activity,1_to_0,11927,9722,1462
hrs,activity,1_to_1,47800,16026,1779
hrs,work,0_to_0,44935,15289,3896
hrs,work,0_to_1,2094,1939,47
hrs,work,1_to_0,6587,6051,300
hrs,work,1_to_1,19713,8249,351
klosa,alcohol,0_to_0,9314,3690,318
klosa,alcohol,0_to_1,206,202,5
klosa,alcohol,1_to_0,946,927,84
klosa,alcohol,1_to_1,7285,2450,207
klosa,activity,0_to_0,7042,2958,271
klosa,activity,0_to_1,1617,1461,27
klosa,activity,1_to_0,3154,2768,180
klosa,activity,1_to_1,5938,2781,136
klosa,work,0_to_0,8293,3421,407
klosa,work,0_to_1,450,434,7
klosa,work,1_to_0,1936,1825,81
klosa,work,1_to_1,7072,2749,119
mhas,alcohol,0_to_0,0,0,0
mhas,alcohol,0_to_1,0,0,0
mhas,alcohol,1_to_0,0,0,0
mhas,alcohol,1_to_1,0,0,0
mhas,activity,0_to_0,0,0,0
mhas,activity,0_to_1,0,0,0
mhas,activity,1_to_0,0,0,0
mhas,activity,1_to_1,0,0,0
mhas,work,0_to_0,0,0,0
mhas,work,0_to_1,0,0,0
mhas,work,1_to_0,0,0,0
mhas,work,1_to_1,0,0,0
share,alcohol,0_to_0,27672,18918,1306
share,alcohol,0_to_1,8634,8326,275
share,alcohol,1_to_0,8119,7831,617
share,alcohol,1_to_1,33822,20401,1156
share,activity,0_to_0,2110,1780,366
share,activity,0_to_1,2675,2629,145
share,activity,1_to_0,9015,8677,966
share,activity,1_to_1,64447,38208,1877
share,work,0_to_0,56466,34148,2974
share,work,0_to_1,2173,2134,49
share,work,1_to_0,5859,5747,158
share,work,1_to_1,13749,9571,173
