cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
charls,incident_any_adl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,966,966,153,813,12,12,392.0,72.0,320.0,PASS,,any_withdrawal,risk_ratio,1.1260929644035946,0.14453890120232643,0.8482864098285074,1.4948787930430667,0.41130093905466747,,,,,,
charls,incident_any_adl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,966,966,153,813,15,15,392.0,72.0,320.0,PASS,,any_withdrawal,risk_ratio,1.0310895455180686,0.2577438111501929,0.6221633919254622,1.7087885026254115,0.9054458288896221,,,,,,
charls,incident_any_adl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,25,25,991,991,178,813,12,12,407.0,87.0,320.0,PASS,,any_withdrawal,risk_ratio,1.1707080719889855,0.1338988782982742,0.900479190425281,1.5220311633996528,0.23916636733368946,,,,,,
charls,incident_any_adl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,25,25,991,991,178,813,15,15,407.0,87.0,320.0,PASS,,any_withdrawal,risk_ratio,0.9689000600167207,0.2381790899840352,0.6074920149996825,1.5453163220604562,0.8944723347345118,,,,,,
charls,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,966,966,153,813,13,13,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,332.0,59.0,273.0,60.0,13.0,47.0
charls,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,966,966,153,813,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,
charls,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,25,25,991,991,178,813,13,13,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,343.0,70.0,273.0,64.0,17.0,47.0
charls,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,25,25,991,991,178,813,16,16,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,343.0,70.0,273.0,64.0,17.0,47.0
charls,incident_any_iadl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,917,917,152,765,12,12,350.0,67.0,283.0,PASS,,any_withdrawal,risk_ratio,1.159900417172162,0.14778837687054291,0.8682064544698436,1.5495956875576142,0.31552662903583883,,,,,,
charls,incident_any_iadl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,917,917,152,765,15,15,350.0,67.0,283.0,PASS,,any_withdrawal,risk_ratio,0.9121244966006266,0.2628376616952071,0.5449119050485239,1.5267992671675252,0.7263797938203038,,,,,,
charls,incident_any_iadl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,24,24,941,941,176,765,12,12,363.0,80.0,283.0,PASS,,any_withdrawal,risk_ratio,1.1886833091545763,0.135567525950369,0.9113199492955346,1.5504631612145898,0.20231541398936093,,,,,,
charls,incident_any_iadl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,24,24,941,941,176,765,15,15,363.0,80.0,283.0,PASS,,any_withdrawal,risk_ratio,0.8085758512748502,0.24457803708143333,0.5006515488425654,1.3058881147503265,0.3849757952489028,,,,,,
charls,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,917,917,152,765,13,13,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,292.0,53.0,239.0,58.0,14.0,44.0
charls,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,917,917,152,765,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,
charls,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,24,24,941,941,176,765,13,13,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,300.0,61.0,239.0,63.0,19.0,44.0
charls,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,24,24,941,941,176,765,16,16,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,300.0,61.0,239.0,63.0,19.0,44.0
charls,multimorbidity_progression,competing_composite,any,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,1144,1144,125,1019,12,12,469.0,53.0,416.0,PASS,,any_withdrawal,risk_ratio,1.0298177959850248,0.1763645064560409,0.7288508295400663,1.45506412278722,0.8676867447358048,,,,,,
charls,multimorbidity_progression,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,1144,1144,125,1019,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,
charls,multimorbidity_progression,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,34,34,1178,1178,159,1019,12,12,489.0,73.0,416.0,PASS,,any_withdrawal,risk_ratio,1.1154153981628065,0.15390270755950708,0.824962891216442,1.508130273137667,0.4778815741815893,,,,,,
charls,multimorbidity_progression,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,34,34,1178,1178,159,1019,15,15,489.0,73.0,416.0,PASS,,any_withdrawal,risk_ratio,0.7652051443831102,0.2698357112518977,0.45091357195434895,1.298561297351363,0.32131632591648396,,,,,,
charls,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,1144,1144,125,1019,13,13,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,
charls,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,1144,1144,125,1019,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,
charls,multimorbidity_progression,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,34,34,1178,1178,159,1019,13,13,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,399.0,56.0,343.0,90.0,17.0,73.0
charls,multimorbidity_progression,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,34,34,1178,1178,159,1019,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,
