cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,model_status,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
charls,mortality,clinical_context_graded,transition_hospitalization,PASS_SOURCE_STATUS,transition_hospitalization,base_same_set_transition_hospitalization,unconditional,1254,1254,34,1220,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,transition_hospitalization,PASS_SOURCE_STATUS,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,1254,1254,34,1220,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,transition_hospitalization,PASS_SOURCE_STATUS,transition_hospitalization,plus_transition_hospitalization,unconditional,1254,1254,34,1220,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,unconditional,1232,1232,32,1200,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,current_state_held,1232,1232,32,1200,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,1232,1232,32,1200,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,1015,1015,22,993,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,1015,1015,22,993,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,bmi_or_weight_loss,PASS_SOURCE_STATUS,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,1015,1015,22,993,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,base_same_set_incident_non_target_disease,unconditional,1239,1239,34,1205,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,1239,1239,34,1205,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,incident_non_target_disease,PASS_SOURCE_STATUS,incident_non_target_disease,plus_incident_non_target_disease,unconditional,1239,1239,34,1205,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,base_same_set_fi_change,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,base_same_set_fi_change,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,plus_fi_change,unconditional,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,unconditional,967,967,21,946,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,current_state_held,967,967,21,946,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,967,967,21,946,17,17,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization,base_same_set_transition_hospitalization,unconditional,963,963,152,811,13,13,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,330.0,58.0,272.0,60.0,13.0,47.0
charls,incident_any_adl,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,963,963,152,811,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization,plus_transition_hospitalization,unconditional,963,963,152,811,14,14,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,330.0,58.0,272.0,60.0,13.0,47.0
charls,incident_any_adl,clinical_context_graded,cesd_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,cesd_worsening,base_same_set_cesd_worsening,unconditional,944,944,151,793,13,13,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,323.0,58.0,265.0,59.0,13.0,46.0
charls,incident_any_adl,clinical_context_graded,cesd_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,cesd_worsening,base_same_set_cesd_worsening,current_state_held,944,944,151,793,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,cesd_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,cesd_worsening,plus_cesd_worsening,unconditional,944,944,151,793,14,14,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,323.0,58.0,265.0,59.0,13.0,46.0
charls,incident_any_adl,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMPLETE_ITEM_COUNTS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,783,783,127,656,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMPLETE_ITEM_COUNTS,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,783,783,127,656,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMPLETE_ITEM_COUNTS,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,783,783,127,656,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,incident_non_target_disease,PASS_STRICT_COMPLETE_ITEM_COUNTS,incident_non_target_disease,base_same_set_incident_non_target_disease,unconditional,948,948,152,796,13,13,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,325.0,58.0,267.0,60.0,13.0,47.0
charls,incident_any_adl,clinical_context_graded,incident_non_target_disease,PASS_STRICT_COMPLETE_ITEM_COUNTS,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,948,948,152,796,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_adl,clinical_context_graded,incident_non_target_disease,PASS_STRICT_COMPLETE_ITEM_COUNTS,incident_non_target_disease,plus_incident_non_target_disease,unconditional,948,948,152,796,14,14,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,325.0,58.0,267.0,60.0,13.0,47.0
charls,incident_any_adl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,base_same_set_fi_change,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,base_same_set_fi_change,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,plus_fi_change,unconditional,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_adl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,
