cohort,outcome_id,analysis_family,domain,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
charls,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,1262,1262,34,1228,16,16,NOT_EVALUABLE_EPV
charls,mortality,reference_group,alcohol,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,393,393,15,378,14,14,NOT_EVALUABLE_EPV
charls,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,1262,1262,34,1228,16,16,NOT_EVALUABLE_EPV
charls,mortality,reference_group,activity,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,985,985,22,963,14,14,NOT_EVALUABLE_EPV
charls,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,1262,1262,34,1228,16,16,NOT_EVALUABLE_EPV
charls,mortality,reference_group,work,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,891,891,20,871,14,14,NOT_EVALUABLE_EPV
charls,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,966,966,153,813,16,16,NOT_EVALUABLE_EPV
charls,incident_any_adl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,293,293,38,255,14,14,NOT_EVALUABLE_EPV
charls,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,966,966,153,813,16,16,NOT_EVALUABLE_EPV
charls,incident_any_adl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,760,760,122,638,14,14,NOT_EVALUABLE_EPV
charls,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,966,966,153,813,16,16,NOT_EVALUABLE_EPV
charls,incident_any_adl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,708,708,112,596,14,14,NOT_EVALUABLE_EPV
charls,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,917,917,152,765,16,16,NOT_EVALUABLE_EPV
charls,incident_any_iadl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,290,290,45,245,14,14,NOT_EVALUABLE_EPV
charls,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,917,917,152,765,16,16,NOT_EVALUABLE_EPV
charls,incident_any_iadl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,713,713,116,597,14,14,NOT_EVALUABLE_EPV
charls,incident_any_iadl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,917,917,152,765,16,16,NOT_EVALUABLE_EPV
charls,incident_any_iadl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,667,667,101,566,14,14,NOT_EVALUABLE_EPV
