cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
elsa,incident_any_adl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,23018,7512,2200,20818,18,18,4462.0,576.0,3886.0,PASS,,any_withdrawal,risk_ratio,1.504312468460337,0.046513219381211696,1.3732383743906027,1.647897440798985,1.6504776212387901e-18,,,,,,
elsa,incident_any_adl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,23018,7512,2200,20818,21,21,4462.0,576.0,3886.0,PASS,,any_withdrawal,risk_ratio,1.2309817703081998,0.07981001626356225,1.0527305166230578,1.439415021131838,0.009218738029001217,,,,,,
elsa,incident_any_adl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,314,314,23332,7652,2514,20818,18,18,4565.0,679.0,3886.0,PASS,,any_withdrawal,risk_ratio,1.525370556765638,0.0422453454575543,1.4041582500663041,1.6570463730406764,1.6047343167666298e-23,,,,,,
elsa,incident_any_adl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,314,314,23332,7652,2514,20818,21,21,4565.0,679.0,3886.0,PASS,,any_withdrawal,risk_ratio,1.2154281071340187,0.0734897489444753,1.052385092789967,1.403730909656864,0.007936894839390389,,,,,,
elsa,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,23018,7512,2200,20818,19,19,,,,PASS,,loss_1,risk_ratio,1.473495893707875,0.04752947532269894,1.342430365248178,1.6173577453103698,3.470668510154106e-16,4172.0,528.0,3644.0,290.0,48.0,242.0
elsa,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,23018,7512,2200,20818,19,19,,,,PASS,,loss_2plus,risk_ratio,2.0757354525277796,0.14185995558346448,1.5718843491325103,2.7410907623442995,2.6307604290979146e-07,4172.0,528.0,3644.0,290.0,48.0,242.0
elsa,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,23018,7512,2200,20818,22,22,,,,PASS,,loss_1,risk_ratio,1.2659379521732153,0.08058059179462314,1.0809910441378392,1.4825274524181564,0.003428787047561198,4172.0,528.0,3644.0,290.0,48.0,242.0
elsa,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,23018,7512,2200,20818,22,22,,,,PASS,,loss_2plus,risk_ratio,1.677101884127951,0.18939566352204745,1.1570325205522287,2.4309348957651524,0.006331700907105499,4172.0,528.0,3644.0,290.0,48.0,242.0
elsa,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,314,314,23332,7652,2514,20818,19,19,,,,PASS,,loss_1,risk_ratio,1.4867785445679265,0.04322202158847127,1.3660155204778115,1.6182176611099697,4.4678216625436715e-20,4262.0,618.0,3644.0,303.0,61.0,242.0
elsa,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,314,314,23332,7652,2514,20818,19,19,,,,PASS,,loss_2plus,risk_ratio,2.2283727287596817,0.12419663998492213,1.7469137501710361,2.8425244336153948,1.1064857454442989e-10,4262.0,618.0,3644.0,303.0,61.0,242.0
