cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,log_rr_attenuation_percent
elsa,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,unconditional,22093,8654,260,21833,17,17,4375.0,79.0,4296.0,330.0,11.0,319.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,
elsa,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,22093,8654,260,21833,20,20,4375.0,79.0,4296.0,330.0,11.0,319.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,
elsa,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,22093,8654,260,21833,18,18,4375.0,79.0,4296.0,330.0,11.0,319.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,unconditional,28760,8825,502,28258,19,19,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,loss_1,risk_ratio,1.7908988432385833,0.09585443567074604,1.4841562058412794,2.161038477008058,1.2078869512757961e-09,
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,unconditional,28760,8825,502,28258,19,19,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,loss_2plus,risk_ratio,3.4173489281685274,0.23162591592658952,2.1703460614772414,5.380834837420255,1.1243430758107298e-07,
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,current_state_held,28760,8825,502,28258,22,22,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,loss_1,risk_ratio,1.0292990628281191,0.18364318679629785,0.7181649628348004,1.4752273023134819,0.8750471463814995,95.04424664199759
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,base_same_set_cesd_worsening,current_state_held,28760,8825,502,28258,22,22,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,loss_2plus,risk_ratio,1.2905363778151608,0.39598758005255025,0.593888631343709,2.8043711473244017,0.5195067777056082,79.24443194119549
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,28760,8825,502,28258,20,20,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,loss_1,risk_ratio,1.7709980033964217,0.09559523647436392,1.4684097475483426,2.135939190863247,2.2480997015606533e-09,1.91763706525644
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,28760,8825,502,28258,20,20,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,loss_2plus,risk_ratio,3.3281095454057814,0.22870025413765838,2.1258254570808757,5.210358691174373,1.4598229136280307e-07,2.153258720586016
elsa,mortality,clinical_context_graded,cesd_worsening,PASS_SOURCE_STATUS,cesd_worsening,plus_cesd_worsening,unconditional,28760,8825,502,28258,20,20,5686.0,159.0,5527.0,423.0,20.0,403.0,PASS,,context_cesd_worsening,risk_ratio,1.3026800623144172,0.08719539750194322,1.098036835115508,1.5454630395645887,0.0024250313092009784,
