cohort,outcome_id,analysis_family,domain,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,alcohol_started_n,alcohol_started_events,alcohol_started_nonevents,model_status,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,activity_started_n,activity_started_events,activity_started_nonevents,activity_stopped_n,activity_stopped_events,activity_stopped_nonevents,activity_continued_n,activity_continued_events,activity_continued_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_started_n,work_started_events,work_started_nonevents,alcohol_stopped_n,alcohol_stopped_events,alcohol_stopped_nonevents,alcohol_continued_n,alcohol_continued_events,alcohol_continued_nonevents,work_stopped_n,work_stopped_events,work_stopped_nonevents,work_continued_n,work_continued_events,work_continued_nonevents,work_loss_n,work_loss_events,work_loss_nonevents
elsa,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,28927,8865,509,28418,22,22,406.0,10.0,396.0,NOT_EVALUABLE_ALCOHOL_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,mortality,reference_group,alcohol,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,26728,8325,458,26270,20,20,,,,PASS,1100.0,50.0,1050.0,,alcohol_loss,risk_ratio,1.5263609614289724,0.14579293483872377,1.1469858990631543,2.031217460020489,0.003724533872546993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,28927,8865,509,28418,22,22,,,,PASS,,,,,activity_started,risk_ratio,0.4773179073309226,0.18113636943415012,0.3346756925212307,0.6807556979786284,4.446569292681605e-05,2190.0,36.0,2154.0,3200.0,126.0,3074.0,20886.0,202.0,20684.0,,,,,,,,,,,,,,,,,,,,,
elsa,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,28927,8865,509,28418,22,22,,,,PASS,,,,,activity_stopped,risk_ratio,0.7584496401533974,0.17152483059126225,0.5419067356433427,1.0615218797121901,0.10698623747371958,2190.0,36.0,2154.0,3200.0,126.0,3074.0,20886.0,202.0,20684.0,,,,,,,,,,,,,,,,,,,,,
elsa,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,28927,8865,509,28418,22,22,,,,PASS,,,,,activity_continued,risk_ratio,0.35085382437510565,0.17763808805299394,0.24769680236002517,0.4969721244108553,3.7202006541078677e-09,2190.0,36.0,2154.0,3200.0,126.0,3074.0,20886.0,202.0,20684.0,,,,,,,,,,,,,,,,,,,,,
elsa,mortality,reference_group,activity,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,24086,7999,328,23758,20,20,,,,PASS,,,,,activity_loss,risk_ratio,2.1293496369332394,0.12030444002383094,1.682068403531006,2.69556806773711,3.3310082198722517e-10,,,,,,,,,,3200.0,126.0,3074.0,,,,,,,,,,,,,,,,,,
elsa,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,28927,8865,509,28418,22,22,,,,NOT_EVALUABLE_WORK_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,471.0,1.0,470.0,,,,,,,,,,,,,,,
elsa,mortality,reference_group,work,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,7714,3616,60,7654,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,307.0,34.0,273.0,PASS,,,,,alcohol_started,risk_ratio,0.8575827815145629,0.16901985338124162,0.6157523708205476,1.1943895988093411,0.3633547489630017,,,,,,,,,,,,,,,,702.0,121.0,581.0,20659.0,1867.0,18792.0,,,,,,,,,
elsa,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,307.0,34.0,273.0,PASS,,,,,alcohol_stopped,risk_ratio,1.2820077992545502,0.11107262209897467,1.0312061155668624,1.593807457635204,0.02531107231534536,,,,,,,,,,,,,,,,702.0,121.0,581.0,20659.0,1867.0,18792.0,,,,,,,,,
elsa,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,307.0,34.0,273.0,PASS,,,,,alcohol_continued,risk_ratio,1.0210862872921924,0.08329999526490564,0.8672760618102816,1.2021745462683235,0.8021969979158535,,,,,,,,,,,,,,,,702.0,121.0,581.0,20659.0,1867.0,18792.0,,,,,,,,,
elsa,incident_any_adl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,21361,7056,1988,19373,20,20,,,,PASS,702.0,121.0,581.0,,alcohol_loss,risk_ratio,1.248636489933948,0.08552584571768622,1.055932824970408,1.4765078299732397,0.00942292755349278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,,,,PASS,,,,,activity_started,risk_ratio,0.7547541320460326,0.07864269709352481,0.6469410576478777,0.8805343131438966,0.0003465760451437372,1616.0,234.0,1382.0,2095.0,360.0,1735.0,18051.0,1291.0,16760.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,,,,PASS,,,,,activity_stopped,risk_ratio,0.7762712256854121,0.08740211658061099,0.6540586171309776,0.921319588251002,0.0037607196034374355,1616.0,234.0,1382.0,2095.0,360.0,1735.0,18051.0,1291.0,16760.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,,,,PASS,,,,,activity_continued,risk_ratio,0.4556550037198553,0.08287753260538139,0.38733849443047436,0.5360207813071068,2.4446895286104295e-21,1616.0,234.0,1382.0,2095.0,360.0,1735.0,18051.0,1291.0,16760.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_adl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,20146,6952,1651,18495,20,20,,,,PASS,,,,,activity_loss,risk_ratio,1.6726216155954068,0.058106733848877185,1.4925784379273275,1.874382610566162,8.554913584321255e-19,,,,,,,,,,2095.0,360.0,1735.0,,,,,,,,,,,,,,,,,,
elsa,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,,,,PASS,,,,,work_started,risk_ratio,0.6800978746568814,0.2162393731762351,0.44515179558161533,1.03904583493476,0.0746135919823537,,,,,,,,,,,,,409.0,20.0,389.0,,,,,,,1960.0,145.0,1815.0,4874.0,262.0,4612.0,,,
elsa,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,,,,PASS,,,,,work_stopped,risk_ratio,1.4116794695390342,0.09861792058678608,1.1635696170629715,1.7126941916447085,0.00047207591525145104,,,,,,,,,,,,,409.0,20.0,389.0,,,,,,,1960.0,145.0,1815.0,4874.0,262.0,4612.0,,,
elsa,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,23018,7512,2200,20818,22,22,,,,PASS,,,,,work_continued,risk_ratio,1.1815008114951961,0.09018958738068367,0.9900668245684733,1.409949442728008,0.06441786528240886,,,,,,,,,,,,,409.0,20.0,389.0,,,,,,,1960.0,145.0,1815.0,4874.0,262.0,4612.0,,,
elsa,incident_any_adl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,6834,3279,407,6427,20,20,,,,PASS,,,,,work_loss,risk_ratio,1.1401739686213226,0.10441209993004136,0.9291704309943639,1.399093896402287,0.20897968460931604,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,145.0,1815.0
elsa,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,338.0,23.0,315.0,PASS,,,,,alcohol_started,risk_ratio,0.9446329678904573,0.2194371188535771,0.6144377416775156,1.4522731653646839,0.7951971400373687,,,,,,,,,,,,,,,,801.0,111.0,690.0,22876.0,1158.0,21718.0,,,,,,,,,
elsa,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,338.0,23.0,315.0,PASS,,,,,alcohol_stopped,risk_ratio,1.8765989588377834,0.12796435750712265,1.4603199302775856,2.411542552625193,8.69721939489258e-07,,,,,,,,,,,,,,,,801.0,111.0,690.0,22876.0,1158.0,21718.0,,,,,,,,,
elsa,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,338.0,23.0,315.0,PASS,,,,,alcohol_continued,risk_ratio,1.2700492111321275,0.10397379714362394,1.0359001417353895,1.5571240254829222,0.021494079467875512,,,,,,,,,,,,,,,,801.0,111.0,690.0,22876.0,1158.0,21718.0,,,,,,,,,
elsa,incident_any_iadl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,23677,7454,1269,22408,20,20,,,,PASS,801.0,111.0,690.0,,alcohol_loss,risk_ratio,1.459114527437386,0.09337458709167926,1.215090957225383,1.752144719305917,5.201410049184551e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,,,,PASS,,,,,activity_started,risk_ratio,0.5174089338945607,0.09375770830587894,0.4305535924420023,0.6217855560221993,2.0963391877272795e-12,1884.0,145.0,1739.0,2490.0,278.0,2212.0,19534.0,625.0,18909.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,,,,PASS,,,,,activity_stopped,risk_ratio,0.7453629948301169,0.10354722914251589,0.6084547225015849,0.9130769694382209,0.004537397283973131,1884.0,145.0,1739.0,2490.0,278.0,2212.0,19534.0,625.0,18909.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,,,,PASS,,,,,activity_continued,risk_ratio,0.34547765984912154,0.10123882401077344,0.2832991855228817,0.4213030589358513,8.802564619380956e-26,1884.0,145.0,1739.0,2490.0,278.0,2212.0,19534.0,625.0,18909.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_any_iadl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,22024,7300,903,21121,20,20,,,,PASS,,,,,activity_loss,risk_ratio,2.0655668922404984,0.07330122533450993,1.7891433880503635,2.38469795926718,4.3232680727214185e-23,,,,,,,,,,2490.0,278.0,2212.0,,,,,,,,,,,,,,,,,,
elsa,incident_any_iadl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,25533,7910,1402,24131,22,22,,,,NOT_EVALUABLE_WORK_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,442.0,14.0,428.0,,,,,,,,,,,,,,,
elsa,incident_any_iadl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,7284,3407,137,7147,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
