cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
hrs,incident_any_adl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,54427,17198,5028,49399,18,18,14815.0,1858.0,12957.0,PASS,,any_withdrawal,risk_ratio,1.493358283166021,0.02786596061823886,1.4139839065314148,1.5771883623280964,5.8680396522191085e-47,,,,,,
hrs,incident_any_adl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,54427,17198,5028,49399,21,21,14815.0,1858.0,12957.0,PASS,,any_withdrawal,risk_ratio,1.2437523462994409,0.04691792424864875,1.134481200318043,1.363548288408567,3.331532789287075e-06,,,,,,
hrs,incident_any_adl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,2686,2686,57113,17909,7714,49399,18,18,15877.0,2920.0,12957.0,PASS,,any_withdrawal,risk_ratio,1.4886472856636754,0.021268385438890314,1.4278682191646526,1.5520134921206516,4.340744008522016e-78,,,,,,
hrs,incident_any_adl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,2686,2686,57113,17909,7714,49399,21,21,15877.0,2920.0,12957.0,PASS,,any_withdrawal,risk_ratio,1.1811191184113883,0.036859011004586724,1.0988015219983098,1.269603603515068,6.296139023680648e-06,,,,,,
hrs,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,54427,17198,5028,49399,19,19,,,,PASS,,loss_1,risk_ratio,1.4550521136887091,0.02852860870669567,1.3759256042298453,1.5387290177909287,1.7903343912835612e-39,13419.0,1663.0,11756.0,1396.0,195.0,1201.0
hrs,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,54427,17198,5028,49399,19,19,,,,PASS,,loss_2plus,risk_ratio,2.040885047530725,0.07172325615586098,1.7732403191118618,2.348926838817121,2.6164100291724378e-23,13419.0,1663.0,11756.0,1396.0,195.0,1201.0
hrs,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,54427,17198,5028,49399,22,22,,,,PASS,,loss_1,risk_ratio,1.2888188011472068,0.04741070364568174,1.174453425107934,1.4143207952566275,8.71492573146041e-08,13419.0,1663.0,11756.0,1396.0,195.0,1201.0
hrs,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,54427,17198,5028,49399,22,22,,,,PASS,,loss_2plus,risk_ratio,1.7352825265623533,0.10216383913159403,1.4203918644721505,2.1199821840092383,6.85372723275064e-08,13419.0,1663.0,11756.0,1396.0,195.0,1201.0
hrs,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,2686,2686,57113,17909,7714,49399,19,19,,,,PASS,,loss_1,risk_ratio,1.44175931226737,0.021853883478172253,1.381308568551012,1.5048555853745245,6.545577944610573e-63,14346.0,2590.0,11756.0,1531.0,330.0,1201.0
hrs,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,2686,2686,57113,17909,7714,49399,19,19,,,,PASS,,loss_2plus,risk_ratio,2.1418784046179487,0.052025226304432605,1.9342422222108266,2.371803824510191,1.545800748876548e-48,14346.0,2590.0,11756.0,1531.0,330.0,1201.0
hrs,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,2686,2686,57113,17909,7714,49399,22,22,,,,PASS,,loss_1,risk_ratio,1.2345822750012438,0.037320065418355045,1.1475011783978069,1.3282717459823397,1.6362158846275917e-08,14346.0,2590.0,11756.0,1531.0,330.0,1201.0
hrs,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,2686,2686,57113,17909,7714,49399,22,22,,,,PASS,,loss_2plus,risk_ratio,1.6898713623530823,0.0778323147342465,1.4507836741639895,1.9683604607328051,1.575121439331229e-11,14346.0,2590.0,11756.0,1531.0,330.0,1201.0
hrs,incident_any_iadl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,51059,16396,3600,47459,18,18,13868.0,1318.0,12550.0,PASS,,any_withdrawal,risk_ratio,1.4843351643793659,0.033704987027194884,1.3894478118867226,1.5857025081217972,1.0264694003447362e-31,,,,,,
hrs,incident_any_iadl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,51059,16396,3600,47459,21,21,13868.0,1318.0,12550.0,PASS,,any_withdrawal,risk_ratio,1.1258809698461913,0.05639901455538007,1.0080580690974377,1.2574751367217865,0.035529852660442424,,,,,,
hrs,incident_any_iadl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,2343,2343,53402,17055,5943,47459,18,18,14787.0,2237.0,12550.0,PASS,,any_withdrawal,risk_ratio,1.5012135791832808,0.024849875411839938,1.4298491839815086,1.5761398024152886,4.4123759144738404e-60,,,,,,
hrs,incident_any_iadl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,2343,2343,53402,17055,5943,47459,21,21,14787.0,2237.0,12550.0,PASS,,any_withdrawal,risk_ratio,1.1107476514841883,0.0426592818379196,1.021653805753751,1.207610971866739,0.013810871983860383,,,,,,
hrs,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,51059,16396,3600,47459,19,19,,,,PASS,,loss_1,risk_ratio,1.4518841600691867,0.03456578000397559,1.356780277281388,1.5536543754037988,3.963898707742493e-27,12600.0,1194.0,11406.0,1268.0,124.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,51059,16396,3600,47459,19,19,,,,PASS,,loss_2plus,risk_ratio,2.009022702135942,0.09006438756945896,1.683921719799654,2.3968882699474943,9.475265001815951e-15,12600.0,1194.0,11406.0,1268.0,124.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,51059,16396,3600,47459,22,22,,,,PASS,,loss_1,risk_ratio,1.1506419526338805,0.05703863783097847,1.0289371028385363,1.2867423086490366,0.013890337416706448,12600.0,1194.0,11406.0,1268.0,124.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,51059,16396,3600,47459,22,22,,,,PASS,,loss_2plus,risk_ratio,1.3892532604746468,0.12482458455073428,1.0877536411224054,1.774321453659239,0.008442845579162927,12600.0,1194.0,11406.0,1268.0,124.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,2343,2343,53402,17055,5943,47459,19,19,,,,PASS,,loss_1,risk_ratio,1.4548211408208649,0.02555038634143753,1.383760964512279,1.529530465202353,9.699866587817707e-49,13401.0,1995.0,11406.0,1386.0,242.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,2343,2343,53402,17055,5943,47459,19,19,,,,PASS,,loss_2plus,risk_ratio,2.201773406411878,0.061515106666955706,1.9516901405074958,2.483901533632791,1.1079755816151758e-37,13401.0,1995.0,11406.0,1386.0,242.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,2343,2343,53402,17055,5943,47459,22,22,,,,PASS,,loss_1,risk_ratio,1.153248883568735,0.04315582485923714,1.0597141616451493,1.2550393639996338,0.0009534553725067853,13401.0,1995.0,11406.0,1386.0,242.0,1144.0
hrs,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,2343,2343,53402,17055,5943,47459,22,22,,,,PASS,,loss_2plus,risk_ratio,1.509962707919191,0.09018829065164258,1.2653125316718006,1.8019163821085462,4.896770615844734e-06,13401.0,1995.0,11406.0,1386.0,242.0,1144.0
hrs,multimorbidity_progression,competing_composite,any,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,63016,18958,9949,53067,18,18,18373.0,3062.0,15311.0,PASS,,any_withdrawal,risk_ratio,1.1449011626721035,0.020338703177744093,1.100159519204921,1.1914623737794328,2.8670635658499058e-11,,,,,,
hrs,multimorbidity_progression,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,63016,18958,9949,53067,21,21,18373.0,3062.0,15311.0,PASS,,any_withdrawal,risk_ratio,1.0642556314076166,0.03336059443084372,0.9968948844320863,1.1361679818710977,0.06193764906689314,,,,,,
hrs,multimorbidity_progression,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,4554,4554,67570,20033,14503,53067,18,18,20556.0,5245.0,15311.0,PASS,,any_withdrawal,risk_ratio,1.2881707099426523,0.015303897446559264,1.250105652642822,1.3273948281459955,1.7019795829486203e-61,,,,,,
hrs,multimorbidity_progression,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,4554,4554,67570,20033,14503,53067,21,21,20556.0,5245.0,15311.0,PASS,,any_withdrawal,risk_ratio,1.0592826689322918,0.026387248570185363,1.005891179916602,1.1155081137040597,0.029067674017453176,,,,,,
hrs,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,63016,18958,9949,53067,19,19,,,,PASS,,loss_1,risk_ratio,1.1299697008077874,0.020937682786332765,1.0845375931680623,1.1773049941163083,5.349184475840182e-09,16583.0,2739.0,13844.0,1790.0,323.0,1467.0
hrs,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,63016,18958,9949,53067,19,19,,,,PASS,,loss_2plus,risk_ratio,1.3121595656423486,0.052662111895596456,1.1834790648322282,1.4548315866920694,2.4851241167964505e-07,16583.0,2739.0,13844.0,1790.0,323.0,1467.0
hrs,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,63016,18958,9949,53067,22,22,,,,PASS,,loss_1,risk_ratio,1.0772183465206857,0.03392670463043322,1.0079181785648241,1.1512832993379027,0.028348071703262655,16583.0,2739.0,13844.0,1790.0,323.0,1467.0
