cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,log_rr_attenuation_percent
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,unconditional,72681,21185,4534,68147,19,19,19894,1885,18009,2240,285,1955,PASS,,loss_1,risk_ratio,1.7160311890002147,0.029066819863334228,1.621001642848448,1.8166317440905917,4.808779454867176e-77,
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,unconditional,72681,21185,4534,68147,19,19,19894,1885,18009,2240,285,1955,PASS,,loss_2plus,risk_ratio,3.3429019276934735,0.06230011070535265,2.9586506330276,3.777057410371336,1.3459477112836592e-83,
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,72681,21185,4534,68147,22,22,19894,1885,18009,2240,285,1955,PASS,,loss_1,risk_ratio,1.1886122752404955,0.05402575898569564,1.0691863402480708,1.3213778437578918,0.0013827689391060932,68.00334529061342
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,72681,21185,4534,68147,22,22,19894,1885,18009,2240,285,1955,PASS,,loss_2plus,risk_ratio,1.7721712042356585,0.10696423597058484,1.437002596185067,2.185515033486827,8.819626911607249e-08,52.58643980686486
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,72681,21185,4534,68147,20,20,19894,1885,18009,2240,285,1955,PASS,,loss_1,risk_ratio,1.6820670742833177,0.02913228864086384,1.5887145051890579,1.780905022989858,2.8689720923415048e-71,3.701891308565846
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,72681,21185,4534,68147,20,20,19894,1885,18009,2240,285,1955,PASS,,loss_2plus,risk_ratio,3.1900309260541606,0.062313008238359474,2.8232800844311203,3.6044235799695548,2.3753763926602027e-77,3.8786158275309464
hrs,mortality,clinical_context_graded,self_rated_health_worsening,PASS_SOURCE_STATUS,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,72681,21185,4534,68147,20,20,19894,1885,18009,2240,285,1955,PASS,,context_self_rated_health_worsening,risk_ratio,1.3468781008549664,0.028237970685377263,1.2743598715761344,1.423523024402061,5.317079333105935e-26,
hrs,mortality,clinical_context_graded,transition_hospitalization,PASS_SOURCE_STATUS,transition_hospitalization,base_same_set_transition_hospitalization,unconditional,72583,21180,4527,68056,19,19,19871,1883,17988,2239,286,1953,PASS,,loss_1,risk_ratio,1.7143470285136053,0.029102288470042065,1.6192981740131678,1.8149750190168061,1.3727073984324981e-76,
hrs,mortality,clinical_context_graded,transition_hospitalization,PASS_SOURCE_STATUS,transition_hospitalization,base_same_set_transition_hospitalization,unconditional,72583,21180,4527,68056,19,19,19871,1883,17988,2239,286,1953,PASS,,loss_2plus,risk_ratio,3.339138179847512,0.06225150914319454,2.955601039990368,3.7724454800407337,1.4259375039761649e-83,
hrs,mortality,clinical_context_graded,transition_hospitalization,PASS_SOURCE_STATUS,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,72583,21180,4527,68056,22,22,19871,1883,17988,2239,286,1953,PASS,,loss_1,risk_ratio,1.1807408051904846,0.05420918570306082,1.0617239881670708,1.3130991336540223,0.0021779235935799482,69.1777185230555
