cohort,outcome_id,analysis_family,domain,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,alcohol_started_n,alcohol_started_events,alcohol_started_nonevents,alcohol_stopped_n,alcohol_stopped_events,alcohol_stopped_nonevents,alcohol_continued_n,alcohol_continued_events,alcohol_continued_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_started_n,activity_started_events,activity_started_nonevents,activity_stopped_n,activity_stopped_events,activity_stopped_nonevents,activity_continued_n,activity_continued_events,activity_continued_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_started_n,work_started_events,work_started_nonevents,work_stopped_n,work_stopped_events,work_stopped_nonevents,work_continued_n,work_continued_events,work_continued_nonevents,work_loss_n,work_loss_events,work_loss_nonevents
hrs,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,3717.0,215.0,3502.0,6170.0,737.0,5433.0,38292.0,1935.0,36357.0,PASS,,alcohol_started,risk_ratio,0.9457334292859836,0.06768644772451016,0.8282356723570304,1.0799000201520774,0.40976409985591644,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,3717.0,215.0,3502.0,6170.0,737.0,5433.0,38292.0,1935.0,36357.0,PASS,,alcohol_stopped,risk_ratio,1.3794636875485997,0.04366710042939904,1.2663121372847628,1.5027259150697534,1.7453258407855457e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,3717.0,215.0,3502.0,6170.0,737.0,5433.0,38292.0,1935.0,36357.0,PASS,,alcohol_continued,risk_ratio,0.9059514876812914,0.03773552437615015,0.8413649304487999,0.9754959689063133,0.008859860330417402,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,mortality,reference_group,alcohol,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,44462,14074,2672,41790,20,20,,,,,,,,,,PASS,,alcohol_loss,risk_ratio,1.5284714586069155,0.04063825249949647,1.4114515995877952,1.6551931362423125,1.6260685456524805e-25,6170.0,737.0,5433.0,,,,,,,,,,,,,,,,,,,,,,,,
hrs,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,,,,,,,,,,PASS,,activity_started,risk_ratio,0.6171482570150297,0.061657633179580035,0.5468981247819671,0.6964221559335794,4.963287812688307e-15,,,,5358.0,290.0,5068.0,11835.0,1455.0,10380.0,47451.0,1760.0,45691.0,,,,,,,,,,,,,,,
hrs,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,,,,,,,,,,PASS,,activity_stopped,risk_ratio,0.8535903846580482,0.041478383325882856,0.7869425901232122,0.9258827186702331,0.0001353370104858764,,,,5358.0,290.0,5068.0,11835.0,1455.0,10380.0,47451.0,1760.0,45691.0,,,,,,,,,,,,,,,
hrs,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,,,,,,,,,,PASS,,activity_continued,risk_ratio,0.41492106500388426,0.043359922920436854,0.3811162360264454,0.45172436624298407,1.656174044914593e-91,,,,5358.0,290.0,5068.0,11835.0,1455.0,10380.0,47451.0,1760.0,45691.0,,,,,,,,,,,,,,,
hrs,mortality,reference_group,activity,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,59286,19341,3215,56071,20,20,,,,,,,,,,PASS,,activity_loss,risk_ratio,2.0357795292964402,0.03497217307969635,1.9009135890075526,2.180213932852247,7.422683149308732e-92,,,,,,,,,,,,,11835.0,1455.0,10380.0,,,,,,,,,,,,
hrs,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,,,,,,,,,,PASS,,work_started,risk_ratio,0.5475274727384156,0.1436593519120266,0.41316436134867207,0.7255861382253267,2.754671504119783e-05,,,,,,,,,,,,,,,,2076.0,47.0,2029.0,6538.0,299.0,6239.0,19600.0,347.0,19253.0,,,
hrs,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,,,,,,,,,,PASS,,work_stopped,risk_ratio,1.0273936560471253,0.06333001543005516,0.9074658130566526,1.163170787591953,0.6695720081813232,,,,,,,,,,,,,,,,2076.0,47.0,2029.0,6538.0,299.0,6239.0,19600.0,347.0,19253.0,,,
hrs,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,72785,21202,4554,68231,22,22,,,,,,,,,,PASS,,work_continued,risk_ratio,0.5927086947083482,0.06508093690888064,0.5217281912895352,0.6733460116743366,9.210217467781369e-16,,,,,,,,,,,,,,,,2076.0,47.0,2029.0,6538.0,299.0,6239.0,19600.0,347.0,19253.0,,,
hrs,mortality,reference_group,work,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,26138,10455,646,25492,20,20,,,,,,,,,,PASS,,work_loss,risk_ratio,1.6753749701916485,0.08160191083403268,1.4277505970241926,1.9659465011570965,2.5515051285379197e-10,,,,,,,,,,,,,,,,,,,,,,,,,6538.0,299.0,6239.0
hrs,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,2771.0,291.0,2480.0,3928.0,524.0,3404.0,29820.0,2311.0,27509.0,PASS,,alcohol_started,risk_ratio,1.0643835609107388,0.0582588584573392,0.9495287701998908,1.1931311617851545,0.2841649677070066,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,2771.0,291.0,2480.0,3928.0,524.0,3404.0,29820.0,2311.0,27509.0,PASS,,alcohol_stopped,risk_ratio,1.3664285662853515,0.050851112944750525,1.2368082881664288,1.5096333398029385,8.278119229425977e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,2771.0,291.0,2480.0,3928.0,524.0,3404.0,29820.0,2311.0,27509.0,PASS,,alcohol_continued,risk_ratio,1.057248502145533,0.03944948121833697,0.9785828926108256,1.1422378254608445,0.15819556816025315,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,33748,11429,2835,30913,20,20,,,,,,,,,,PASS,,alcohol_loss,risk_ratio,1.3082323309914294,0.04605182536100876,1.195323597023538,1.431806279164057,5.404010449538059e-09,3928.0,524.0,3404.0,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,,,,,,,,,,PASS,,activity_started,risk_ratio,0.7904841461431634,0.057026792757096836,0.706890052455773,0.8839637552302113,3.743055843182581e-05,,,,3989.0,425.0,3564.0,7278.0,1132.0,6146.0,38503.0,2758.0,35745.0,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,,,,,,,,,,PASS,,activity_stopped,risk_ratio,0.9385096517827163,0.049640291441975105,0.8515003889036482,1.0344098229049459,0.2010942954821654,,,,3989.0,425.0,3564.0,7278.0,1132.0,6146.0,38503.0,2758.0,35745.0,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,,,,,,,,,,PASS,,activity_continued,risk_ratio,0.5719203380882394,0.04653531307406256,0.522065038510996,0.626536636224256,3.2596098513728716e-33,,,,3989.0,425.0,3564.0,7278.0,1132.0,6146.0,38503.0,2758.0,35745.0,,,,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,45781,15819,3890,41891,20,20,,,,,,,,,,PASS,,activity_loss,risk_ratio,1.6319138545548841,0.03375475451108273,1.5274434144091753,1.7435296152809039,1.0599541838752918e-47,,,,,,,,,,,,,7278.0,1132.0,6146.0,,,,,,,,,,,,
hrs,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,,,,,,,,,,PASS,,work_started,risk_ratio,0.9098004712008314,0.0874602011160139,0.7664783623728303,1.0799220669906233,0.2797709262084416,,,,,,,,,,,,,,,,1702.0,128.0,1574.0,5070.0,405.0,4665.0,16656.0,843.0,15813.0,,,
hrs,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,,,,,,,,,,PASS,,work_stopped,risk_ratio,1.049620091940254,0.056493290428967176,0.9396042217135412,1.1725174407959882,0.3913125223532137,,,,,,,,,,,,,,,,1702.0,128.0,1574.0,5070.0,405.0,4665.0,16656.0,843.0,15813.0,,,
hrs,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,54427,17198,5028,49399,22,22,,,,,,,,,,PASS,,work_continued,risk_ratio,0.8249701193634527,0.05061037153122558,0.7470653475400604,0.9109988839444254,0.00014367614805698128,,,,,,,,,,,,,,,,1702.0,128.0,1574.0,5070.0,405.0,4665.0,16656.0,843.0,15813.0,,,
hrs,incident_any_adl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,21726,9006,1248,20478,20,20,,,,,,,,,,PASS,,work_loss,risk_ratio,1.2042774558657168,0.06158447335078108,1.0673473045284583,1.358774397567924,0.0025420598801193656,,,,,,,,,,,,,,,,,,,,,,,,,5070.0,405.0,4665.0
hrs,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,2611.0,201.0,2410.0,3608.0,363.0,3245.0,28266.0,1633.0,26633.0,PASS,,alcohol_started,risk_ratio,1.0197201226693524,0.07151103898610123,0.8863610898298964,1.173143925774489,0.7847920903321635,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,2611.0,201.0,2410.0,3608.0,363.0,3245.0,28266.0,1633.0,26633.0,PASS,,alcohol_stopped,risk_ratio,1.3730018876698642,0.06123376830511632,1.2177239738130679,1.5480800444800935,2.2563451575947537e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,2611.0,201.0,2410.0,3608.0,363.0,3245.0,28266.0,1633.0,26633.0,PASS,,alcohol_continued,risk_ratio,1.1059943603909197,0.04600176239618814,1.0106392045473471,1.210346402269627,0.02852274806975955,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,31874,11012,1996,29878,20,20,,,,,,,,,,PASS,,alcohol_loss,risk_ratio,1.2244766184558082,0.056936795020615875,1.0951807682723107,1.369036996066176,0.0003753819235655659,3608.0,363.0,3245.0,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,,,,,,,,,,PASS,,activity_started,risk_ratio,0.7021744935947903,0.067225454907449,0.6154923207161309,0.8010644533816982,1.444352516009173e-07,,,,3798.0,296.0,3502.0,6742.0,815.0,5927.0,35997.0,1908.0,34089.0,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,,,,,,,,,,PASS,,activity_stopped,risk_ratio,0.8946591180410806,0.0575784660915554,0.7991838761972173,1.0015403980654423,0.053207680408549715,,,,3798.0,296.0,3502.0,6742.0,815.0,5927.0,35997.0,1908.0,34089.0,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,,,,,,,,,,PASS,,activity_continued,risk_ratio,0.5405516614690248,0.054299745760275,0.48597863758021015,0.6012529690025655,9.421059242664073e-30,,,,3798.0,296.0,3502.0,6742.0,815.0,5927.0,35997.0,1908.0,34089.0,,,,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,42739,15074,2723,40016,20,20,,,,,,,,,,PASS,,activity_loss,risk_ratio,1.645279636969919,0.040696742843121615,1.5191427744435433,1.7818898456199501,2.0298052574165323e-34,,,,,,,,,,,,,6742.0,815.0,5927.0,,,,,,,,,,,,
hrs,incident_any_iadl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,,,,,,,,,,PASS,,work_started,risk_ratio,0.7520940673333785,0.10894368516253432,0.6074899952800175,0.9311190151491052,0.008921274139983365,,,,,,,,,,,,,,,,1645.0,81.0,1564.0,4843.0,269.0,4574.0,16054.0,531.0,15523.0,,,
hrs,incident_any_iadl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,,,,,,,,,,PASS,,work_stopped,risk_ratio,0.9686024271407844,0.06864093960333398,0.8466780078067586,1.1080843640822975,0.6421087602580311,,,,,,,,,,,,,,,,1645.0,81.0,1564.0,4843.0,269.0,4574.0,16054.0,531.0,15523.0,,,
hrs,incident_any_iadl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,51059,16396,3600,47459,22,22,,,,,,,,,,PASS,,work_continued,risk_ratio,0.7235555966648729,0.061660727672691,0.6411892028775902,0.8165026783287993,1.5399773873469105e-07,,,,,,,,,,,,,,,,1645.0,81.0,1564.0,4843.0,269.0,4574.0,16054.0,531.0,15523.0,,,
hrs,incident_any_iadl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,20897,8750,800,20097,20,20,,,,,,,,,,PASS,,work_loss,risk_ratio,1.263203692652632,0.07571863301528041,1.088984176496514,1.46529545935634,0.0020301839867188864,,,,,,,,,,,,,,,,,,,,,,,,,4843.0,269.0,4574.0
