cohort,outcome_id,analysis_family,domain,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,alcohol_started_n,alcohol_started_events,alcohol_started_nonevents,model_status,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,activity_started_n,activity_started_events,activity_started_nonevents,activity_stopped_n,activity_stopped_events,activity_stopped_nonevents,activity_continued_n,activity_continued_events,activity_continued_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_started_n,work_started_events,work_started_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,work_stopped_n,work_stopped_events,work_stopped_nonevents,work_continued_n,work_continued_events,work_continued_nonevents
klosa,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,17193,5827,611,16582,20,20,200.0,5.0,195.0,NOT_EVALUABLE_ALCOHOL_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,mortality,reference_group,alcohol,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,7988,2649,290,7698,18,18,,,,PASS,916.0,84.0,832.0,,alcohol_loss,risk_ratio,1.8412578645682627,0.12398224286136374,1.4440450374802056,2.3477318475816245,8.493143341882212e-07,,,,,,,,,,,,,,,,,,,,,,,,
klosa,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,17193,5827,611,16582,20,20,,,,PASS,,,,,activity_started,risk_ratio,0.4683829689972022,0.19727378026119058,0.3181862065829243,0.6894786798039895,0.00012067380320824166,1564.0,27.0,1537.0,3040.0,179.0,2861.0,5724.0,136.0,5588.0,,,,,,,,,,,,,,,
klosa,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,17193,5827,611,16582,20,20,,,,PASS,,,,,activity_stopped,risk_ratio,0.9501572194124487,0.10700102960556161,0.7703995687308108,1.1718577972322926,0.6327744533032778,1564.0,27.0,1537.0,3040.0,179.0,2861.0,5724.0,136.0,5588.0,,,,,,,,,,,,,,,
klosa,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,17193,5827,611,16582,20,20,,,,PASS,,,,,activity_continued,risk_ratio,0.4521001397293916,0.1178881240850833,0.35882945717197484,0.5696147076503143,1.6512908882526545e-11,1564.0,27.0,1537.0,3040.0,179.0,2861.0,5724.0,136.0,5588.0,,,,,,,,,,,,,,,
klosa,mortality,reference_group,activity,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,8764,3883,315,8449,18,18,,,,PASS,,,,,activity_loss,risk_ratio,2.0996041289015337,0.1150713946152783,1.6756699036776954,2.630791117286955,1.1484982790880418e-10,,,,,,,,,,3040.0,179.0,2861.0,,,,,,,,,,,,
klosa,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,17193,5827,611,16582,20,20,,,,NOT_EVALUABLE_WORK_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,439.0,7.0,432.0,,,,,,,,,
klosa,mortality,reference_group,work,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,8770,3348,199,8571,18,18,,,,PASS,,,,,work_loss,risk_ratio,1.8157275087090672,0.16080547252161775,1.3248685990481692,2.4884478266383674,0.0002077795712806152,,,,,,,,,,,,,,,,1879.0,81.0,1798.0,,,,,,
klosa,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,16129,5498,348,15781,20,20,188.0,4.0,184.0,NOT_EVALUABLE_ALCOHOL_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_any_adl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,7520,2501,148,7372,18,18,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,16129,5498,348,15781,20,20,,,,PASS,,,,,activity_started,risk_ratio,0.7731671166158729,0.21488893577456147,0.5074106532388595,1.1781135977346129,0.2312376269210794,1515.0,25.0,1490.0,2709.0,80.0,2629.0,5474.0,99.0,5375.0,,,,,,,,,,,,,,,
klosa,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,16129,5498,348,15781,20,20,,,,PASS,,,,,activity_stopped,risk_ratio,0.739259202863212,0.16463069979618974,0.5353808512996411,1.0207764579015268,0.06649728627995594,1515.0,25.0,1490.0,2709.0,80.0,2629.0,5474.0,99.0,5375.0,,,,,,,,,,,,,,,
klosa,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,16129,5498,348,15781,20,20,,,,PASS,,,,,activity_continued,risk_ratio,0.5255235616190042,0.15754504790999124,0.3859131738841343,0.7156402851892312,4.433207102228245e-05,1515.0,25.0,1490.0,2709.0,80.0,2629.0,5474.0,99.0,5375.0,,,,,,,,,,,,,,,
klosa,incident_any_adl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,8183,3640,179,8004,18,18,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,16129,5498,348,15781,20,20,,,,NOT_EVALUABLE_WORK_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,429.0,3.0,426.0,,,,,,,,,
klosa,incident_any_adl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,8428,3237,116,8312,18,18,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,15177,5334,857,14320,20,20,177.0,14.0,163.0,NOT_EVALUABLE_ALCOHOL_STARTED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_any_iadl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,6989,2424,401,6588,18,18,,,,PASS,683.0,65.0,618.0,,alcohol_loss,risk_ratio,1.3194173906206073,0.12989506029892497,1.0228579576151289,1.7019589452391264,0.03284642992658247,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,15177,5334,857,14320,20,20,,,,PASS,,,,,activity_started,risk_ratio,0.883976607091532,0.12696657388649674,0.6892338977638144,1.1337437761263895,0.3313908864695937,1424.0,73.0,1351.0,2507.0,172.0,2335.0,5220.0,263.0,4957.0,,,,,,,,,,,,,,,
