cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,model_status
mhas,incident_any_adl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,any,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS
mhas,multimorbidity_progression,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
