cohort,outcome_id,analysis_family,domain,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
mhas,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,mortality,reference_group,alcohol,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,mortality,reference_group,activity,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,mortality,reference_group,work,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_adl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,reference_group,alcohol,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,reference_group,activity,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,reference_group,activity,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,reference_group,work,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_any_iadl,reference_group,work,restricted_stopped_vs_continued,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
