cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
share,incident_any_adl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,31923,22735,2368,29555,15,15,8204.0,815.0,7389.0,PASS,,any_withdrawal,risk_ratio,1.545261179197926,0.04287499120826241,1.420713919498177,1.6807269072014106,3.3043157213296436e-24,,,,,,
share,incident_any_adl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,31923,22735,2368,29555,18,18,8204.0,815.0,7389.0,PASS,,any_withdrawal,risk_ratio,1.1196080622955829,0.07714276494180133,0.9625027446204654,1.302357027201579,0.1430464100867743,,,,,,
share,incident_any_adl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,1303,1303,33226,23702,3671,29555,15,15,8721.0,1332.0,7389.0,PASS,,any_withdrawal,risk_ratio,1.5755586443103926,0.03228246270868224,1.47895748855825,1.6784695035968449,4.88258438640885e-45,,,,,,
share,incident_any_adl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,1303,1303,33226,23702,3671,29555,18,18,8721.0,1332.0,7389.0,PASS,,any_withdrawal,risk_ratio,1.1682067623244612,0.05879239397307061,1.0410594707937888,1.310882882127796,0.0081838825928743,,,,,,
share,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,31923,22735,2368,29555,16,16,,,,PASS,,loss_1,risk_ratio,1.5264315107710655,0.04368582886863446,1.401173379959998,1.6628871133287992,3.6232144369455865e-22,7431.0,738.0,6693.0,773.0,77.0,696.0
share,incident_any_adl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,31923,22735,2368,29555,16,16,,,,PASS,,loss_2plus,risk_ratio,1.8239082261178607,0.11374764497138667,1.459421739294416,2.2794241909187445,1.2676385351144006e-07,7431.0,738.0,6693.0,773.0,77.0,696.0
share,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,31923,22735,2368,29555,19,19,,,,PASS,,loss_1,risk_ratio,1.1069665740255148,0.08069373451979914,0.9450349620777162,1.2966451456099835,0.20789587125937659,7431.0,738.0,6693.0,773.0,77.0,696.0
share,incident_any_adl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,31923,22735,2368,29555,19,19,,,,PASS,,loss_2plus,risk_ratio,1.0345131782586474,0.16849978230068102,0.7435475596941994,1.4393396925826223,0.8404085486285734,7431.0,738.0,6693.0,773.0,77.0,696.0
share,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,1303,1303,33226,23702,3671,29555,16,16,,,,PASS,,loss_1,risk_ratio,1.540079239616539,0.03308066152048317,1.4433935373025746,1.6432414327768006,6.032256398176281e-39,7880.0,1187.0,6693.0,841.0,145.0,696.0
share,incident_any_adl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,1303,1303,33226,23702,3671,29555,16,16,,,,PASS,,loss_2plus,risk_ratio,2.0771645193417845,0.07919253219981158,1.7785336646153058,2.425938022008501,2.6882952319636747e-20,7880.0,1187.0,6693.0,841.0,145.0,696.0
share,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,1303,1303,33226,23702,3671,29555,19,19,,,,PASS,,loss_1,risk_ratio,1.1913135877245011,0.06110078051536519,1.056858918338,1.342873717268601,0.004169485243809055,7880.0,1187.0,6693.0,841.0,145.0,696.0
share,incident_any_adl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,1303,1303,33226,23702,3671,29555,19,19,,,,PASS,,loss_2plus,risk_ratio,1.325032127049717,0.1228653145775264,1.0414616034504465,1.6858136026302726,0.021985891592893915,7880.0,1187.0,6693.0,841.0,145.0,696.0
share,incident_any_iadl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,33008,23329,1955,31053,15,15,8488.0,663.0,7825.0,PASS,,any_withdrawal,risk_ratio,1.5208615523142264,0.04610345266415303,1.3894609667553803,1.6646886214507486,9.522896460563845e-20,,,,,,
share,incident_any_iadl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,33008,23329,1955,31053,18,18,8488.0,663.0,7825.0,PASS,,any_withdrawal,risk_ratio,0.751095698872524,0.09037630965964413,0.6291682822391949,0.8966516030608341,0.0015401777473479715,,,,,,
share,incident_any_iadl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,1296,1296,34304,24276,3251,31053,15,15,8987.0,1162.0,7825.0,PASS,,any_withdrawal,risk_ratio,1.5709543732549545,0.03396791449274975,1.469772205729133,1.6791021310847132,2.3981189799708397e-40,,,,,,
share,incident_any_iadl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,1296,1296,34304,24276,3251,31053,18,18,8987.0,1162.0,7825.0,PASS,,any_withdrawal,risk_ratio,0.9633943250959585,0.06439974181533835,0.8491549080672598,1.0930027216583929,0.5625365269475111,,,,,,
share,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,33008,23329,1955,31053,16,16,,,,PASS,,loss_1,risk_ratio,1.4361552732465974,0.0481542551095513,1.3068099151480044,1.5783029689060886,5.610031817419905e-14,7657.0,569.0,7088.0,831.0,94.0,737.0
share,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,33008,23329,1955,31053,16,16,,,,PASS,,loss_2plus,risk_ratio,2.8046712322905916,0.10404625727181663,2.287271008051547,3.4391118033447956,3.698981655605275e-23,7657.0,569.0,7088.0,831.0,94.0,737.0
share,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,33008,23329,1955,31053,19,19,,,,PASS,,loss_1,risk_ratio,0.7827248782344383,0.09499397567636922,0.6497557313770788,0.9429054726591807,0.00991334480608935,7657.0,569.0,7088.0,831.0,94.0,737.0
share,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,33008,23329,1955,31053,19,19,,,,PASS,,loss_2plus,risk_ratio,0.9292516517942996,0.1811697918029357,0.6515103740128143,1.325395061699279,0.6854696942983078,7657.0,569.0,7088.0,831.0,94.0,737.0
share,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,1296,1296,34304,24276,3251,31053,16,16,,,,PASS,,loss_1,risk_ratio,1.4975464181499316,0.03529655739072953,1.3974484895339334,1.60481426779576,2.608498267930865e-30,8092.0,1004.0,7088.0,895.0,158.0,737.0
share,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,1296,1296,34304,24276,3251,31053,16,16,,,,PASS,,loss_2plus,risk_ratio,2.5926974391813564,0.07653641975750806,2.2315361165325998,3.01231065064833,1.440176653276045e-35,8092.0,1004.0,7088.0,895.0,158.0,737.0
share,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,1296,1296,34304,24276,3251,31053,19,19,,,,PASS,,loss_1,risk_ratio,1.0126317662409485,0.0670634639125125,0.8879060661759063,1.1548779010111105,0.8515228740666958,8092.0,1004.0,7088.0,895.0,158.0,737.0
share,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,1296,1296,34304,24276,3251,31053,19,19,,,,PASS,,loss_2plus,risk_ratio,1.2646097667108012,0.12960524497282866,0.9809262284712529,1.6303344896310055,0.07008295543992736,8092.0,1004.0,7088.0,895.0,158.0,737.0
share,multimorbidity_progression,competing_composite,any,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,35275,24773,7422,27853,15,15,9682.0,2136.0,7546.0,PASS,,any_withdrawal,risk_ratio,1.126800437103179,0.02352027081422202,1.0760352928336923,1.1799605770478683,3.860455719407256e-07,,,,,,
share,multimorbidity_progression,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,35275,24773,7422,27853,18,18,9682.0,2136.0,7546.0,PASS,,any_withdrawal,risk_ratio,1.0173492815689849,0.03930938874567347,0.9419110034326359,1.0988294615277325,0.661700016053292,,,,,,
