cohort,outcome_id,analysis_family,domain,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,alcohol_started_n,alcohol_started_events,alcohol_started_nonevents,alcohol_stopped_n,alcohol_stopped_events,alcohol_stopped_nonevents,alcohol_continued_n,alcohol_continued_events,alcohol_continued_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_started_n,activity_started_events,activity_started_nonevents,activity_stopped_n,activity_stopped_events,activity_stopped_nonevents,activity_continued_n,activity_continued_events,activity_continued_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_started_n,work_started_events,work_started_nonevents,work_stopped_n,work_stopped_events,work_stopped_nonevents,work_continued_n,work_continued_events,work_continued_nonevents,work_loss_n,work_loss_events,work_loss_nonevents
share,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,3611.0,146.0,3465.0,4991.0,371.0,4620.0,19068.0,655.0,18413.0,PASS,,alcohol_started,risk_ratio,1.00047855705191,0.08658963109406852,0.84431121365142,1.1855312673058067,0.9955913889392307,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,3611.0,146.0,3465.0,4991.0,371.0,4620.0,19068.0,655.0,18413.0,PASS,,alcohol_stopped,risk_ratio,1.2959769868344033,0.07418497565026856,1.1206007889952956,1.4987998999271006,0.0004743407399543285,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,mortality,reference_group,alcohol,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,3611.0,146.0,3465.0,4991.0,371.0,4620.0,19068.0,655.0,18413.0,PASS,,alcohol_continued,risk_ratio,0.8775957821661814,0.07262505874426768,0.7611600136257324,1.0118429017404633,0.07220031373099156,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,mortality,reference_group,alcohol,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,24059,17113,1026,23033,17,17,,,,,,,,,,PASS,,alcohol_loss,risk_ratio,1.4994646477913496,0.06342994324681835,1.3241725034280099,1.6979617264030227,1.6950153047873432e-10,4991.0,371.0,4620.0,,,,,,,,,,,,,,,,,,,,,,,,
share,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,,,,,,,,,,PASS,,activity_started,risk_ratio,0.5849946063941152,0.1303348244084905,0.45311731505125846,0.7552540548389607,3.894414005900175e-05,,,,1359.0,71.0,1288.0,5315.0,613.0,4702.0,35840.0,1033.0,34807.0,,,,,,,,,,,,,,,
share,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,,,,,,,,,,PASS,,activity_stopped,risk_ratio,0.848119480645549,0.07679418432181259,0.7296082070258318,0.9858807049096264,0.031942196794176175,,,,1359.0,71.0,1288.0,5315.0,613.0,4702.0,35840.0,1033.0,34807.0,,,,,,,,,,,,,,,
share,mortality,reference_group,activity,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,,,,,,,,,,PASS,,activity_continued,risk_ratio,0.3850162528908271,0.07869708132528015,0.3299833186414944,0.44922729912642584,7.469400572786309e-34,,,,1359.0,71.0,1288.0,5315.0,613.0,4702.0,35840.0,1033.0,34807.0,,,,,,,,,,,,,,,
share,mortality,reference_group,activity,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,41155,29133,1646,39509,17,17,,,,,,,,,,PASS,,activity_loss,risk_ratio,2.1589458811687527,0.052576644154466216,1.9475491883669571,2.3932886243165266,1.6058457000562112e-48,,,,,,,,,,,,,5315.0,613.0,4702.0,,,,,,,,,,,,
share,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,,,,,,,,,,PASS,,work_started,risk_ratio,0.6310120466850199,0.20704479110281684,0.4205337004795023,0.9468354203423126,0.026160564423535034,,,,,,,,,,,,,,,,1195.0,23.0,1172.0,3379.0,94.0,3285.0,7202.0,86.0,7116.0,,,
share,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,,,,,,,,,,PASS,,work_stopped,risk_ratio,1.1953489964912452,0.11832003413175228,0.9479392931598151,1.5073319923786854,0.131529483395705,,,,,,,,,,,,,,,,1195.0,23.0,1172.0,3379.0,94.0,3285.0,7202.0,86.0,7116.0,,,
share,mortality,reference_group,work,four_state_never_had_reference,PASS_SOURCE_STATUS,43677,30506,1917,41760,19,19,,,,,,,,,,PASS,,work_continued,risk_ratio,0.6926741946077831,0.13360036523595367,0.5330993725293329,0.900015202792498,0.005987557363514477,,,,,,,,,,,,,,,,1195.0,23.0,1172.0,3379.0,94.0,3285.0,7202.0,86.0,7116.0,,,
share,mortality,reference_group,work,restricted_stopped_vs_continued,PASS_SOURCE_STATUS,10581,8233,180,10401,17,17,,,,,,,,,,PASS,,work_loss,risk_ratio,1.6681735656846504,0.16050942613592836,1.2179104693233709,2.2848995187594285,0.0014318244922350949,,,,,,,,,,,,,,,,,,,,,,,,,3379.0,94.0,3285.0
share,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,31923,22735,2368,29555,19,19,2758.0,176.0,2582.0,3466.0,311.0,3155.0,14410.0,878.0,13532.0,PASS,,alcohol_started,risk_ratio,0.8696384784515122,0.07840101031195593,0.7457679006903707,1.0140837149243989,0.07481769885739177,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_any_adl,reference_group,alcohol,four_state_never_had_reference,PASS_STRICT_COMPLETE_ITEM_COUNTS,31923,22735,2368,29555,19,19,2758.0,176.0,2582.0,3466.0,311.0,3155.0,14410.0,878.0,13532.0,PASS,,alcohol_stopped,risk_ratio,1.3786406553269803,0.07855530367429081,1.1819107580595467,1.6081163857420848,4.359706784615007e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
