outcome_id,analysis_family,model_id,cohorts,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value
incident_diabetes,pooled_fixed_effects_sensitivity,pooled_current_state_adjusted,charls;elsa;hrs;klosa;share,116570,49053,3428,113142,38,38,30413,1084,29329,PASS,,any_withdrawal,risk_ratio,1.0925689449311549,0.06146968697959051,0.9685582831771905,1.2324574784619307,0.14979651244462855
incident_diabetes,pooled_fixed_effects_sensitivity,pooled_without_current_states,charls;elsa;hrs;klosa;share,116570,49053,3428,113142,35,35,30413,1084,29329,PASS,,any_withdrawal,risk_ratio,1.258676733381567,0.03750893339250598,1.169463151872668,1.354696055723685,8.596765032991114e-10
incident_stroke,pooled_fixed_effects_sensitivity,pooled_current_state_adjusted,charls;elsa;hrs;klosa;share,133764,55236,2328,131436,38,38,35918,762,35156,PASS,,any_withdrawal,risk_ratio,1.0072862795660678,0.07738792004974278,0.8655261654151631,1.1722645594606251,0.925259039888208
incident_stroke,pooled_fixed_effects_sensitivity,pooled_without_current_states,charls;elsa;hrs;klosa;share,133764,55236,2328,131436,35,35,35918,762,35156,PASS,,any_withdrawal,risk_ratio,1.2329274699868713,0.04517665013351976,1.1284520103792521,1.3470755798798622,3.570282008284925e-06
incident_heart_disease,pooled_fixed_effects_sensitivity,pooled_current_state_adjusted,charls;elsa;hrs;klosa;share,113400,47779,4871,108529,38,38,30106,1444,28662,PASS,,any_withdrawal,risk_ratio,0.9663188101457398,0.05310518546461698,0.8707975885035233,1.072318131296364,0.5188219605587883
incident_heart_disease,pooled_fixed_effects_sensitivity,pooled_without_current_states,charls;elsa;hrs;klosa;share,113400,47779,4871,108529,35,35,30106,1444,28662,PASS,,any_withdrawal,risk_ratio,1.1393826242742733,0.03137489732511671,1.0714285904937046,1.2116465586380651,3.1971704212137255e-05
incident_hypertension,pooled_fixed_effects_sensitivity,pooled_current_state_adjusted,charls;elsa;hrs;klosa;share,64585,28613,5584,59001,38,38,16010,1505,14505,PASS,,any_withdrawal,risk_ratio,1.0805247020236783,0.04679212322387201,0.9858371326262687,1.1843068119913993,0.09789938126106551
incident_hypertension,pooled_fixed_effects_sensitivity,pooled_without_current_states,charls;elsa;hrs;klosa;share,64585,28613,5584,59001,35,35,16010,1505,14505,PASS,,any_withdrawal,risk_ratio,1.0742383325940004,0.029571961993692285,1.0137455149045063,1.138340913225192,0.015451745806221955
incident_cancer,pooled_fixed_effects_sensitivity,pooled_current_state_adjusted,charls;elsa;hrs;klosa;share,125285,52955,3299,121986,38,38,34221,944,33277,PASS,,any_withdrawal,risk_ratio,1.0471979570371097,0.06432830546808407,0.9231503387654691,1.1879143788098625,0.47342599322305934
incident_cancer,pooled_fixed_effects_sensitivity,pooled_without_current_states,charls;elsa;hrs;klosa;share,125285,52955,3299,121986,35,35,34221,944,33277,PASS,,any_withdrawal,risk_ratio,1.114571982760795,0.03930777705393422,1.0319277262597486,1.2038349907100327,0.005788696432430572
incident_arthritis,pooled_fixed_effects_sensitivity,pooled_current_state_adjusted,charls;elsa;hrs;klosa;share,73494,33881,5906,67588,38,38,18542,1623,16919,PASS,,any_withdrawal,risk_ratio,1.1278244919483844,0.04561903964072277,1.0313605717611223,1.233310754226934,0.008367991134576112
incident_arthritis,pooled_fixed_effects_sensitivity,pooled_without_current_states,charls;elsa;hrs;klosa;share,73494,33881,5906,67588,35,35,18542,1623,16919,PASS,,any_withdrawal,risk_ratio,1.1072745597514733,0.02856711756685291,1.0469813541099713,1.1710399099849091,0.0003609595770313207
