cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
charls,incident_diabetes,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1081,1081,24,1057,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1081,1081,24,1057,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1062,1062,24,1038,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1062,1062,24,1038,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,880,880,21,859,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,880,880,21,859,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1070,1070,23,1047,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1070,1070,23,1047,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
