cohort,outcome_id,flag,analysis_n,events,flag_n,flag_events,population_coverage,event_coverage,flag_risk
charls,incident_diabetes,withdrawal,818,19,331,9,0.4046454767726161,0.4736842105263157,0.0271903323262839
charls,incident_diabetes,frail,818,19,44,2,0.0537897310513447,0.1052631578947368,0.0454545454545454
charls,incident_diabetes,either,818,19,345,9,0.421760391198044,0.4736842105263157,0.0260869565217391
charls,incident_diabetes,both,818,19,30,2,0.0366748166259168,0.1052631578947368,0.0666666666666666
charls,incident_stroke,withdrawal,867,5,346,3,0.3990772779700115,0.6,0.0086705202312138
charls,incident_stroke,frail,867,5,45,0,0.0519031141868512,0.0,0.0
charls,incident_stroke,either,867,5,361,3,0.4163783160322952,0.6,0.0083102493074792
charls,incident_stroke,both,867,5,30,0,0.0346020761245674,0.0,0.0
charls,incident_heart_disease,withdrawal,752,28,296,8,0.3936170212765957,0.2857142857142857,0.027027027027027
charls,incident_heart_disease,frail,752,28,40,1,0.0531914893617021,0.0357142857142857,0.025
charls,incident_heart_disease,either,752,28,310,8,0.4122340425531915,0.2857142857142857,0.0258064516129032
charls,incident_heart_disease,both,752,28,26,1,0.0345744680851063,0.0357142857142857,0.0384615384615384
charls,incident_hypertension,withdrawal,569,35,219,18,0.3848857644991212,0.5142857142857142,0.0821917808219178
charls,incident_hypertension,frail,569,35,32,2,0.0562390158172231,0.0571428571428571,0.0625
charls,incident_hypertension,either,569,35,231,19,0.40597539543058,0.5428571428571428,0.0822510822510822
charls,incident_hypertension,both,569,35,20,1,0.0351493848857645,0.0285714285714285,0.05
charls,incident_cancer,withdrawal,889,1,357,0,0.4015748031496063,0.0,0.0
charls,incident_cancer,frail,889,1,46,0,0.0517435320584926,0.0,0.0
charls,incident_cancer,either,889,1,372,0,0.4184476940382452,0.0,0.0
charls,incident_cancer,both,889,1,31,0,0.0348706411698537,0.0,0.0
charls,incident_arthritis,withdrawal,536,16,214,5,0.3992537313432835,0.3125,0.0233644859813084
charls,incident_arthritis,frail,536,16,22,1,0.0410447761194029,0.0625,0.0454545454545454
charls,incident_arthritis,either,536,16,220,6,0.4104477611940298,0.375,0.0272727272727272
charls,incident_arthritis,both,536,16,16,0,0.0298507462686567,0.0,0.0
elsa,incident_diabetes,withdrawal,11572,236,2317,59,0.200224680262703,0.25,0.0254639620198532
elsa,incident_diabetes,frail,11572,236,497,23,0.0429484963705496,0.097457627118644,0.0462776659959758
elsa,incident_diabetes,either,11572,236,2628,73,0.2270998963014172,0.3093220338983051,0.0277777777777777
elsa,incident_diabetes,both,11572,236,186,9,0.0160732803318354,0.0381355932203389,0.0483870967741935
elsa,incident_stroke,withdrawal,12298,117,2510,28,0.2040982273540413,0.2393162393162393,0.0111553784860557
elsa,incident_stroke,frail,12298,117,571,12,0.0464303138721743,0.1025641025641025,0.021015761821366
elsa,incident_stroke,either,12298,117,2856,37,0.2322328833956741,0.3162393162393162,0.0129551820728291
elsa,incident_stroke,both,12298,117,225,3,0.0182956578305415,0.0256410256410256,0.0133333333333333
elsa,incident_heart_disease,withdrawal,10502,390,2126,91,0.2024376309274423,0.2333333333333333,0.0428033866415804
elsa,incident_heart_disease,frail,10502,390,418,36,0.0398019424871453,0.0923076923076923,0.0861244019138756
elsa,incident_heart_disease,either,10502,390,2377,115,0.2263378404113502,0.2948717948717949,0.0483803113167858
elsa,incident_heart_disease,both,10502,390,167,12,0.0159017330032374,0.0307692307692307,0.0718562874251497
elsa,incident_hypertension,withdrawal,7218,418,1422,85,0.1970074812967581,0.2033492822966507,0.0597749648382559
elsa,incident_hypertension,frail,7218,418,255,12,0.0353283458021612,0.0287081339712918,0.0470588235294117
elsa,incident_hypertension,either,7218,418,1575,89,0.2182044887780548,0.2129186602870813,0.0565079365079365
elsa,incident_hypertension,both,7218,418,102,8,0.0141313383208645,0.0191387559808612,0.0784313725490196
elsa,incident_cancer,withdrawal,11438,326,2385,61,0.208515474733345,0.1871165644171779,0.0255765199161425
elsa,incident_cancer,frail,11438,326,558,23,0.0487847525791222,0.0705521472392638,0.0412186379928315
elsa,incident_cancer,either,11438,326,2720,73,0.2378038118552194,0.2239263803680981,0.0268382352941176
elsa,incident_cancer,both,11438,326,223,11,0.0194964154572477,0.0337423312883435,0.0493273542600896
elsa,incident_arthritis,withdrawal,7829,403,1508,81,0.1926171924894622,0.2009925558312655,0.0537135278514588
elsa,incident_arthritis,frail,7829,403,207,18,0.0264401583854898,0.0446650124069478,0.0869565217391304
elsa,incident_arthritis,either,7829,403,1630,91,0.2082002810065142,0.2258064516129032,0.0558282208588957
elsa,incident_arthritis,both,7829,403,85,8,0.0108570698684378,0.0198511166253101,0.0941176470588235
hrs,incident_diabetes,withdrawal,12751,398,3340,122,0.2619402399811779,0.3065326633165829,0.0365269461077844
hrs,incident_diabetes,frail,12751,398,680,23,0.0533291506548506,0.057788944723618,0.0338235294117647
hrs,incident_diabetes,either,12751,398,3686,133,0.2890753666379107,0.3341708542713568,0.0360824742268041
hrs,incident_diabetes,both,12751,398,334,12,0.0261940239981177,0.0301507537688442,0.0359281437125748
hrs,incident_stroke,withdrawal,15075,292,4134,86,0.274228855721393,0.2945205479452055,0.0208030962747943
hrs,incident_stroke,frail,15075,292,864,32,0.0573134328358208,0.1095890410958904,0.037037037037037
hrs,incident_stroke,either,15075,292,4553,101,0.3020232172470978,0.3458904109589041,0.0221831759279595
hrs,incident_stroke,both,15075,292,445,17,0.029519071310116,0.0582191780821917,0.0382022471910112
hrs,incident_heart_disease,withdrawal,11802,599,3216,178,0.2724961870869344,0.2971619365609348,0.0553482587064676
hrs,incident_heart_disease,frail,11802,599,607,48,0.0514319606846297,0.0801335559265442,0.0790774299835255
hrs,incident_heart_disease,either,11802,599,3517,200,0.2980003389256058,0.333889816360601,0.0568666477111174
hrs,incident_heart_disease,both,11802,599,306,26,0.0259278088459583,0.0434056761268781,0.0849673202614379
hrs,incident_hypertension,withdrawal,6009,593,1482,161,0.2466300549176235,0.2715008431703204,0.1086369770580296
hrs,incident_hypertension,frail,6009,593,242,29,0.0402729239474122,0.0489038785834738,0.1198347107438016
hrs,incident_hypertension,either,6009,593,1612,180,0.2682642702612747,0.3035413153456998,0.1116625310173697
hrs,incident_hypertension,both,6009,593,112,10,0.018638708603761,0.0168634064080944,0.0892857142857142
hrs,incident_cancer,withdrawal,13372,414,3729,112,0.2788662877654801,0.2705314009661835,0.0300348618932689
hrs,incident_cancer,frail,13372,414,844,29,0.0631169608136404,0.0700483091787439,0.0343601895734597
hrs,incident_cancer,either,13372,414,4143,126,0.3098265031408914,0.3043478260869565,0.0304127443881245
hrs,incident_cancer,both,13372,414,430,15,0.0321567454382291,0.036231884057971,0.0348837209302325
hrs,incident_arthritis,withdrawal,5648,500,1429,146,0.2530099150141643,0.292,0.1021693491952414
hrs,incident_arthritis,frail,5648,500,221,24,0.0391288951841359,0.048,0.1085972850678733
hrs,incident_arthritis,either,5648,500,1541,156,0.2728399433427762,0.312,0.1012329656067488
hrs,incident_arthritis,both,5648,500,109,14,0.019298866855524,0.028,0.128440366972477
share,incident_diabetes,withdrawal,28199,827,7312,260,0.2592999751764246,0.3143893591293833,0.0355579868708971
share,incident_diabetes,frail,28199,827,2033,129,0.0720947551331607,0.1559854897218863,0.0634530250860796
share,incident_diabetes,either,28199,827,8014,297,0.2841944749813823,0.3591293833131802,0.0370601447466932
share,incident_diabetes,both,28199,827,1331,92,0.0472002553282031,0.1112454655380894,0.0691209616829451
share,incident_stroke,withdrawal,31291,667,8218,215,0.262631427567032,0.3223388305847076,0.0261620832319299
share,incident_stroke,frail,31291,667,2354,109,0.0752292991595027,0.1634182908545727,0.046304163126593
share,incident_stroke,either,31291,667,9028,248,0.2885174650858074,0.3718140929535232,0.0274700930438635
share,incident_stroke,both,31291,667,1544,76,0.0493432616407273,0.1139430284857571,0.0492227979274611
share,incident_heart_disease,withdrawal,26644,1340,6874,387,0.2579942951508782,0.2888059701492537,0.0562990980506255
share,incident_heart_disease,frail,26644,1340,1661,195,0.0623404894160036,0.1455223880597015,0.1173991571342564
share,incident_heart_disease,either,26644,1340,7446,458,0.2794625431616874,0.3417910447761194,0.0615095353209777
share,incident_heart_disease,both,26644,1340,1089,124,0.0408722414051944,0.0925373134328358,0.1138659320477502
share,incident_hypertension,withdrawal,15238,1750,3828,462,0.251214070087938,0.264,0.1206896551724138
share,incident_hypertension,frail,15238,1750,767,147,0.0503346895918099,0.084,0.1916558018252933
share,incident_hypertension,either,15238,1750,4104,524,0.2693266832917705,0.2994285714285714,0.1276803118908382
share,incident_hypertension,both,15238,1750,491,85,0.0322220763879774,0.0485714285714285,0.1731160896130346
share,incident_cancer,withdrawal,29906,816,7962,237,0.2662342004948839,0.2904411764705882,0.0297663903541823
share,incident_cancer,frail,29906,816,2441,91,0.0816224169063064,0.1115196078431372,0.0372798033592789
share,incident_cancer,either,29906,816,8802,264,0.2943222095900488,0.3235294117647059,0.0299931833674164
share,incident_cancer,both,29906,816,1601,64,0.0535344078111415,0.0784313725490196,0.0399750156152404
share,incident_arthritis,withdrawal,19598,2510,4940,666,0.2520665374017757,0.2653386454183267,0.1348178137651821
share,incident_arthritis,frail,19598,2510,923,212,0.0470966425145423,0.0844621513944223,0.2296858071505959
share,incident_arthritis,either,19598,2510,5238,745,0.2672721706296561,0.2968127490039841,0.1422298587247041
share,incident_arthritis,both,19598,2510,625,133,0.0318910092866619,0.0529880478087649,0.2128
