cohort,outcome_id,analysis_family,model_id,n,people,events,nonevents,parameters,matrix_rank,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
charls,incident_diabetes,delayed_outcome,delayed_any,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
charls,incident_diabetes,delayed_outcome,delayed_gradient,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
charls,incident_stroke,delayed_outcome,delayed_any,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
charls,incident_stroke,delayed_outcome,delayed_gradient,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,delayed_outcome,delayed_any,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,delayed_outcome,delayed_gradient,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,delayed_outcome,delayed_any,0,0,0,0,22,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,delayed_outcome,delayed_gradient,0,0,0,0,23,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
elsa,incident_stroke,delayed_outcome,delayed_any,0,0,0,0,22,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
elsa,incident_stroke,delayed_outcome,delayed_gradient,0,0,0,0,23,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,delayed_outcome,delayed_any,0,0,0,0,22,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,delayed_outcome,delayed_gradient,0,0,0,0,23,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,delayed_outcome,delayed_any,26831,10556,926,25905,21,21,PASS,7169.0,271.0,6898.0,,any_withdrawal,risk_ratio,1.076809662727485,0.1185022997863156,0.853629870337882,1.358339357647269,0.5323105324671495,,,,,,
hrs,incident_diabetes,delayed_outcome,delayed_gradient,26831,10556,926,25905,22,22,PASS,,,,,loss_1,risk_ratio,1.0937920571548982,0.1200368454072686,0.864488493796892,1.383917857646153,0.455148617217969,6500.0,242.0,6258.0,669.0,29.0,640.0
hrs,incident_diabetes,delayed_outcome,delayed_gradient,26831,10556,926,25905,22,22,PASS,,,,,loss_2plus,risk_ratio,1.3143534293376242,0.2685827667961591,0.7764153215458934,2.225001090617272,0.3088060795770709,6500.0,242.0,6258.0,669.0,29.0,640.0
hrs,incident_stroke,delayed_outcome,delayed_any,32541,12602,651,31890,21,21,PASS,9037.0,213.0,8824.0,,any_withdrawal,risk_ratio,1.0718517491343735,0.1359117595507532,0.821195236569005,1.3990170923572778,0.6096764470645353,,,,,,
hrs,incident_stroke,delayed_outcome,delayed_gradient,32541,12602,651,31890,22,22,PASS,,,,,loss_1,risk_ratio,1.078861694755433,0.1379643334390898,0.8232473096220324,1.413843134142707,0.5821895471388123,8160.0,192.0,7968.0,877.0,21.0,856.0
hrs,incident_stroke,delayed_outcome,delayed_gradient,32541,12602,651,31890,22,22,PASS,,,,,loss_2plus,risk_ratio,1.1445638827088822,0.3082439306557246,0.6255504314209372,2.0941980307261683,0.6613561007804811,8160.0,192.0,7968.0,877.0,21.0,856.0
hrs,incident_heart_disease,delayed_outcome,delayed_any,25982,10441,1402,24580,21,21,PASS,7137.0,435.0,6702.0,,any_withdrawal,risk_ratio,1.2165809497591078,0.092162916896672,1.0155277482318354,1.4574384696959424,0.0334075539346611,,,,,,
hrs,incident_heart_disease,delayed_outcome,delayed_gradient,25982,10441,1402,24580,22,22,PASS,,,,,loss_1,risk_ratio,1.2374109989163389,0.0924524216369288,1.0323294763283593,1.4832338079554148,0.0212160181716369,6442.0,390.0,6052.0,695.0,45.0,650.0
hrs,incident_heart_disease,delayed_outcome,delayed_gradient,25982,10441,1402,24580,22,22,PASS,,,,,loss_2plus,risk_ratio,1.4927127968753906,0.2033957847887347,1.0019486168903091,2.2238580466042883,0.0488916781376497,6442.0,390.0,6052.0,695.0,45.0,650.0
klosa,incident_diabetes,delayed_outcome,delayed_any,9450,3728,260,9190,18,18,PASS,2760.0,69.0,2691.0,,any_withdrawal,risk_ratio,0.8212984075394294,0.2325394298365007,0.5206706042735116,1.2955044296536993,0.3972159897799424,,,,,,
klosa,incident_diabetes,delayed_outcome,delayed_gradient,9450,3728,260,9190,19,19,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,2568.0,62.0,2506.0,192.0,7.0,185.0
klosa,incident_stroke,delayed_outcome,delayed_any,11301,4411,134,11167,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_stroke,delayed_outcome,delayed_gradient,11301,4411,134,11167,19,19,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,delayed_outcome,delayed_any,10824,4234,160,10664,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,delayed_outcome,delayed_gradient,10824,4234,160,10664,19,19,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
mhas,incident_diabetes,delayed_outcome,delayed_any,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
mhas,incident_diabetes,delayed_outcome,delayed_gradient,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
mhas,incident_stroke,delayed_outcome,delayed_any,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
mhas,incident_stroke,delayed_outcome,delayed_gradient,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
mhas,incident_heart_disease,delayed_outcome,delayed_any,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
mhas,incident_heart_disease,delayed_outcome,delayed_gradient,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,
share,incident_diabetes,delayed_outcome,delayed_any,23585,15426,663,22922,19,19,PASS,5829.0,190.0,5639.0,,any_withdrawal,risk_ratio,1.2910830590842295,0.1454961512287285,0.9707505250605416,1.7171203336205614,0.0790999040180679,,,,,,
share,incident_diabetes,delayed_outcome,delayed_gradient,23585,15426,663,22922,20,20,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,5273.0,176.0,5097.0,556.0,14.0,542.0
share,incident_stroke,delayed_outcome,delayed_any,26299,17267,602,25697,19,19,PASS,6630.0,153.0,6477.0,,any_withdrawal,risk_ratio,0.9379504814589495,0.1562970058855707,0.6904618030899531,1.2741488402863348,0.6819169470269757,,,,,,
share,incident_stroke,delayed_outcome,delayed_gradient,26299,17267,602,25697,20,20,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,6011.0,139.0,5872.0,619.0,14.0,605.0
share,incident_heart_disease,delayed_outcome,delayed_any,22094,14589,1139,20955,19,19,PASS,5511.0,286.0,5225.0,,any_withdrawal,risk_ratio,0.936839169341529,0.1117562152654512,0.752554535401284,1.166251198983909,0.5593526068819978,,,,,,
share,incident_heart_disease,delayed_outcome,delayed_gradient,22094,14589,1139,20955,20,20,PASS,,,,,loss_1,risk_ratio,0.955638606278902,0.1133041370502575,0.7653305153712859,1.1932689569651334,0.6888067582526449,5018.0,256.0,4762.0,493.0,30.0,463.0
share,incident_heart_disease,delayed_outcome,delayed_gradient,22094,14589,1139,20955,20,20,PASS,,,,,loss_2plus,risk_ratio,1.1544016153165817,0.2593000016965713,0.6944490116937604,1.918993427890721,0.579763804959778,5018.0,256.0,4762.0,493.0,30.0,463.0
