cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
charls,incident_diabetes,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,825,825,20,805,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,1057,1057,23,1034,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,774,774,17,757,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,774,774,17,757,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,818,818,19,799,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,874,874,5,869,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,1127,1127,7,1120,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,822,822,5,817,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,822,822,5,817,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,867,867,5,862,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,758,758,28,730,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,977,977,33,944,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,712,712,27,685,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,712,712,27,685,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,752,752,28,724,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,575,575,35,540,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,757,757,51,706,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,537,537,33,504,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,537,537,33,504,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,569,569,35,534,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,889,889,1,888,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
