cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,model_id,model_status,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
charls,incident_diabetes,head_to_head_cv,818,818,19,799,18,18,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv,818,818,19,799,18,18,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv,818,818,19,799,18,18,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv,818,818,19,799,18,18,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv_binary_flag,818,818,19,799,17,17,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv_binary_flag,818,818,19,799,17,17,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv_binary_flag,818,818,19,799,17,17,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,head_to_head_cv_binary_flag,818,818,19,799,17,17,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv,867,867,5,862,18,18,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv,867,867,5,862,18,18,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv,867,867,5,862,18,18,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv,867,867,5,862,18,18,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv_binary_flag,867,867,5,862,17,17,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv_binary_flag,867,867,5,862,17,17,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv_binary_flag,867,867,5,862,17,17,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,head_to_head_cv_binary_flag,867,867,5,862,17,17,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv,752,752,28,724,18,18,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv,752,752,28,724,18,18,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv,752,752,28,724,18,18,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv,752,752,28,724,18,18,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv_binary_flag,752,752,28,724,17,17,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv_binary_flag,752,752,28,724,17,17,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv_binary_flag,752,752,28,724,17,17,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,head_to_head_cv_binary_flag,752,752,28,724,17,17,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv,569,569,35,534,18,18,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv,569,569,35,534,18,18,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv,569,569,35,534,18,18,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv,569,569,35,534,18,18,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv_binary_flag,569,569,35,534,17,17,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv_binary_flag,569,569,35,534,17,17,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv_binary_flag,569,569,35,534,17,17,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,head_to_head_cv_binary_flag,569,569,35,534,17,17,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv,889,889,1,888,18,18,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv,889,889,1,888,18,18,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv,889,889,1,888,18,18,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv,889,889,1,888,18,18,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv_binary_flag,889,889,1,888,17,17,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv_binary_flag,889,889,1,888,17,17,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv_binary_flag,889,889,1,888,17,17,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,head_to_head_cv_binary_flag,889,889,1,888,17,17,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv,536,536,16,520,18,18,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv,536,536,16,520,18,18,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv,536,536,16,520,18,18,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv,536,536,16,520,18,18,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv_binary_flag,536,536,16,520,17,17,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv_binary_flag,536,536,16,520,17,17,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv_binary_flag,536,536,16,520,17,17,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,head_to_head_cv_binary_flag,536,536,16,520,17,17,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,M0_routine,NOT_EVALUABLE_CV_SUPPORT,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,M2_fried,NOT_EVALUABLE_CV_SUPPORT,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,,,,,,,,
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M0_routine,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,c_statistic,0.6208935385093837,0.5851206261940092,0.657355206706048,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M0_routine,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,brier_score,0.0199172660744007,0.017501406795315,0.022184925780886,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M1b_any_withdrawal,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,c_statistic,0.6211652841405213,0.5858078754358323,0.6568374714524527,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M1b_any_withdrawal,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,brier_score,0.019920751795538,0.0175039620618949,0.0221895198497801,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M2_fried,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,c_statistic,0.6200693306460294,0.5827173882750701,0.6548301337682435,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M2_fried,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,brier_score,0.0199127330759949,0.0175003247962034,0.022185125500237,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M3b_fried_any_withdrawal,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,c_statistic,0.6200932532325395,0.5832060671267401,0.6545950799748126,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,M3b_fried_any_withdrawal,PASS,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,2317.0,59.0,2258.0,brier_score,0.019915632142317,0.01750218801715,0.0221909635419774,500.0
