cohort,outcome_id,risk_model,state,model_status,standardized_risk,n
charls,incident_diabetes,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
charls,incident_stroke,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
charls,incident_heart_disease,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
charls,incident_hypertension,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
charls,incident_cancer,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
charls,incident_arthritis,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
elsa,incident_diabetes,four_state,NOT_EVALUABLE,NOT_EVALUABLE_BOTH_EVENTS,,
elsa,incident_stroke,four_state,NOT_EVALUABLE,NOT_EVALUABLE_EPV,,
elsa,incident_heart_disease,four_state,neither,,0.0350887291395461,10502.0
elsa,incident_heart_disease,four_state,withdrawal_only,,0.0398181886326991,10502.0
elsa,incident_heart_disease,four_state,frailty_only,,0.0594625325302857,10502.0
elsa,incident_heart_disease,four_state,both,,0.0433068955131313,10502.0
elsa,incident_hypertension,four_state,NOT_EVALUABLE,NOT_EVALUABLE_FRAILTY_ONLY_EVENTS,,
elsa,incident_cancer,four_state,neither,,0.0326897907112452,11438.0
elsa,incident_cancer,four_state,withdrawal_only,,0.0171906204392643,11438.0
elsa,incident_cancer,four_state,frailty_only,,0.0294400580694519,11438.0
elsa,incident_cancer,four_state,both,,0.0287649479575386,11438.0
elsa,incident_arthritis,four_state,NOT_EVALUABLE,NOT_EVALUABLE_BOTH_EVENTS,,
hrs,incident_diabetes,four_state,neither,,0.0292453074805922,12751.0
hrs,incident_diabetes,four_state,withdrawal_only,,0.0370210194058461,12751.0
hrs,incident_diabetes,four_state,frailty_only,,0.0302593483400823,12751.0
hrs,incident_diabetes,four_state,both,,0.033811557867081,12751.0
hrs,incident_stroke,four_state,neither,,0.0210446422949673,15075.0
hrs,incident_stroke,four_state,withdrawal_only,,0.0150816590620826,15075.0
hrs,incident_stroke,four_state,frailty_only,,0.0274619490036678,15075.0
hrs,incident_stroke,four_state,both,,0.0193676582170162,15075.0
hrs,incident_heart_disease,four_state,neither,,0.048250669389574,11802.0
hrs,incident_heart_disease,four_state,withdrawal_only,,0.054301571235041,11802.0
hrs,incident_heart_disease,four_state,frailty_only,,0.0596517746713294,11802.0
hrs,incident_heart_disease,four_state,both,,0.0712924138547283,11802.0
hrs,incident_hypertension,four_state,neither,,0.0922389737114634,6009.0
hrs,incident_hypertension,four_state,withdrawal_only,,0.1198778972688426,6009.0
hrs,incident_hypertension,four_state,frailty_only,,0.1234522383413956,6009.0
hrs,incident_hypertension,four_state,both,,0.0847605905976823,6009.0
hrs,incident_cancer,four_state,neither,,0.0298756143496744,13372.0
hrs,incident_cancer,four_state,withdrawal_only,,0.0328692512355176,13372.0
hrs,incident_cancer,four_state,frailty_only,,0.0342693708709216,13372.0
hrs,incident_cancer,four_state,both,,0.0402774947777121,13372.0
hrs,incident_arthritis,four_state,neither,,0.0837558278792486,5648.0
hrs,incident_arthritis,four_state,withdrawal_only,,0.1008949388069202,5648.0
hrs,incident_arthritis,four_state,frailty_only,,0.0842994252642765,5648.0
hrs,incident_arthritis,four_state,both,,0.1229075469236741,5648.0
share,incident_diabetes,four_state,neither,,0.0277451707785729,28199.0
share,incident_diabetes,four_state,withdrawal_only,,0.0277428381785776,28199.0
share,incident_diabetes,four_state,frailty_only,,0.0412473465276126,28199.0
share,incident_diabetes,four_state,both,,0.0429118033034459,28199.0
share,incident_stroke,four_state,neither,,0.0197154181720004,31291.0
share,incident_stroke,four_state,withdrawal_only,,0.0208784727751862,31291.0
share,incident_stroke,four_state,frailty_only,,0.0287290351531373,31291.0
share,incident_stroke,four_state,both,,0.0340447058166307,31291.0
share,incident_heart_disease,four_state,neither,,0.0474775172726995,26644.0
share,incident_heart_disease,four_state,withdrawal_only,,0.0469624638841522,26644.0
share,incident_heart_disease,four_state,frailty_only,,0.0893692224411602,26644.0
share,incident_heart_disease,four_state,both,,0.0741577218653773,26644.0
share,incident_hypertension,four_state,neither,,0.1144758246822637,15238.0
share,incident_hypertension,four_state,withdrawal_only,,0.1108361108566954,15238.0
share,incident_hypertension,four_state,frailty_only,,0.1663166252858039,15238.0
share,incident_hypertension,four_state,both,,0.1127150924230935,15238.0
share,incident_cancer,four_state,neither,,0.0276826835776642,29906.0
share,incident_cancer,four_state,withdrawal_only,,0.0250967319375082,29906.0
share,incident_cancer,four_state,frailty_only,,0.0310338062660339,29906.0
share,incident_cancer,four_state,both,,0.0290593412502847,29906.0
share,incident_arthritis,four_state,neither,,0.1202494296094647,19598.0
share,incident_arthritis,four_state,withdrawal_only,,0.1396846521103046,19598.0
share,incident_arthritis,four_state,frailty_only,,0.2023048420503133,19598.0
share,incident_arthritis,four_state,both,,0.1862906464534862,19598.0
