cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,risk_set_n,observed_n,unknown_n,weight_mean,weight_min,weight_max,weight_effective_n,weight_truncation_low,weight_truncation_high,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,imputations,ordinary_covariate_missing_cells,rubin_within_variance,rubin_between_variance,rubin_degrees_freedom
charls,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1122.0,1122.0,59.0,1063.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1087.0,1087.0,24.0,1063.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1087.0,1087.0,24.0,1063.0,15.0,15.0,NOT_EVALUABLE_EPV,1183.0,1087.0,96.0,0.999635652543397,0.9440326266284657,1.254484760340924,1083.422683155552,0.9440326266284657,1.254484760340924,,,,,,,,,,,,,,,,
charls,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1190.0,1190.0,41.0,1149.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1156.0,1156.0,7.0,1149.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1156.0,1156.0,7.0,1149.0,15.0,15.0,NOT_EVALUABLE_EPV,1248.0,1156.0,92.0,0.9985467640189228,0.9441171392892662,1.262847886161,1151.498701406506,0.9441171392892662,1.262847886161,,,,,,,,,,,,,,,,
charls,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1040.0,1040.0,69.0,971.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1005.0,1005.0,34.0,971.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1005.0,1005.0,34.0,971.0,15.0,15.0,NOT_EVALUABLE_EPV,1091.0,1005.0,86.0,0.9988630344058462,0.9423651692772312,1.271976972965137,1001.027082330596,0.9423651692772312,1.271976972965137,,,,,,,,,,,,,,,,
charls,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,811.0,811.0,85.0,726.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,777.0,777.0,51.0,726.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_hypertension,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,777.0,777.0,51.0,726.0,15.0,15.0,NOT_EVALUABLE_EPV,838.0,777.0,61.0,0.9988823870318276,0.949489874846518,1.2266105661981244,774.9933430616098,0.949489874846518,1.2266105661981244,,,,,,,,,,,,,,,,
charls,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1217.0,1217.0,36.0,1181.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1183.0,1183.0,2.0,1181.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_cancer,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1183.0,1183.0,2.0,1181.0,15.0,15.0,NOT_EVALUABLE_EPV,1271.0,1183.0,88.0,0.9994148868587042,0.9508495545278824,1.2220320418878603,1179.8610608954623,0.9508495545278824,1.2220320418878603,,,,,,,,,,,,,,,,
charls,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,747.0,747.0,56.0,691.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,713.0,713.0,22.0,691.0,15.0,15.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,
