cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
charls,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,12,12,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,14,14,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
