cohort,outcome_id,intervals,people,events,withdrawal_intervals,withdrawal_events
charls,incident_diabetes,0,0,0,0,0
charls,incident_stroke,0,0,0,0,0
charls,incident_heart_disease,0,0,0,0,0
elsa,incident_diabetes,0,0,0,0,0
elsa,incident_stroke,0,0,0,0,0
elsa,incident_heart_disease,0,0,0,0,0
hrs,incident_diabetes,27033,10633,930,7237,272
hrs,incident_stroke,32780,12693,654,9117,214
hrs,incident_heart_disease,26185,10521,1412,7210,438
klosa,incident_diabetes,9512,3740,263,2780,71
klosa,incident_stroke,11372,4421,135,3371,39
klosa,incident_heart_disease,10895,4246,161,3216,46
mhas,incident_diabetes,0,0,0,0,0
mhas,incident_stroke,0,0,0,0,0
mhas,incident_heart_disease,0,0,0,0,0
share,incident_diabetes,29394,17770,815,6970,226
share,incident_stroke,32860,19926,764,7977,185
share,incident_heart_disease,27532,16859,1423,6596,342
