cohort,stage,intervals,people
charls,source_respondents,,25586
charls,age_60_three_wave_intervals,16310.0,9685
charls,comparable_22_30_month_intervals,7509.0,7509
charls,three_behaviors_observed,2360.0,2360
charls,primary_behavior_risk_set,1812.0,1812
charls,fried5_complete_risk_set,1331.0,1331
charls,fi26_complete_risk_set,1763.0,1763
elsa,source_respondents,,21679
elsa,age_60_three_wave_intervals,51732.0,12616
elsa,comparable_22_30_month_intervals,45382.0,12198
elsa,three_behaviors_observed,36063.0,10646
elsa,primary_behavior_risk_set,34655.0,10412
elsa,fried5_complete_risk_set,15595.0,8129
elsa,fi26_complete_risk_set,10605.0,6231
hrs,source_respondents,,39358
hrs,age_60_three_wave_intervals,128321.0,26098
hrs,comparable_22_30_month_intervals,115652.0,26013
hrs,three_behaviors_observed,87214.0,23154
hrs,primary_behavior_risk_set,73329.0,21352
hrs,fried5_complete_risk_set,18370.0,11270
hrs,fi26_complete_risk_set,51916.0,18337
klosa,source_respondents,,9269
klosa,age_60_three_wave_intervals,26664.0,7319
klosa,comparable_22_30_month_intervals,26664.0,7319
klosa,three_behaviors_observed,26663.0,7319
klosa,primary_behavior_risk_set,17751.0,5983
mhas,source_respondents,,27159
mhas,age_60_three_wave_intervals,35520.0,15510
mhas,comparable_22_30_month_intervals,0.0,0
mhas,three_behaviors_observed,0.0,0
mhas,primary_behavior_risk_set,0.0,0
share,source_respondents,,158764
share,age_60_three_wave_intervals,173832.0,75449
share,comparable_22_30_month_intervals,116755.0,64861
share,three_behaviors_observed,87330.0,49072
share,primary_behavior_risk_set,78247.0,45365
share,fried5_complete_risk_set,73506.0,43100
share,fi26_complete_risk_set,76606.0,44424
