cohort,group,variable,summary_type,mean,sd,count,denominator,percent
charls,all,age_years,mean_sd,67.00386313465783,5.981702864998716,,1812,
charls,all,female,count_percent,,,802.0,1812,44.260485651214125
charls,all,education_rank,mean_sd,0.4962714352784018,0.11617203094366031,,1812,
charls,all,economic_rank,mean_sd,0.4870729784635077,0.2856432058318174,,1733,
charls,all,current_smoking,count_percent,,,281.0,1364,20.60117302052786
charls,all,baseline_disease_count,mean_sd,0.9775659001682557,0.9660635050819066,,1783,
charls,all,current_drinking,count_percent,,,666.0,1812,36.75496688741722
charls,all,current_regular_activity,count_percent,,,1136.0,1812,62.69315673289183
charls,all,current_paid_work,count_percent,,,1142.0,1812,63.0242825607064
charls,all,alcohol_withdrawal,count_percent,,,176.0,1812,9.713024282560706
charls,all,activity_withdrawal,count_percent,,,469.0,1812,25.88300220750552
charls,all,paid_work_withdrawal,count_percent,,,289.0,1812,15.949227373068434
charls,all,baseline_diabetes,count_percent,,,123.0,1800,6.833333333333333
charls,all,baseline_stroke,count_percent,,,50.0,1809,2.7639579878385847
charls,all,baseline_heart_disease,count_percent,,,270.0,1807,14.941892639734366
charls,all,baseline_hypertension,count_percent,,,605.0,1801,33.592448639644644
charls,all,baseline_cancer,count_percent,,,21.0,1809,1.1608623548922057
charls,all,baseline_arthritis,count_percent,,,695.0,1809,38.41901603095633
charls,all,fried_robust,count_percent,,,616.0,1331,46.28099173553719
charls,all,fried_prefrail,count_percent,,,643.0,1331,48.30954169797145
charls,all,fried_frail,count_percent,,,72.0,1331,5.40946656649136
charls,all,frailty_index,mean_sd,0.21227144150346894,0.12014498774789499,,1763,
charls,withdrawal_0,age_years,mean_sd,66.27550047664442,5.463391381168487,,1049,
charls,withdrawal_0,female,count_percent,,,450.0,1049,42.89799809342231
charls,withdrawal_0,education_rank,mean_sd,0.49745237396090686,0.11853370809571132,,1049,
charls,withdrawal_0,economic_rank,mean_sd,0.508794772124369,0.28242216823883576,,1006,
charls,withdrawal_0,current_smoking,count_percent,,,176.0,801,21.972534332084894
charls,withdrawal_0,baseline_disease_count,mean_sd,0.9448209099709584,0.9634074258015044,,1033,
charls,withdrawal_0,current_drinking,count_percent,,,480.0,1049,45.7578646329838
charls,withdrawal_0,current_regular_activity,count_percent,,,934.0,1049,89.0371782650143
charls,withdrawal_0,current_paid_work,count_percent,,,852.0,1049,81.22020972354623
charls,withdrawal_0,alcohol_withdrawal,count_percent,,,0.0,1049,0.0
charls,withdrawal_0,activity_withdrawal,count_percent,,,0.0,1049,0.0
charls,withdrawal_0,paid_work_withdrawal,count_percent,,,0.0,1049,0.0
charls,withdrawal_0,baseline_diabetes,count_percent,,,72.0,1042,6.90978886756238
charls,withdrawal_0,baseline_stroke,count_percent,,,27.0,1049,2.573879885605338
charls,withdrawal_0,baseline_heart_disease,count_percent,,,140.0,1047,13.371537726838586
charls,withdrawal_0,baseline_hypertension,count_percent,,,332.0,1043,31.83125599232982
charls,withdrawal_0,baseline_cancer,count_percent,,,9.0,1047,0.8595988538681948
charls,withdrawal_0,baseline_arthritis,count_percent,,,405.0,1046,38.718929254302104
charls,withdrawal_0,fried_robust,count_percent,,,399.0,786,50.76335877862596
charls,withdrawal_0,fried_prefrail,count_percent,,,365.0,786,46.43765903307888
charls,withdrawal_0,fried_frail,count_percent,,,22.0,786,2.7989821882951653
