cohort,outcome_id,flag,analysis_n,events,flag_n,flag_events,population_coverage,event_coverage,flag_risk
charls,incident_diabetes,withdrawal,818,19,331,9,0.40464547677261614,0.47368421052631576,0.027190332326283987
charls,incident_diabetes,frail,818,19,44,2,0.05378973105134474,0.10526315789473684,0.045454545454545456
charls,incident_diabetes,either,818,19,345,9,0.421760391198044,0.47368421052631576,0.02608695652173913
charls,incident_diabetes,both,818,19,30,2,0.03667481662591687,0.10526315789473684,0.06666666666666667
charls,incident_stroke,withdrawal,867,5,346,3,0.3990772779700115,0.6,0.008670520231213872
charls,incident_stroke,frail,867,5,45,0,0.05190311418685121,0.0,0.0
charls,incident_stroke,either,867,5,361,3,0.41637831603229525,0.6,0.008310249307479225
charls,incident_stroke,both,867,5,30,0,0.03460207612456748,0.0,0.0
charls,incident_heart_disease,withdrawal,752,28,296,8,0.39361702127659576,0.2857142857142857,0.02702702702702703
charls,incident_heart_disease,frail,752,28,40,1,0.05319148936170213,0.03571428571428571,0.025
charls,incident_heart_disease,either,752,28,310,8,0.4122340425531915,0.2857142857142857,0.025806451612903226
charls,incident_heart_disease,both,752,28,26,1,0.034574468085106384,0.03571428571428571,0.038461538461538464
charls,incident_hypertension,withdrawal,569,35,219,18,0.38488576449912126,0.5142857142857142,0.0821917808219178
charls,incident_hypertension,frail,569,35,32,2,0.056239015817223195,0.05714285714285714,0.0625
charls,incident_hypertension,either,569,35,231,19,0.40597539543058,0.5428571428571428,0.08225108225108226
charls,incident_hypertension,both,569,35,20,1,0.0351493848857645,0.02857142857142857,0.05
charls,incident_cancer,withdrawal,889,1,357,0,0.4015748031496063,0.0,0.0
charls,incident_cancer,frail,889,1,46,0,0.05174353205849269,0.0,0.0
charls,incident_cancer,either,889,1,372,0,0.4184476940382452,0.0,0.0
charls,incident_cancer,both,889,1,31,0,0.03487064116985377,0.0,0.0
charls,incident_arthritis,withdrawal,536,16,214,5,0.39925373134328357,0.3125,0.02336448598130841
charls,incident_arthritis,frail,536,16,22,1,0.041044776119402986,0.0625,0.045454545454545456
charls,incident_arthritis,either,536,16,220,6,0.41044776119402987,0.375,0.02727272727272727
charls,incident_arthritis,both,536,16,16,0,0.029850746268656716,0.0,0.0
