cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,risk_set_n,observed_n,unknown_n,weight_mean,weight_min,weight_max,weight_effective_n,weight_truncation_low,weight_truncation_high
charls,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1122,1122,59,1063,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,15,15,NOT_EVALUABLE_EPV,1183.0,1087.0,96.0,0.999635652543397,0.9440326266284655,1.254484760340924,1083.422683155552,0.9440326266284655,1.254484760340924
charls,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1190,1190,41,1149,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,15,15,NOT_EVALUABLE_EPV,1248.0,1156.0,92.0,0.9985467640189227,0.9441171392892662,1.262847886161,1151.4987014065061,0.9441171392892662,1.262847886161
charls,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1040,1040,69,971,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,15,15,NOT_EVALUABLE_EPV,1091.0,1005.0,86.0,0.9988630344058462,0.9423651692772311,1.2719769729651367,1001.0270823305959,0.9423651692772311,1.2719769729651367
charls,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,811,811,85,726,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_hypertension,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,777,777,51,726,15,15,NOT_EVALUABLE_EPV,838.0,777.0,61.0,0.9988823870318276,0.9494898748465181,1.2266105661981244,774.9933430616098,0.9494898748465181,1.2266105661981244
charls,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,1217,1217,36,1181,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_cancer,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,1183,1183,2,1181,15,15,NOT_EVALUABLE_EPV,1271.0,1183.0,88.0,0.9994148868587042,0.9508495545278824,1.2220320418878603,1179.8610608954623,0.9508495545278824,1.2220320418878603
charls,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,747,747,56,691,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,15,15,NOT_EVALUABLE_EPV,,,,,,,,,
charls,incident_arthritis,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,713,713,22,691,15,15,NOT_EVALUABLE_EPV,783.0,713.0,70.0,0.9994912131433146,0.926992924461915,1.3926144949278056,708.0577195910423,0.926992924461915,1.3926144949278056
