cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
charls,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,15,15,NOT_EVALUABLE_EPV
charls,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,15,15,NOT_EVALUABLE_EPV
charls,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,17,17,NOT_EVALUABLE_EPV
charls,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,16,16,NOT_EVALUABLE_EPV
charls,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,18,18,NOT_EVALUABLE_EPV
charls,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,12,12,NOT_EVALUABLE_EPV
charls,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,12,12,NOT_EVALUABLE_EPV
charls,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,1087,1087,24,1063,14,14,NOT_EVALUABLE_EPV
charls,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,15,15,NOT_EVALUABLE_EPV
charls,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,15,15,NOT_EVALUABLE_EPV
charls,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,17,17,NOT_EVALUABLE_EPV
charls,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,16,16,NOT_EVALUABLE_EPV
charls,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,18,18,NOT_EVALUABLE_EPV
charls,incident_stroke,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,12,12,NOT_EVALUABLE_EPV
charls,incident_stroke,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,12,12,NOT_EVALUABLE_EPV
charls,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,1156,1156,7,1149,14,14,NOT_EVALUABLE_EPV
charls,incident_heart_disease,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,15,15,NOT_EVALUABLE_EPV
charls,incident_heart_disease,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,15,15,NOT_EVALUABLE_EPV
charls,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,17,17,NOT_EVALUABLE_EPV
charls,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,16,16,NOT_EVALUABLE_EPV
charls,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,1005,1005,34,971,18,18,NOT_EVALUABLE_EPV
