cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
elsa,incident_diabetes,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,19026,7408,322,18704,19,19,3875.0,85.0,3790.0,PASS,,any_withdrawal,risk_ratio,1.0792154285005444,0.22649155213775332,0.6923380279433601,1.6822793117019104,0.7364275584496417,
elsa,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,19026,7408,322,18704,20,20,3875.0,85.0,3790.0,PASS,,any_withdrawal,risk_ratio,1.0783622782943318,0.22642209078683065,0.6918849032309045,1.6807205906905822,0.7389845162638282,1.037381574064299
elsa,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,19026,7408,322,18704,20,20,3875.0,85.0,3790.0,PASS,,context_self_rated_health_worsening,risk_ratio,1.200794050570193,0.11911377308680553,0.9507770716897613,1.5165556625404886,0.12448837155580408,1.037381574064299
elsa,incident_diabetes,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,24563,7554,425,24138,21,21,4980.0,105.0,4875.0,PASS,,any_withdrawal,risk_ratio,0.9492535629251769,0.20170199149978169,0.6392830496924233,1.4095201290878558,0.7962530466637312,
elsa,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,24563,7554,425,24138,22,22,4980.0,105.0,4875.0,PASS,,any_withdrawal,risk_ratio,0.9462182014458467,0.20140340380259772,0.6376118939531632,1.404191002768811,0.7837124394207894,-6.1497591439499475
elsa,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,24563,7554,425,24138,22,22,4980.0,105.0,4875.0,PASS,,context_cesd_worsening,risk_ratio,1.129585747481069,0.1059401510141583,0.9177888642893249,1.390258708249187,0.2500669142446451,-6.1497591439499475
elsa,incident_diabetes,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,12683,6536,255,12428,18,18,2602.0,65.0,2537.0,PASS,,any_withdrawal,risk_ratio,0.9087514709753738,0.2603762119503461,0.5455222810749875,1.513832275324401,0.7132593431727423,
elsa,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,12683,6536,255,12428,19,19,2602.0,65.0,2537.0,PASS,,any_withdrawal,risk_ratio,0.9079896737221804,0.260172507055954,0.5452826381723902,1.5119594681198423,0.7106424761061574,-0.8764733629095354
elsa,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,12683,6536,255,12428,19,19,2602.0,65.0,2537.0,PASS,,context_bmi_or_weight_loss,risk_ratio,1.2016597179197008,0.2769842607208498,0.6982518142796611,2.0680018986567434,0.5071845824633041,-0.8764733629095354
elsa,incident_diabetes,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,24697,7581,428,24269,21,21,5011.0,106.0,4905.0,PASS,,any_withdrawal,risk_ratio,0.9883892845939014,0.1990135279853725,0.6691560460398801,1.4599186298644347,0.9532048592752526,
elsa,incident_diabetes,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,24697,7581,428,24269,22,22,5011.0,106.0,4905.0,PASS,,any_withdrawal,risk_ratio,0.9903293571495166,0.19905052197350906,0.6704208956552912,1.4628903156032387,0.9610625004256214,16.790806774916334
elsa,incident_diabetes,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,24697,7581,428,24269,22,22,5011.0,106.0,4905.0,PASS,,context_incident_non_target_disease,risk_ratio,0.8672021827751528,0.14670263468132355,0.6504993295657026,1.156095927588548,0.331429918335853,16.790806774916334
elsa,incident_diabetes,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,3721,3721,77,3644,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_diabetes,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,3721,3721,77,3644,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_diabetes,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,3466,3466,70,3396,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,3466,3466,70,3396,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_stroke,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,20339,7858,211,20128,19,19,4221.0,53.0,4168.0,PASS,,any_withdrawal,risk_ratio,0.7542700653588812,0.3018879537125334,0.41740666570595975,1.3629953190476034,0.35023307303163276,
elsa,incident_stroke,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,20339,7858,211,20128,20,20,4221.0,53.0,4168.0,PASS,,any_withdrawal,risk_ratio,0.7482367521869068,0.3014784159021228,0.4144003784649989,1.351008026095462,0.33602694187041515,-2.847837796822726
elsa,incident_stroke,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,20339,7858,211,20128,20,20,4221.0,53.0,4168.0,PASS,,context_self_rated_health_worsening,risk_ratio,1.40671442585982,0.14463518025427566,1.0594787550283584,1.8677538049067879,0.018302962835961972,-2.847837796822726
elsa,incident_stroke,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,26240,8001,290,25950,21,21,5409.0,70.0,5339.0,PASS,,any_withdrawal,risk_ratio,0.7089649782146634,0.2605313179714678,0.4254613583552145,1.1813795318052718,0.18677375633369386,
elsa,incident_stroke,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,26240,8001,290,25950,22,22,5409.0,70.0,5339.0,PASS,,any_withdrawal,risk_ratio,0.7122544764707375,0.2606480283303109,0.42733767563818276,1.1871324907053815,0.19297372157293147,1.3458759969297993
elsa,incident_stroke,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,26240,8001,290,25950,22,22,5409.0,70.0,5339.0,PASS,,context_cesd_worsening,risk_ratio,0.8648174603283774,0.13603167747665584,0.6624209748692265,1.1290542843038371,0.2856697877581462,1.3458759969297993
elsa,incident_stroke,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,13489,6912,128,13361,18,18,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_stroke,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,13489,6912,128,13361,19,19,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_stroke,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,26376,8028,292,26084,21,21,5441.0,70.0,5371.0,PASS,,any_withdrawal,risk_ratio,0.6943585559993699,0.2603413749964981,0.41685096494592344,1.1566095435381216,0.16118130036147593,
elsa,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,26376,8028,292,26084,22,22,5441.0,70.0,5371.0,PASS,,any_withdrawal,risk_ratio,0.6930776123916861,0.26052750560903787,0.4159302008379809,1.154897085690769,0.15936924615344517,-0.5062112750445771
elsa,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,26376,8028,292,26084,22,22,5441.0,70.0,5371.0,PASS,,context_incident_non_target_disease,risk_ratio,1.0864605219557273,0.1749600688950097,0.7710591045384111,1.5308767626509603,0.6355239043819749,-0.5062112750445771
elsa,incident_stroke,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,4005,4005,29,3976,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_stroke,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,4005,4005,29,3976,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_stroke,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,3729,3729,27,3702,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,3729,3729,27,3702,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_heart_disease,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,17259,6851,675,16584,19,19,3553.0,162.0,3391.0,PASS,,any_withdrawal,risk_ratio,1.0598640483020545,0.1595427817241594,0.775259503389442,1.4489494110966585,0.7155441077959359,
elsa,incident_heart_disease,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,17259,6851,675,16584,20,20,3553.0,162.0,3391.0,PASS,,any_withdrawal,risk_ratio,1.0557580398728739,0.15943423789445893,0.772420387283388,1.443029025523734,0.7336138084546879,6.676247834325226
elsa,incident_heart_disease,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,17259,6851,675,16584,20,20,3553.0,162.0,3391.0,PASS,,context_self_rated_health_worsening,risk_ratio,1.2060653173002804,0.08114706547967267,1.0287226956091777,1.413980225966786,0.020947217513705818,6.676247834325226
elsa,incident_heart_disease,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,22362,6985,883,21479,21,21,4568.0,207.0,4361.0,PASS,,any_withdrawal,risk_ratio,1.0200323049523519,0.14175049546719112,0.7726017469742796,1.3467040518885154,0.88872002748664,
elsa,incident_heart_disease,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,22362,6985,883,21479,22,22,4568.0,207.0,4361.0,PASS,,any_withdrawal,risk_ratio,1.0165559935474646,0.1418250758987366,0.7698561470149756,1.342310627802483,0.9078272931460735,17.211907586479487
elsa,incident_heart_disease,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,22362,6985,883,21479,22,22,4568.0,207.0,4361.0,PASS,,context_cesd_worsening,risk_ratio,1.0976816777460552,0.0725663837962606,0.9521553177014408,1.2654501248473902,0.19902069990626503,17.211907586479487
elsa,incident_heart_disease,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,11493,6013,443,11050,18,18,2392.0,104.0,2288.0,PASS,,any_withdrawal,risk_ratio,1.046402355734556,0.202982471416985,0.7029423610695447,1.557678055453682,0.8231794669428982,
elsa,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,11493,6013,443,11050,19,19,2392.0,104.0,2288.0,PASS,,any_withdrawal,risk_ratio,1.0388042679435365,0.20271488916658587,0.6982042672335087,1.545556734239789,0.8510316833685286,16.06695889510376
elsa,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,11493,6013,443,11050,19,19,2392.0,104.0,2288.0,PASS,,context_bmi_or_weight_loss,risk_ratio,1.3240963827499515,0.18729517305151833,0.9172625421878071,1.9113734074758897,0.13390855815415895,16.06695889510376
elsa,incident_heart_disease,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,22485,7019,891,21594,21,21,4599.0,209.0,4390.0,PASS,,any_withdrawal,risk_ratio,1.0226281321837865,0.14074013352408965,0.7761032766766662,1.3474602261850506,0.8736787682798749,
elsa,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,22485,7019,891,21594,22,22,4599.0,209.0,4390.0,PASS,,any_withdrawal,risk_ratio,1.0222562449491313,0.14082709708676783,0.7756888163601198,1.3471998155666909,0.875791440799189,1.6255178226425278
elsa,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,22485,7019,891,21594,22,22,4599.0,209.0,4390.0,PASS,,context_incident_non_target_disease,risk_ratio,1.0177556367927714,0.09983813852319771,0.8368760491222162,1.2377299330168652,0.86007098510151,1.6255178226425278
elsa,incident_heart_disease,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,3327,3327,144,3183,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_heart_disease,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,3327,3327,144,3183,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_heart_disease,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,3103,3103,138,2965,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,3103,3103,138,2965,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_hypertension,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,11821,4803,629,11192,19,19,2375.0,136.0,2239.0,PASS,,any_withdrawal,risk_ratio,0.856973565197325,0.1668108942625803,0.6179847170098527,1.1883848762481695,0.3548158451343071,
elsa,incident_hypertension,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,11821,4803,629,11192,20,20,2375.0,136.0,2239.0,PASS,,any_withdrawal,risk_ratio,0.85670750887018,0.16679800001214412,0.617808470471106,1.18798590636817,0.3538114692694996,-0.201174070073957
elsa,incident_hypertension,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,11821,4803,629,11192,20,20,2375.0,136.0,2239.0,PASS,,context_self_rated_health_worsening,risk_ratio,1.0334202429920478,0.0869573713305739,0.871482590594414,1.2254489190625362,0.7053960890072789,-0.201174070073957
elsa,incident_hypertension,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,15137,4903,810,14327,21,21,3008.0,176.0,2832.0,PASS,,any_withdrawal,risk_ratio,0.9673463522657934,0.14366615051749265,0.7299500611749655,1.2819492935389172,0.8172510211777442,
elsa,incident_hypertension,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,15137,4903,810,14327,22,22,3008.0,176.0,2832.0,PASS,,any_withdrawal,risk_ratio,0.9706324092150747,0.1434725176979718,0.7327077070892298,1.2858159736866626,0.8354185359137796,10.21493774465232
elsa,incident_hypertension,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,15137,4903,810,14327,22,22,3008.0,176.0,2832.0,PASS,,context_cesd_worsening,risk_ratio,0.8957814764075236,0.08026899872395676,0.7653797751277043,1.0484003883444104,0.17033617610598184,10.21493774465232
elsa,incident_hypertension,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,7881,4240,452,7429,18,18,1592.0,94.0,1498.0,PASS,,any_withdrawal,risk_ratio,0.7020188809837202,0.20363561523470175,0.470992338685048,1.0463662968139913,0.08231792397515333,
elsa,incident_hypertension,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,7881,4240,452,7429,19,19,1592.0,94.0,1498.0,PASS,,any_withdrawal,risk_ratio,0.7047420314737755,0.20356855031888857,0.4728814846187952,1.0502871164984569,0.08562410609565622,1.094284436058349
elsa,incident_hypertension,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,7881,4240,452,7429,19,19,1592.0,94.0,1498.0,PASS,,context_bmi_or_weight_loss,risk_ratio,0.6882832837810133,0.28779625629630723,0.3915566503164023,1.2098731520702515,0.19429302391735137,1.094284436058349
elsa,incident_hypertension,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,15224,4926,813,14411,21,21,3028.0,176.0,2852.0,PASS,,any_withdrawal,risk_ratio,0.9717490540132374,0.1429696874670433,0.7342739280179958,1.2860271731621102,0.8411318918235816,
elsa,incident_hypertension,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,15224,4926,813,14411,22,22,3028.0,176.0,2852.0,PASS,,any_withdrawal,risk_ratio,0.9719625201869289,0.14291716026426732,0.7345108425735771,1.2861772568775838,0.8422763194405142,0.766454135446295
elsa,incident_hypertension,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,15224,4926,813,14411,22,22,3028.0,176.0,2852.0,PASS,,context_incident_non_target_disease,risk_ratio,1.0230778432366612,0.1306592242434838,0.7919382981370789,1.3216790699274954,0.861379053658105,0.766454135446295
elsa,incident_hypertension,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,2354,2354,125,2229,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_hypertension,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,2354,2354,125,2229,16,16,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_hypertension,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,2202,2202,118,2084,15,15,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_hypertension,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,2202,2202,118,2084,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,
elsa,incident_cancer,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,18843,7472,527,18316,19,19,3974.0,115.0,3859.0,PASS,,any_withdrawal,risk_ratio,0.7669758357788258,0.1982335454068341,0.5200498573477821,1.1311452630112662,0.18079203892689277,
