cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_diabetes,head_to_head_cv,11572,6128,236,11336,21,21,4369.0,103.0,4266.0,497.0,23.0,474.0,2165.0,50.0,2115.0,152.0,9.0,143.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M0_routine,PASS,2317.0,59.0,2258.0,c_statistic,0.6208935385093837,0.5851206261940092,0.657355206706048,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M0_routine,PASS,2317.0,59.0,2258.0,brier_score,0.019917266074400704,0.01750140679531509,0.022184925780886003,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M1b_any_withdrawal,PASS,2317.0,59.0,2258.0,c_statistic,0.6211652841405213,0.5858078754358323,0.6568374714524527,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M1b_any_withdrawal,PASS,2317.0,59.0,2258.0,brier_score,0.01992075179553802,0.0175039620618949,0.022189519849780154,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M2_fried,PASS,2317.0,59.0,2258.0,c_statistic,0.6200693306460294,0.5827173882750701,0.6548301337682435,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M2_fried,PASS,2317.0,59.0,2258.0,brier_score,0.019912733075994938,0.017500324796203403,0.02218512550023701,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M3b_fried_any_withdrawal,PASS,2317.0,59.0,2258.0,c_statistic,0.6200932532325395,0.5832060671267401,0.6545950799748126,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M3b_fried_any_withdrawal,PASS,2317.0,59.0,2258.0,brier_score,0.019915632142317077,0.017502188017150092,0.022190963541977426,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,2317.0,59.0,2258.0,delta_c_statistic,0.00027174563113763206,-0.0016890763162245997,0.0020370108235476126,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,2317.0,59.0,2258.0,delta_brier_score,3.4857211373175156e-06,-1.2963359237913238e-06,8.781139205904681e-06,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M2_fried_minus_M0_routine,PASS,2317.0,59.0,2258.0,delta_c_statistic,-0.0008242078633542427,-0.010596982181252625,0.008785283719411766,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M2_fried_minus_M0_routine,PASS,2317.0,59.0,2258.0,delta_brier_score,-4.532998405765848e-06,-3.436261693409784e-05,2.5696695294642305e-05,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,2317.0,59.0,2258.0,delta_c_statistic,-0.0008002852768441704,-0.010611911642138852,0.009275539458350532,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,2317.0,59.0,2258.0,delta_brier_score,-1.6339320836264437e-06,-3.224813634464642e-05,2.9243103065217098e-05,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2317.0,59.0,2258.0,delta_c_statistic,2.3922586510072286e-05,-0.001869608327992528,0.0016896534341189287,500.0
elsa,incident_diabetes,head_to_head_cv_binary_flag,11572,6128,236,11336,20,20,4369.0,103.0,4266.0,497.0,23.0,474.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2317.0,59.0,2258.0,delta_brier_score,2.899066322139404e-06,-1.7137618948614986e-06,8.180853696585896e-06,500.0
elsa,incident_stroke,head_to_head_cv,12298,6474,117,12181,21,21,,,,,,,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv,12298,6474,117,12181,21,21,,,,,,,,,,,,,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv,12298,6474,117,12181,21,21,,,,,,,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv,12298,6474,117,12181,21,21,,,,,,,,,,,,,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,,,,,,,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,,,,,,,,,,,,,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,,,,,,,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_stroke,head_to_head_cv_binary_flag,12298,6474,117,12181,20,20,,,,,,,,,,,,,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv,10502,5640,390,10112,21,21,3894.0,163.0,3731.0,418.0,36.0,382.0,1990.0,88.0,1902.0,136.0,3.0,133.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M0_routine,PASS,2126.0,91.0,2035.0,c_statistic,0.6429053574326518,0.614714506454262,0.6718324329452605,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M0_routine,PASS,2126.0,91.0,2035.0,brier_score,0.03545861643688518,0.03206870747138752,0.03848382471812545,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M1b_any_withdrawal,PASS,2126.0,91.0,2035.0,c_statistic,0.6426132444823109,0.6147237621395946,0.6710182868009993,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M1b_any_withdrawal,PASS,2126.0,91.0,2035.0,brier_score,0.03546286501820409,0.03207713238051325,0.03848954469743649,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M2_fried,PASS,2126.0,91.0,2035.0,c_statistic,0.6424641451639078,0.6139482358734619,0.6711787627123764,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M2_fried,PASS,2126.0,91.0,2035.0,brier_score,0.035460966254797055,0.03206741249323397,0.03848412125401601,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal,PASS,2126.0,91.0,2035.0,c_statistic,0.6421882607108081,0.6135050760806345,0.6708788957108728,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal,PASS,2126.0,91.0,2035.0,brier_score,0.035465230515180295,0.03207531683201731,0.038489582185555836,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,2126.0,91.0,2035.0,delta_c_statistic,-0.0002921129503408171,-0.0012649546141279833,0.0007679135603339233,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,2126.0,91.0,2035.0,delta_brier_score,4.24858131890804e-06,-3.2604189383167446e-06,1.1726081068602102e-05,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M2_fried_minus_M0_routine,PASS,2126.0,91.0,2035.0,delta_c_statistic,-0.00044121226874394015,-0.004085082239476331,0.0034236719232886782,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M2_fried_minus_M0_routine,PASS,2126.0,91.0,2035.0,delta_brier_score,2.349817911875829e-06,-6.255437034786495e-05,5.720252305043485e-05,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,2126.0,91.0,2035.0,delta_c_statistic,-0.0007170967218436131,-0.004701195858879256,0.0034774457986103727,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,2126.0,91.0,2035.0,delta_brier_score,6.614078295115455e-06,-5.997614515317277e-05,6.108977312513814e-05,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2126.0,91.0,2035.0,delta_c_statistic,-0.0002758844530996729,-0.0012716977545995129,0.0007819788207927132,500.0
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2126.0,91.0,2035.0,delta_brier_score,4.264260383239626e-06,-3.6055535324042154e-06,1.2186424097692521e-05,500.0
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
