cohort,outcome_id,flag,analysis_n,events,flag_n,flag_events,population_coverage,event_coverage,flag_risk
elsa,incident_diabetes,withdrawal,11572,236,2317,59,0.20022468026270307,0.25,0.025463962019853258
elsa,incident_diabetes,frail,11572,236,497,23,0.0429484963705496,0.09745762711864407,0.04627766599597585
elsa,incident_diabetes,either,11572,236,2628,73,0.22709989630141722,0.3093220338983051,0.027777777777777776
elsa,incident_diabetes,both,11572,236,186,9,0.016073280331835464,0.038135593220338986,0.04838709677419355
elsa,incident_stroke,withdrawal,12298,117,2510,28,0.20409822735404132,0.23931623931623933,0.011155378486055778
elsa,incident_stroke,frail,12298,117,571,12,0.04643031387217434,0.10256410256410256,0.021015761821366025
elsa,incident_stroke,either,12298,117,2856,37,0.2322328833956741,0.3162393162393162,0.012955182072829132
elsa,incident_stroke,both,12298,117,225,3,0.018295657830541552,0.02564102564102564,0.013333333333333334
elsa,incident_heart_disease,withdrawal,10502,390,2126,91,0.20243763092744238,0.23333333333333334,0.04280338664158043
elsa,incident_heart_disease,frail,10502,390,418,36,0.0398019424871453,0.09230769230769231,0.0861244019138756
elsa,incident_heart_disease,either,10502,390,2377,115,0.22633784041135022,0.2948717948717949,0.048380311316785864
elsa,incident_heart_disease,both,10502,390,167,12,0.015901733003237477,0.03076923076923077,0.0718562874251497
elsa,incident_hypertension,withdrawal,7218,418,1422,85,0.1970074812967581,0.20334928229665072,0.05977496483825598
elsa,incident_hypertension,frail,7218,418,255,12,0.035328345802161265,0.028708133971291867,0.047058823529411764
elsa,incident_hypertension,either,7218,418,1575,89,0.21820448877805487,0.21291866028708134,0.05650793650793651
elsa,incident_hypertension,both,7218,418,102,8,0.014131338320864505,0.019138755980861243,0.0784313725490196
elsa,incident_cancer,withdrawal,11438,326,2385,61,0.208515474733345,0.18711656441717792,0.025576519916142557
elsa,incident_cancer,frail,11438,326,558,23,0.04878475257912222,0.0705521472392638,0.04121863799283154
elsa,incident_cancer,either,11438,326,2720,73,0.23780381185521945,0.22392638036809817,0.026838235294117645
elsa,incident_cancer,both,11438,326,223,11,0.01949641545724777,0.03374233128834356,0.04932735426008968
elsa,incident_arthritis,withdrawal,7829,403,1508,81,0.19261719248946227,0.20099255583126552,0.05371352785145889
elsa,incident_arthritis,frail,7829,403,207,18,0.026440158385489847,0.04466501240694789,0.08695652173913043
elsa,incident_arthritis,either,7829,403,1630,91,0.20820028100651425,0.22580645161290322,0.0558282208588957
elsa,incident_arthritis,both,7829,403,85,8,0.010857069868437859,0.019851116625310174,0.09411764705882353
