cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,risk_set_n,observed_n,unknown_n,weight_mean,weight_min,weight_max,weight_effective_n,weight_truncation_low,weight_truncation_high,imputations,ordinary_covariate_missing_cells,rubin_within_variance,rubin_between_variance,rubin_degrees_freedom
elsa,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,25209,7831,937,24272.0,21.0,21.0,5195.0,288.0,4907.0,PASS,,any_withdrawal,risk_ratio,1.0009988120754902,0.1302358077454752,0.7754907850065815,1.29208320865868,0.9938839308695708,,,,,,,,,,,,,,
elsa,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,7582,7582,159,7423.0,21.0,21.0,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272.0,21.0,21.0,5013.0,106.0,4907.0,PASS,,any_withdrawal,risk_ratio,0.993547331667333,0.19935001427569005,0.6722046641459063,1.4685055800937037,0.9740945124203351,27866.0,24700.0,3166.0,0.9991902197170366,0.9209962921347676,1.2624166363525866,24615.605731991156,0.9209962921347676,1.2624166363525866,,,,,
elsa,incident_diabetes,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,27503,8324,478,,,,,,,PASS,,any_withdrawal,risk_ratio,1.1204685265620968,0.1831528467064115,0.7825276211506402,1.6043519552322054,,,,,,,,,,,20.0,2831.0,0.033539978754768274,4.749049422845018e-06,859837371.4352933
elsa,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,26888,8268,801,26087.0,21.0,21.0,5625.0,252.0,5373.0,PASS,,any_withdrawal,risk_ratio,0.8639420510861644,0.13996355092243765,0.6566703729250449,1.1366370380168884,0.29606367941103073,,,,,,,,,,,,,,
elsa,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,8029,8029,73,7956.0,21.0,21.0,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,26379,8029,292,26087.0,21.0,21.0,5443.0,70.0,5373.0,PASS,,any_withdrawal,risk_ratio,0.7129607643246986,0.26253888936273945,0.42617907517874254,1.1927217479020251,0.19750899649139275,29744.0,26379.0,3365.0,0.9992570323422756,0.922410813113633,1.2486391440820175,26292.8394178598,0.922410813113633,1.2486391440820175,,,,,
elsa,incident_stroke,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,29362,8803,324,,,,,,,PASS,,any_withdrawal,risk_ratio,0.7151270726547243,0.2524876699285033,0.435978753340984,1.1730083774145257,,,,,,,,,,,20.0,3014.0,0.06374940743468381,5.86696420016998e-07,203473953902.54037
elsa,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,22996,7322,1400,21596.0,21.0,21.0,4782.0,391.0,4391.0,PASS,,any_withdrawal,risk_ratio,0.9724908205583181,0.10655926019022136,0.7891909637850832,1.198364451024986,0.7934942470406995,,,,,,,,,,,,,,
elsa,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,7020,7020,207,6813.0,21.0,21.0,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,
