cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents
elsa,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,21,21,5013.0,106.0,4907.0,PASS,,any_withdrawal,risk_ratio,0.9874906722446958,0.1989573932366257,0.6686212295335179,1.4584308494820202,0.9495507287311649,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,21,21,,,,PASS,,two_domain_any,risk_ratio,0.9740119003902691,0.21320131168330037,0.641338006563073,1.479249900042471,0.9017059919649918,3198.0,80.0,3118.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,23,23,,,,PASS,,alcohol_loss,risk_ratio,1.8702837789053302,0.28780080807648495,1.063973999676896,3.2876380576016433,0.029597996642968243,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,
elsa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,23,23,,,,PASS,,activity_loss,risk_ratio,1.1298597883396668,0.22334389118389097,0.7293128868555774,1.7503915868138948,0.5846111941140668,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,
elsa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,23,23,,,,PASS,,work_loss,risk_ratio,1.4764616123926015,0.22636489992432393,0.9474144575137351,2.3009347974166388,0.08519117522558277,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,
elsa,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,22,22,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,4677.0,88.0,4589.0,336.0,18.0,318.0,,,,,,
elsa,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,24,24,,,,NOT_EVALUABLE_DIRECTION_MIXED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.0,52.0,2126.0,320.0,5.0,315.0
elsa,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,18,18,5013.0,106.0,4907.0,PASS,,any_withdrawal,risk_ratio,1.291270880952551,0.11516293611381082,1.0303635542953664,1.6182448234363713,0.026439290356946636,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,18,18,,,,PASS,,two_domain_any,risk_ratio,1.4022055437621137,0.12733411824199675,1.0925081409635091,1.7996940372665629,0.007935587026606091,3198.0,80.0,3118.0,,,,,,,,,,,,,,,,,,,,,
elsa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,24700,7582,428,24272,20,20,,,,PASS,,alcohol_loss,risk_ratio,1.7658218027216404,0.19651385243189226,1.201362247758463,2.59549244600036,0.0038095354527612198,,,,815.0,28.0,787.0,2518.0,61.0,2457.0,2024.0,36.0,1988.0,,,,,,,,,,,,
