cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
hrs,incident_diabetes,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,48007,14941,1687,46320,21,21,13184,541,12643,PASS,,any_withdrawal,risk_ratio,1.0791534602505788,0.08711727884966967,0.9097642051206235,1.2800813487890408,0.38189075870978395,
hrs,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,48007,14941,1687,46320,22,22,13184,541,12643,PASS,,any_withdrawal,risk_ratio,1.078866906765394,0.08712490430666271,0.9095090372062372,1.279760568502845,0.38359412435517815,0.3486236575360297
hrs,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,48007,14941,1687,46320,22,22,13184,541,12643,PASS,,context_self_rated_health_worsening,risk_ratio,1.0569331936106898,0.05452421940980218,0.9498093438508883,1.1761389619804246,0.309848704797717,0.3486236575360297
hrs,incident_diabetes,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,47957,14943,1685,46272,21,21,13173,539,12634,PASS,,any_withdrawal,risk_ratio,1.0756619723249663,0.08733192781459968,0.9064393352783164,1.27647668594476,0.40362680644923654,
hrs,incident_diabetes,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,47957,14943,1685,46272,22,22,13173,539,12634,PASS,,any_withdrawal,risk_ratio,1.0760908399125226,0.08730405336395307,0.906850276142785,1.2769158550284372,0.40091174496989046,-0.5465342149808168
hrs,incident_diabetes,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,47957,14943,1685,46272,22,22,13173,539,12634,PASS,,context_transition_hospitalization,risk_ratio,0.9818719286497107,0.05836279482777092,0.8757423310748376,1.1008631763718144,0.7539312532388731,-0.5465342149808168
hrs,incident_diabetes,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,46173,14415,1628,44545,21,21,12510,517,11993,PASS,,any_withdrawal,risk_ratio,1.07846915900556,0.08887674246391083,0.9060573959137337,1.28368879518191,0.3953416063263273,
hrs,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,46173,14415,1628,44545,22,22,12510,517,11993,PASS,,any_withdrawal,risk_ratio,1.0770333523498627,0.0888758891470935,0.9048526408769658,1.2819776278154342,0.40372405568086545,1.7635412271121524
hrs,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,46173,14415,1628,44545,22,22,12510,517,11993,PASS,,context_cesd_worsening,risk_ratio,1.0939227691436317,0.05472730601378822,0.9826586797399627,1.2177850249768731,0.10093936328489289,1.7635412271121524
hrs,incident_diabetes,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,17999,10826,586,17413,20,20,4782,183,4599,PASS,,any_withdrawal,risk_ratio,1.153844956255932,0.14966443090566553,0.8605039365532963,1.5471843027353713,0.33900266679376656,
