cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
hrs,incident_diabetes,head_to_head_cv,12751,7972,398,12353,23,23,5509,201,5308,680,23,657,3050.0,111.0,2939.0,290.0,11.0,279.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_diabetes,head_to_head_cv,12751,7972,398,12353,23,23,5509,201,5308,680,23,657,3050.0,111.0,2939.0,290.0,11.0,279.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_diabetes,head_to_head_cv,12751,7972,398,12353,23,23,5509,201,5308,680,23,657,3050.0,111.0,2939.0,290.0,11.0,279.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_diabetes,head_to_head_cv,12751,7972,398,12353,23,23,5509,201,5308,680,23,657,3050.0,111.0,2939.0,290.0,11.0,279.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
hrs,incident_diabetes,head_to_head_cv_binary_flag,12751,7972,398,12353,22,22,5509,201,5308,680,23,657,,,,,,,M0_routine,PASS,3340.0,122.0,3218.0,c_statistic,0.6137184343151848,0.586114293939302,0.6392025849894857,500.0
hrs,incident_diabetes,head_to_head_cv_binary_flag,12751,7972,398,12353,22,22,5509,201,5308,680,23,657,,,,,,,M0_routine,PASS,3340.0,122.0,3218.0,brier_score,0.030126570111590523,0.02714682327781305,0.03279377817372044,500.0
hrs,incident_diabetes,head_to_head_cv_binary_flag,12751,7972,398,12353,22,22,5509,201,5308,680,23,657,,,,,,,M1b_any_withdrawal,PASS,3340.0,122.0,3218.0,c_statistic,0.6143093025233022,0.5864916492927641,0.6397821744926312,500.0
hrs,incident_diabetes,head_to_head_cv_binary_flag,12751,7972,398,12353,22,22,5509,201,5308,680,23,657,,,,,,,M1b_any_withdrawal,PASS,3340.0,122.0,3218.0,brier_score,0.0301272163276224,0.027153081035732756,0.03279270256286113,500.0
hrs,incident_diabetes,head_to_head_cv_binary_flag,12751,7972,398,12353,22,22,5509,201,5308,680,23,657,,,,,,,M2_fried,PASS,3340.0,122.0,3218.0,c_statistic,0.6175390430660548,0.5902630849203339,0.6433627294700509,500.0
hrs,incident_diabetes,head_to_head_cv_binary_flag,12751,7972,398,12353,22,22,5509,201,5308,680,23,657,,,,,,,M2_fried,PASS,3340.0,122.0,3218.0,brier_score,0.030115978493483676,0.02714046430042121,0.032787474939202026,500.0
