cohort,outcome_id,flag,analysis_n,events,flag_n,flag_events,population_coverage,event_coverage,flag_risk
hrs,incident_diabetes,withdrawal,12751,398,3340,122,0.26194023998117794,0.3065326633165829,0.03652694610778443
hrs,incident_diabetes,frail,12751,398,680,23,0.0533291506548506,0.05778894472361809,0.033823529411764704
hrs,incident_diabetes,either,12751,398,3686,133,0.2890753666379107,0.3341708542713568,0.03608247422680412
hrs,incident_diabetes,both,12751,398,334,12,0.026194023998117794,0.03015075376884422,0.03592814371257485
hrs,incident_stroke,withdrawal,15075,292,4134,86,0.27422885572139305,0.2945205479452055,0.02080309627479439
hrs,incident_stroke,frail,15075,292,864,32,0.057313432835820896,0.1095890410958904,0.037037037037037035
hrs,incident_stroke,either,15075,292,4553,101,0.30202321724709785,0.3458904109589041,0.022183175927959587
hrs,incident_stroke,both,15075,292,445,17,0.029519071310116086,0.05821917808219178,0.038202247191011236
hrs,incident_heart_disease,withdrawal,11802,599,3216,178,0.2724961870869344,0.29716193656093487,0.05534825870646766
hrs,incident_heart_disease,frail,11802,599,607,48,0.05143196068462973,0.08013355592654424,0.07907742998352553
hrs,incident_heart_disease,either,11802,599,3517,200,0.29800033892560585,0.333889816360601,0.05686664771111743
hrs,incident_heart_disease,both,11802,599,306,26,0.02592780884595831,0.04340567612687813,0.08496732026143791
hrs,incident_hypertension,withdrawal,6009,593,1482,161,0.24663005491762358,0.2715008431703204,0.10863697705802969
hrs,incident_hypertension,frail,6009,593,242,29,0.04027292394741221,0.048903878583473864,0.11983471074380166
hrs,incident_hypertension,either,6009,593,1612,180,0.26826427026127475,0.30354131534569984,0.11166253101736973
hrs,incident_hypertension,both,6009,593,112,10,0.018638708603761024,0.016863406408094434,0.08928571428571429
hrs,incident_cancer,withdrawal,13372,414,3729,112,0.2788662877654801,0.27053140096618356,0.030034861893268972
hrs,incident_cancer,frail,13372,414,844,29,0.06311696081364045,0.07004830917874397,0.034360189573459717
hrs,incident_cancer,either,13372,414,4143,126,0.30982650314089144,0.30434782608695654,0.03041274438812455
hrs,incident_cancer,both,13372,414,430,15,0.032156745438229134,0.036231884057971016,0.03488372093023256
hrs,incident_arthritis,withdrawal,5648,500,1429,146,0.2530099150141643,0.292,0.10216934919524143
hrs,incident_arthritis,frail,5648,500,221,24,0.039128895184135974,0.048,0.1085972850678733
hrs,incident_arthritis,either,5648,500,1541,156,0.2728399433427762,0.312,0.10123296560674887
hrs,incident_arthritis,both,5648,500,109,14,0.01929886685552408,0.028,0.12844036697247707
