cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
hrs,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,21,21,13210.0,542.0,12668.0,PASS,,any_withdrawal,risk_ratio,1.077888147566245,0.08707625401892927,0.9087705709132923,1.278477644248721,0.3890416600665594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,21,21,,,,PASS,,two_domain_any,risk_ratio,1.1243548149861784,0.08869690501385276,0.9449404531497065,1.3378343003189437,0.18634817697660733,9577.0,419.0,9158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,23,23,,,,PASS,,alcohol_loss,risk_ratio,1.1348246238067903,0.10870509999548114,0.9170622190232457,1.4042961318043123,0.24462767289849485,,,,3498.0,153.0,3345.0,6608.0,285.0,6323.0,4399.0,173.0,4226.0,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,23,23,,,,PASS,,activity_loss,risk_ratio,1.1165850593557893,0.10962508342447903,0.9006971161457422,1.3842191480657884,0.3144500638351193,,,,3498.0,153.0,3345.0,6608.0,285.0,6323.0,4399.0,173.0,4226.0,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,23,23,,,,PASS,,work_loss,risk_ratio,1.1886107629843192,0.1045430645395121,0.9683947819596993,1.4589045420331066,0.09837854203264457,,,,3498.0,153.0,3345.0,6608.0,285.0,6323.0,4399.0,173.0,4226.0,,,,,,,,,,,,,,,,,,
hrs,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,22,22,,,,PASS,,loss_1,risk_ratio,1.1161138035560871,0.08818702193340258,0.938952343347297,1.3267020752592937,0.2128817999396747,,,,,,,,,,,,,11977.0,475.0,11502.0,1233.0,67.0,1166.0,,,,,,,,,,,,
hrs,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,22,22,,,,PASS,,loss_2plus,risk_ratio,1.5042260561467893,0.18785479696270888,1.0409043276684198,2.1737790571581765,0.02975226571303997,,,,,,,,,,,,,11977.0,475.0,11502.0,1233.0,67.0,1166.0,,,,,,,,,,,,
hrs,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,24,24,,,,PASS,,direction_expansion,risk_ratio,1.612892602496695,0.24119048864159473,1.005318637317748,2.587659723616899,0.04748403624720571,,,,,,,,,,,,,,,,,,,5413.0,183.0,5230.0,1518.0,84.0,1434.0,10531.0,400.0,10131.0,1161.0,58.0,1103.0
hrs,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,24,24,,,,PASS,,direction_mixed,risk_ratio,1.4094921460618122,0.11235726141333327,1.1308994319997494,1.7567151009148028,0.0022520732725709496,,,,,,,,,,,,,,,,,,,5413.0,183.0,5230.0,1518.0,84.0,1434.0,10531.0,400.0,10131.0,1161.0,58.0,1103.0
hrs,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,48067,14955,1689,46378,24,24,,,,PASS,,direction_contraction_1,risk_ratio,0.609920628819917,0.2271942092602515,0.39073765056682086,0.9520535656608445,0.029538200645061453,,,,,,,,,,,,,,,,,,,5413.0,183.0,5230.0,1518.0,84.0,1434.0,10531.0,400.0,10131.0,1161.0,58.0,1103.0
