cohort,outcome_id,risk_model,state,standardized_risk,n
hrs,incident_diabetes,four_state,neither,0.02924530748059221,12751
hrs,incident_diabetes,four_state,withdrawal_only,0.03702101940584619,12751
hrs,incident_diabetes,four_state,frailty_only,0.030259348340082395,12751
hrs,incident_diabetes,four_state,both,0.033811557867081045,12751
hrs,incident_stroke,four_state,neither,0.021044642294967345,15075
hrs,incident_stroke,four_state,withdrawal_only,0.01508165906208268,15075
hrs,incident_stroke,four_state,frailty_only,0.027461949003667874,15075
hrs,incident_stroke,four_state,both,0.01936765821701621,15075
hrs,incident_heart_disease,four_state,neither,0.04825066938957405,11802
hrs,incident_heart_disease,four_state,withdrawal_only,0.054301571235041084,11802
hrs,incident_heart_disease,four_state,frailty_only,0.05965177467132948,11802
hrs,incident_heart_disease,four_state,both,0.07129241385472831,11802
hrs,incident_hypertension,four_state,neither,0.09223897371146349,6009
hrs,incident_hypertension,four_state,withdrawal_only,0.11987789726884268,6009
hrs,incident_hypertension,four_state,frailty_only,0.12345223834139564,6009
hrs,incident_hypertension,four_state,both,0.08476059059768232,6009
hrs,incident_cancer,four_state,neither,0.029875614349674433,13372
hrs,incident_cancer,four_state,withdrawal_only,0.0328692512355176,13372
hrs,incident_cancer,four_state,frailty_only,0.034269370870921696,13372
hrs,incident_cancer,four_state,both,0.0402774947777121,13372
hrs,incident_arthritis,four_state,neither,0.0837558278792486,5648
hrs,incident_arthritis,four_state,withdrawal_only,0.10089493880692021,5648
hrs,incident_arthritis,four_state,frailty_only,0.0842994252642765,5648
hrs,incident_arthritis,four_state,both,0.12290754692367413,5648
