cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,risk_set_n,observed_n,unknown_n,weight_mean,weight_min,weight_max,weight_effective_n,weight_truncation_low,weight_truncation_high
klosa,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,13730,4878,989,12741,19,19,4206.0,444.0,3762.0,PASS,,any_withdrawal,risk_ratio,1.0981652881442723,0.11205724882012727,0.8816260394084582,1.3678894975631126,0.40335068930293816,,,,,,,,,
klosa,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,4585,4585,136,4449,19,19,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,19,19,3897.0,135.0,3762.0,PASS,,any_withdrawal,risk_ratio,1.2062260664767583,0.1767987308765488,0.852977070534944,1.7057683889855362,0.2889133885095734,14018.0,13119.0,899.0,0.9986995069727174,0.9488413426972333,1.264460052092527,13083.694742449738,0.9488413426972333,1.264460052092527
klosa,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,16083,5518,801,15282,19,19,4962.0,370.0,4592.0,PASS,,any_withdrawal,risk_ratio,1.0378325250019367,0.13024283179417673,0.8040154192917509,1.3396463850167188,0.7755546102161446,,,,,,,,,
klosa,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5292,5292,62,5230,19,19,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,19,19,4653.0,61.0,4592.0,PASS,,any_withdrawal,risk_ratio,1.1314299874615086,0.25055946046008665,0.6923904764545606,1.8488610979777975,0.6221352794145609,16530.0,15472.0,1058.0,0.998888572579971,0.9526086576182913,1.2406892015822593,15435.348298399003,0.9526086576182913,1.2406892015822593
klosa,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,15477,5345,809,14668,19,19,4791.0,375.0,4416.0,PASS,,any_withdrawal,risk_ratio,1.0295067513757101,0.12717158080403235,0.8023808465256339,1.3209240421397666,0.81912859187218,,,,,,,,,
klosa,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5099,5099,53,5046,19,19,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,19,19,4482.0,66.0,4416.0,PASS,,any_withdrawal,risk_ratio,1.1694583545579837,0.2383795296026116,0.7329523427822335,1.8659232847991625,0.5113823066761051,15896.0,14866.0,1030.0,0.9986647498523925,0.9510987233491373,1.263861028425202,14826.601548740446,0.9510987233491373,1.263861028425202
klosa,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,9468,3640,1200,8268,19,19,2826.0,462.0,2364.0,PASS,,any_withdrawal,risk_ratio,1.2451675236665747,0.09418025297950011,1.03528854378761,1.4975942420087514,0.019901704264026564,,,,,,,,,
klosa,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,3246,3246,223,3023,19,19,878.0,57.0,821.0,PASS,,any_withdrawal,risk_ratio,1.4998102653537515,0.2193962329044928,0.9756317154640068,2.305614707277807,0.06467202200944458,,,,,,,,,
klosa,incident_hypertension,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,19,19,2517.0,153.0,2364.0,PASS,,any_withdrawal,risk_ratio,1.2183988664164602,0.13577184898205755,0.933727777600119,1.589859307281602,0.14569056662204438,9474.0,8857.0,617.0,0.9986162764152331,0.9497213201281731,1.2578867726251648,8834.193275835158,0.9497213201281731,1.2578867726251648
klosa,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,15993,5491,833,15160,19,19,4954.0,364.0,4590.0,PASS,,any_withdrawal,risk_ratio,1.015938121188706,0.12964057747362714,0.7879832703865387,1.309837790817735,0.9029216672209449,,,,,,,,,
klosa,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,5265,5265,68,5197,19,19,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_cancer,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,15382,5265,222,15160,19,19,4645.0,55.0,4590.0,PASS,,any_withdrawal,risk_ratio,0.8337582412654458,0.2421262775983293,0.5187306128118763,1.34010368331617,0.45271489016938815,16437.0,15382.0,1055.0,0.9988475923748091,0.9524648153285731,1.2537281174630994,15342.82249975246,0.9524648153285731,1.2537281174630994
klosa,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,13037,4570,830,12207,19,19,3947.0,372.0,3575.0,PASS,,any_withdrawal,risk_ratio,1.012849775671328,0.13154008333620523,0.7826686066140122,1.3107267359496686,0.9226748986536347,,,,,,,,,
klosa,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,4282,4282,78,4204,19,19,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,
klosa,incident_arthritis,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,12426,4282,219,12207,19,19,3638.0,63.0,3575.0,PASS,,any_withdrawal,risk_ratio,0.9710193881058218,0.2542408837042763,0.5899533463482481,1.5982257883843332,0.9079115870110517,13311.0,12426.0,885.0,0.9986852981987695,0.9509395021741351,1.2604367409329238,12393.04060877578,0.9509395021741351,1.2604367409329238
