cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
klosa,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,19,19,3897.0,135.0,3762.0,PASS,,any_withdrawal,risk_ratio,1.220650574202547,0.17600872094390158,0.8645148643414309,1.7234959001382228,0.2572951608386036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,19,19,,,,PASS,,two_domain_any,risk_ratio,1.292434179901824,0.17405508000728936,0.9188666351609087,1.8178765508076022,0.1405276737200985,2666.0,96.0,2570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,21,21,,,,PASS,,alcohol_loss,risk_ratio,1.3452798266960853,0.25425672334197313,0.8173139554228801,2.2142994134721046,0.243393956403411,,,,616.0,26.0,590.0,2144.0,73.0,2071.0,1429.0,48.0,1381.0,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,21,21,,,,PASS,,activity_loss,risk_ratio,1.299566864612249,0.20726808452381085,0.8657085685955525,1.9508574789065427,0.20615354977192368,,,,616.0,26.0,590.0,2144.0,73.0,2071.0,1429.0,48.0,1381.0,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,21,21,,,,PASS,,work_loss,risk_ratio,1.106656329780793,0.20062028287751088,0.7468690761928265,1.639762940094879,0.6134541233678615,,,,616.0,26.0,590.0,2144.0,73.0,2071.0,1429.0,48.0,1381.0,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,20,20,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,3617.0,124.0,3493.0,280.0,11.0,269.0,,,,,,,,,,,,
klosa,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,22,22,,,,NOT_EVALUABLE_DIRECTION_MIXED_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.0,38.0,1160.0,489.0,12.0,477.0,,,,,,
klosa,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,16,16,3897.0,135.0,3762.0,PASS,,any_withdrawal,risk_ratio,1.2674783811757544,0.10685720878354936,1.0279773352440036,1.56277905326248,0.02654200267703179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,16,16,,,,PASS,,two_domain_any,risk_ratio,1.2952270362183191,0.11965178061693352,1.0244673475909745,1.637546652214717,0.0306189185556171,2666.0,96.0,2570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,18,18,,,,PASS,,alcohol_loss,risk_ratio,1.3438998946815266,0.204153131974786,0.9007234278664639,2.0051292894679493,0.14766908508885446,,,,616.0,26.0,590.0,2144.0,73.0,2071.0,1429.0,48.0,1381.0,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,18,18,,,,PASS,,activity_loss,risk_ratio,1.2490901691592855,0.13158060425185178,0.9651441372432258,1.6165733080521008,0.09096370699925488,,,,616.0,26.0,590.0,2144.0,73.0,2071.0,1429.0,48.0,1381.0,,,,,,,,,,,,,,,,,,
klosa,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,13119,4585,378,12741,18,18,,,,PASS,,work_loss,risk_ratio,1.1686927627065347,0.15355296451980688,0.8649596220576246,1.5790826979338912,0.31001404583261083,,,,616.0,26.0,590.0,2144.0,73.0,2071.0,1429.0,48.0,1381.0,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,19,19,4653.0,61.0,4592.0,PASS,,any_withdrawal,risk_ratio,1.1311977051375697,0.2504531557936213,0.6923925761068923,1.848096430067668,0.6225668327404696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,19,19,,,,PASS,,two_domain_any,risk_ratio,1.3677870969041792,0.24507292147370888,0.8460812164059072,2.211184347531983,0.2012624003508342,3204.0,45.0,3159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,21,21,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,22,22,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,16,16,4653.0,61.0,4592.0,PASS,,any_withdrawal,risk_ratio,1.051103138829231,0.16150109367077106,0.7659057902898394,1.442498310449603,0.7576211875747221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,16,16,,,,PASS,,two_domain_any,risk_ratio,1.1369608361115915,0.17905999148773766,0.8004410704797806,1.6149595398406316,0.4734679853931767,3204.0,45.0,3159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,15472,5292,190,15282,18,18,,,,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,717.0,14.0,703.0,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,19,19,4482.0,66.0,4416.0,PASS,,any_withdrawal,risk_ratio,1.1879896958729799,0.2387526151403414,0.7440225172436615,1.896877426141364,0.4705954089441323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,19,19,,,,PASS,,two_domain_any,risk_ratio,0.9486471381799606,0.238231877402421,0.5947320719569144,1.513171115551046,0.8248664977344273,3091.0,45.0,3046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,21,21,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,20,20,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,22,22,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,16,16,4482.0,66.0,4416.0,PASS,,any_withdrawal,risk_ratio,1.1347607764446535,0.15326349779644333,0.8403228827631503,1.532365768171296,0.4094476315227076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,16,16,,,,PASS,,two_domain_any,risk_ratio,1.0546020921239372,0.17090618028606996,0.7544197063072966,1.4742265656819427,0.7557485349904804,3091.0,45.0,3046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,14866,5099,198,14668,18,18,,,,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,727.0,9.0,718.0,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_hypertension,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,19,19,2517.0,153.0,2364.0,PASS,,any_withdrawal,risk_ratio,1.2296959760088209,0.1351536960070283,0.9435278359981513,1.6026577443924501,0.12605004627554905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_hypertension,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,19,19,,,,PASS,,two_domain_any,risk_ratio,1.1399426641303232,0.143346317748332,0.8607289318345123,1.5097311469883075,0.3608655721828058,1675.0,100.0,1575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
klosa,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,21,21,,,,PASS,,alcohol_loss,risk_ratio,1.4446384191112405,0.21006126936247116,0.9570941986001537,2.1805378875189527,0.0799116570032198,,,,394.0,31.0,363.0,1336.0,72.0,1264.0,974.0,59.0,915.0,,,,,,,,,,,,,,,,,,
klosa,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,21,21,,,,PASS,,activity_loss,risk_ratio,1.1118170909783933,0.16494088440281207,0.8047026109267178,1.5361417087588258,0.5204652538976305,,,,394.0,31.0,363.0,1336.0,72.0,1264.0,974.0,59.0,915.0,,,,,,,,,,,,,,,,,,
klosa,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,21,21,,,,PASS,,work_loss,risk_ratio,1.1638287474924596,0.16752991750724197,0.8380836266764233,1.6161840064354662,0.36514722623729623,,,,394.0,31.0,363.0,1336.0,72.0,1264.0,974.0,59.0,915.0,,,,,,,,,,,,,,,,,,
klosa,incident_hypertension,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,20,20,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,2334.0,144.0,2190.0,183.0,9.0,174.0,,,,,,,,,,,,
klosa,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,8857,3246,589,8268,22,22,,,,NOT_EVALUABLE_DIRECTION_CONTRACTION_2_PLUS_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,797.0,72.0,725.0,355.0,26.0,329.0,1998.0,120.0,1878.0,164.0,7.0,157.0
