cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
mhas,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY
mhas,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY
mhas,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_heart_disease,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY
mhas,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_hypertension,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_hypertension,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY
mhas,incident_cancer,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_cancer,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_cancer,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY
mhas,incident_arthritis,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_arthritis,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,0.0,0.0,0.0,0.0,18.0,0.0,NOT_EVALUABLE_CLUSTERS
mhas,incident_arthritis,sensitivity,stabilized_ipcw,,,,,,,,NOT_EVALUABLE_EMPTY
