cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status
mhas,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,20,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,20,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
mhas,incident_stroke,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS
