cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
share,incident_diabetes,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,29573,20827,908,28665,18,18,7835,288,7547,PASS,,any_withdrawal,risk_ratio,0.9519940357585992,0.1260529107577474,0.7435972849230909,1.2187949882222626,0.6963261136244127,
share,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,29573,20827,908,28665,19,19,7835,288,7547,PASS,,any_withdrawal,risk_ratio,0.9521904954304279,0.1260246284748325,0.7437919674119774,1.2189789340462882,0.6974723058148823,0.4194305799832005
share,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,29573,20827,908,28665,19,19,7835,288,7547,PASS,,context_self_rated_health_worsening,risk_ratio,0.9487024050773435,0.07337064500342613,0.8216309594420655,1.0954264114033776,0.4729254257932799,0.4194305799832005
share,incident_diabetes,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,29579,20832,909,28670,18,18,7831,289,7542,PASS,,any_withdrawal,risk_ratio,0.9468864894107393,0.12612580061839615,0.7395021547368458,1.212429224290293,0.6652245357437225,
share,incident_diabetes,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,29579,20832,909,28670,19,19,7831,289,7542,PASS,,any_withdrawal,risk_ratio,0.9443173285188279,0.12618320904188018,0.7374127068202686,1.2092756318047564,0.6497955195145962,-4.978300169401962
share,incident_diabetes,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,29579,20832,909,28670,19,19,7831,289,7542,PASS,,context_transition_hospitalization,risk_ratio,0.8302901120814347,0.09318546497546523,0.6916880209010918,0.9966656200321559,0.04595504753308229,-4.978300169401962
share,incident_diabetes,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,29237,20643,889,28348,18,18,7703,281,7422,PASS,,any_withdrawal,risk_ratio,0.9371024458091753,0.12804290402267196,0.7291162102097118,1.2044184200608539,0.6119087054726768,
share,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,29237,20643,889,28348,19,19,7703,281,7422,PASS,,any_withdrawal,risk_ratio,0.9367405812810007,0.12801566872881168,0.7288735664779797,1.2038890652308722,0.6097181911450331,-0.5945370838973161
share,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,29237,20643,889,28348,19,19,7703,281,7422,PASS,,context_bmi_or_weight_loss,risk_ratio,1.046288467565324,0.13168239732109419,0.8082825048011893,1.3543774000520508,0.7311297749989624,-0.5945370838973161
share,incident_diabetes,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,29589,20837,907,28682,18,18,7841,288,7553,PASS,,any_withdrawal,risk_ratio,0.9542719356785372,0.126077755543379,0.7453402448319694,1.2217707731976248,0.7104499557343168,
