cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,metric,estimate,ci_low,ci_high,bootstrap_replicates,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M0_routine,PASS,c_statistic,0.6491027998673301,0.6296353003971346,0.6670692931082226,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M0_routine,PASS,brier_score,0.02824166452048456,0.026454144603586197,0.030096849432081206,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M1_withdrawal,PASS,c_statistic,0.6483676202179086,0.6288267123224959,0.6664132804254314,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M1_withdrawal,PASS,brier_score,0.028241190090790014,0.026446343644061777,0.030095871363270077,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M2_fried,PASS,c_statistic,0.6522227411448446,0.6319879900330991,0.6699182656511778,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M2_fried,PASS,brier_score,0.028237350731640826,0.026433459990729165,0.03006452200285386,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M3_fried_withdrawal,PASS,c_statistic,0.6515905361236409,0.6314629666171813,0.6696663683625586,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M3_fried_withdrawal,PASS,brier_score,0.02823634803096458,0.0264245500604168,0.03006286523671617,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M1_withdrawal_minus_M0_routine,PASS,delta_c_statistic,-0.0007351796494214913,-0.0014771972306027753,-3.4752309552688125e-05,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M1_withdrawal_minus_M0_routine,PASS,delta_brier_score,-4.744296945476123e-07,-6.753916939529307e-06,5.409474525653026e-06,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M2_fried_minus_M0_routine,PASS,delta_c_statistic,0.003119941277514471,-0.0004007016565789612,0.006640689242824279,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M2_fried_minus_M0_routine,PASS,delta_brier_score,-4.313788843735705e-06,-3.4245223111513485e-05,2.287622056568701e-05,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M3_fried_withdrawal_minus_M0_routine,PASS,delta_c_statistic,0.002487736256310824,-0.0013571612114479325,0.006221916660856299,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M3_fried_withdrawal_minus_M0_routine,PASS,delta_brier_score,-5.316489519981843e-06,-3.6901318857447944e-05,2.4954458249531666e-05,500,,,
share,incident_diabetes,head_to_head_cv,28199,19990,827,27372,21,21,11912,366,11546,2033,129,1904,6602.0,228.0,6374.0,710.0,32.0,678.0,M3_fried_withdrawal_minus_M2_fried,PASS,delta_c_statistic,-0.0006322050212036467,-0.0014041350503344457,0.00013366586869949972,500,,,
