cohort,outcome_id,flag,analysis_n,events,flag_n,flag_events,population_coverage,event_coverage,flag_risk
share,incident_diabetes,withdrawal,28199,827,7312,260,0.25929997517642467,0.3143893591293833,0.03555798687089715
share,incident_diabetes,frail,28199,827,2033,129,0.07209475513316076,0.15598548972188633,0.06345302508607968
share,incident_diabetes,either,28199,827,8014,297,0.28419447498138234,0.3591293833131802,0.03706014474669329
share,incident_diabetes,both,28199,827,1331,92,0.04720025532820313,0.11124546553808948,0.06912096168294515
share,incident_stroke,withdrawal,31291,667,8218,215,0.26263142756703206,0.32233883058470764,0.02616208323192991
share,incident_stroke,frail,31291,667,2354,109,0.07522929915950273,0.1634182908545727,0.04630416312659303
share,incident_stroke,either,31291,667,9028,248,0.28851746508580745,0.37181409295352325,0.027470093043863535
share,incident_stroke,both,31291,667,1544,76,0.049343261640727366,0.11394302848575712,0.04922279792746114
share,incident_heart_disease,withdrawal,26644,1340,6874,387,0.25799429515087824,0.28880597014925374,0.056299098050625544
share,incident_heart_disease,frail,26644,1340,1661,195,0.062340489416003605,0.1455223880597015,0.11739915713425647
share,incident_heart_disease,either,26644,1340,7446,458,0.27946254316168745,0.3417910447761194,0.06150953532097771
share,incident_heart_disease,both,26644,1340,1089,124,0.040872241405194416,0.09253731343283582,0.11386593204775022
share,incident_hypertension,withdrawal,15238,1750,3828,462,0.25121407008793806,0.264,0.1206896551724138
share,incident_hypertension,frail,15238,1750,767,147,0.05033468959180995,0.084,0.19165580182529335
share,incident_hypertension,either,15238,1750,4104,524,0.26932668329177056,0.29942857142857143,0.1276803118908382
share,incident_hypertension,both,15238,1750,491,85,0.03222207638797742,0.04857142857142857,0.17311608961303462
share,incident_cancer,withdrawal,29906,816,7962,237,0.26623420049488394,0.29044117647058826,0.029766390354182368
share,incident_cancer,frail,29906,816,2441,91,0.08162241690630642,0.11151960784313726,0.03727980335927898
share,incident_cancer,either,29906,816,8802,264,0.29432220959004884,0.3235294117647059,0.029993183367416496
share,incident_cancer,both,29906,816,1601,64,0.05353440781114158,0.0784313725490196,0.03997501561524047
share,incident_arthritis,withdrawal,19598,2510,4940,666,0.2520665374017757,0.2653386454183267,0.13481781376518218
share,incident_arthritis,frail,19598,2510,923,212,0.0470966425145423,0.08446215139442231,0.2296858071505959
share,incident_arthritis,either,19598,2510,5238,745,0.2672721706296561,0.2968127490039841,0.1422298587247041
share,incident_arthritis,both,19598,2510,625,133,0.03189100928666191,0.05298804780876494,0.2128
