cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
share,incident_diabetes,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,17,17,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,19,19,PASS,,loss_1,6602.0,228.0,6374.0,710.0,32.0,678.0,risk_ratio,1.0261091711049128,0.13437467155565605,0.7885216852855464,1.3352835447313358,0.8478925536734977,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,19,19,PASS,,loss_2plus,6602.0,228.0,6374.0,710.0,32.0,678.0,risk_ratio,1.1731512574557215,0.2825262196035074,0.6743218872742821,2.040989472302466,0.5719144080102538,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,19,19,PASS,,prefrail,,,,,,,risk_ratio,1.101973956595957,0.08197317040163982,0.9384165136914012,1.2940379706650034,0.23618692940134378,11912.0,366.0,11546.0,2033.0,129.0,1904.0,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,19,19,PASS,,frail,,,,,,,risk_ratio,1.6559909429879864,0.14400416940443797,1.2487669208032994,2.196011087076351,0.0004606137087492342,11912.0,366.0,11546.0,2033.0,129.0,1904.0,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,21,21,PASS,,prefrail,6602.0,228.0,6374.0,710.0,32.0,678.0,risk_ratio,1.1011269713146277,0.08199016044050467,0.93766401525833,1.2930864224564296,0.24001552183273733,11912.0,366.0,11546.0,2033.0,129.0,1904.0,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,21,21,PASS,,frail,6602.0,228.0,6374.0,710.0,32.0,678.0,risk_ratio,1.6561439711542771,0.1438208428281865,1.2493311387680714,2.1954250303048286,0.00045186119934954237,11912.0,366.0,11546.0,2033.0,129.0,1904.0,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,21,21,PASS,,loss_1,6602.0,228.0,6374.0,710.0,32.0,678.0,risk_ratio,1.0281988898334435,0.1337836472231408,0.7910433494566161,1.3364538843300222,0.8353362278456028,11912.0,366.0,11546.0,2033.0,129.0,1904.0,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,21,21,PASS,,loss_2plus,6602.0,228.0,6374.0,710.0,32.0,678.0,risk_ratio,1.1825141247967559,0.2813730579807564,0.6812415929601826,2.052633999148035,0.5513071382916301,11912.0,366.0,11546.0,2033.0,129.0,1904.0,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,18,18,PASS,,any_withdrawal,,,,,,,risk_ratio,1.0041543693487827,0.13029981624688872,0.7778378595635663,1.2963190015564536,0.9746179005408613,,,,,,,7312.0,260.0,7052.0,,,,,,,,,
