cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,risk_set_n,observed_n,unknown_n,weight_mean,weight_min,weight_max,weight_effective_n,weight_truncation_low,weight_truncation_high,imputations,ordinary_covariate_missing_cells,rubin_within_variance,rubin_between_variance,rubin_degrees_freedom
share,incident_diabetes,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,31514,22329,2826,28688.0,18.0,18.0,8776.0,1223.0,7553.0,PASS,,any_withdrawal,risk_ratio,1.1056893225884254,0.06780697352416024,0.9680899580177266,1.2628463583997482,0.13842261373722137,,,,,,,,,,,,,,
share,incident_diabetes,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,20844,20844,686,20158.0,18.0,18.0,5566.0,225.0,5341.0,PASS,,any_withdrawal,risk_ratio,0.9834755640042766,0.14655749404249824,0.7379273526258365,1.3107309026447722,0.9094815606768014,,,,,,,,,,,,,,
share,incident_diabetes,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688.0,18.0,18.0,7842.0,289.0,7553.0,PASS,,any_withdrawal,risk_ratio,0.945161134032468,0.1266973194140348,0.7373282960355438,1.2115764091637098,0.6562082656003383,38267.0,29597.0,8670.0,0.9987130848817117,0.899886106229093,1.308602980589994,29447.358744549525,0.899886106229093,1.308602980589994,,,,,
share,incident_diabetes,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,51749,29779,1510,,,,,,,PASS,,any_withdrawal,risk_ratio,1.0223070781475565,0.09672225487552065,0.8457679715790822,1.2356956010988798,,,,,,,,,,,20.0,22374.0,0.00935292338008748,2.1630553501893425e-06,322363147.83158547
share,incident_stroke,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,34767,24592,2648,32119.0,18.0,18.0,9770.0,1177.0,8593.0,PASS,,any_withdrawal,risk_ratio,1.1605905813535957,0.07116589116981742,1.0094911719863042,1.334306366321499,0.03637577135547752,,,,,,,,,,,,,,
share,incident_stroke,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,23186,23186,539,22647.0,18.0,18.0,6245.0,175.0,6070.0,PASS,,any_withdrawal,risk_ratio,1.0809424491160708,0.16946884797165426,0.7754439772040953,1.506796896551973,0.6460346071461883,,,,,,,,,,,,,,
share,incident_stroke,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119.0,18.0,18.0,8836.0,243.0,8593.0,PASS,,any_withdrawal,risk_ratio,1.0957006433199832,0.14199979269785054,0.829509709696276,1.4473126543767747,0.5198213800478935,42371.0,32850.0,9521.0,0.9987785783524534,0.9023160305745899,1.2875557748911122,32697.224615575848,0.9023160305745899,1.2875557748911122,,,,,
share,incident_stroke,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,57656,33234,1233,,,,,,,PASS,,any_withdrawal,risk_ratio,1.1035367148222717,0.10716028619867679,0.89448237119322,1.3614502869813097,,,,,,,,,,,20.0,25069.0,0.011482260924050533,1.0152515540817606e-06,2204769214.8889236
share,incident_heart_disease,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,29887,21343,3353,26534.0,18.0,18.0,8316.0,1367.0,6949.0,PASS,,any_withdrawal,risk_ratio,1.0528320728212854,0.061477928816032895,0.9333166180376292,1.1876520273385662,0.4023483174623468,,,,,,,,,,,,,,
share,incident_heart_disease,sensitivity,first_eligible_interval,PASS_BASELINE_FREE_RISK_SET,19791,19791,1045,18746.0,18.0,18.0,5251.0,315.0,4936.0,PASS,,any_withdrawal,risk_ratio,0.9290257667522821,0.12043287339101805,0.7336942436450387,1.176360429109797,0.5410109441499463,,,,,,,,,,,,,,
share,incident_heart_disease,sensitivity,stabilized_ipcw,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534.0,18.0,18.0,7382.0,433.0,6949.0,PASS,,any_withdrawal,risk_ratio,0.9306042196055256,0.10109768227371464,0.763326806577304,1.134539238089636,0.47683447410252444,35879.0,27970.0,7909.0,0.9987277960685912,0.9089308973342681,1.2727823750233695,27861.210965441445,0.9089308973342681,1.2727823750233695,,,,,
share,incident_heart_disease,sensitivity,multiple_imputation_covariates,PASS_BASELINE_FREE_RISK_SET,49091,28581,2480,,,,,,,PASS,,any_withdrawal,risk_ratio,0.9924227347107477,0.07469295406493123,0.8572706335370773,1.1488820984186456,,,,,,,,,,,20.0,21347.0,0.005578951143166222,8.21369330517956e-08,79509053103.193
share,incident_hypertension,sensitivity,diagnosis_or_death,PASS_BASELINE_FREE_RISK_SET,17823,13203,3780,14043.0,18.0,18.0,5008.0,1441.0,3567.0,PASS,,any_withdrawal,risk_ratio,1.068988921402157,0.05183759598778393,0.9657149677919256,1.1833070338480693,0.19810583704998053,,,,,,,,,,,,,,
