cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
share,incident_diabetes,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,18,18,7842.0,289.0,7553.0,PASS,,any_withdrawal,risk_ratio,0.9464750653722168,0.12619299350912963,0.7390834991105897,1.2120620341941912,0.6628913068320788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_diabetes,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,18,18,,,,PASS,,two_domain_any,risk_ratio,0.8758709314209319,0.13335614425315348,0.6744149010187693,1.1375043572574037,0.32029395172796704,5782.0,240.0,5542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,20,20,,,,PASS,,alcohol_loss,risk_ratio,0.9647033865580754,0.13919263087886147,0.7343664386179,1.2672864323540385,0.7962799522416938,,,,3254.0,111.0,3143.0,2956.0,151.0,2805.0,2437.0,65.0,2372.0,,,,,,,,,,,,,,,,,,
share,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,20,20,,,,PASS,,activity_loss,risk_ratio,0.8479457143369065,0.1965015777319945,0.5769067273323109,1.2463226729685197,0.40125848134414255,,,,3254.0,111.0,3143.0,2956.0,151.0,2805.0,2437.0,65.0,2372.0,,,,,,,,,,,,,,,,,,
share,incident_diabetes,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,20,20,,,,PASS,,work_loss,risk_ratio,1.1772587580796567,0.15920466606052702,0.8617011500600475,1.6083745314470992,0.3053517273963122,,,,3254.0,111.0,3143.0,2956.0,151.0,2805.0,2437.0,65.0,2372.0,,,,,,,,,,,,,,,,,,
share,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,19,19,,,,PASS,,loss_1,risk_ratio,0.9723137782502468,0.12981346305602984,0.7538918006132524,1.254018259127159,0.8287655728356755,,,,,,,,,,,,,7068.0,252.0,6816.0,774.0,37.0,737.0,,,,,,,,,,,,
share,incident_diabetes,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,19,19,,,,PASS,,loss_2plus,risk_ratio,1.1398116203669235,0.26638487177871,0.6762166600526279,1.9212341349625448,0.6232458288525693,,,,,,,,,,,,,7068.0,252.0,6816.0,774.0,37.0,737.0,,,,,,,,,,,,
share,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,21,21,,,,PASS,,direction_expansion,risk_ratio,0.975200828487655,0.40174370723672254,0.44374063241840805,2.1431813685844396,0.9501589739697973,,,,,,,,,,,,,,,,,,,3325.0,102.0,3223.0,770.0,25.0,745.0,6326.0,228.0,6098.0,746.0,36.0,710.0
share,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,21,21,,,,PASS,,direction_mixed,risk_ratio,0.888213179301007,0.2071257982626596,0.5918496754871599,1.3329780931866342,0.5671010783708552,,,,,,,,,,,,,,,,,,,3325.0,102.0,3223.0,770.0,25.0,745.0,6326.0,228.0,6098.0,746.0,36.0,710.0
share,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,21,21,,,,PASS,,direction_contraction_1,risk_ratio,1.037287730229843,0.381917222808975,0.49069395899323404,2.192743186594265,0.923634321811906,,,,,,,,,,,,,,,,,,,3325.0,102.0,3223.0,770.0,25.0,745.0,6326.0,228.0,6098.0,746.0,36.0,710.0
share,incident_diabetes,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,21,21,,,,PASS,,direction_contraction_2_plus,risk_ratio,1.2662865138440873,0.7781642533729645,0.2755226889353718,5.819780364874175,0.7615913343301153,,,,,,,,,,,,,,,,,,,3325.0,102.0,3223.0,770.0,25.0,745.0,6326.0,228.0,6098.0,746.0,36.0,710.0
share,incident_diabetes,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,15,15,7842.0,289.0,7553.0,PASS,,any_withdrawal,risk_ratio,1.3089252163013472,0.07339375666594146,1.1335533258222787,1.5114288695917442,0.0002444805106471825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_diabetes,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,15,15,,,,PASS,,two_domain_any,risk_ratio,1.3390053769856065,0.0760577510376572,1.1535644028136112,1.5542568713314067,0.00012392477299060032,5782.0,240.0,5542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_diabetes,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,29597,20844,909,28688,17,17,,,,PASS,,alcohol_loss,risk_ratio,1.164873457664139,0.10384680570315127,0.9503513335176906,1.427819506863614,0.14167221988973025,,,,3254.0,111.0,3143.0,2956.0,151.0,2805.0,2437.0,65.0,2372.0,,,,,,,,,,,,,,,,,,
