cohort,outcome_id,risk_model,state,standardized_risk,n
share,incident_diabetes,four_state,neither,0.02774517077857293,28199
share,incident_diabetes,four_state,withdrawal_only,0.0277428381785776,28199
share,incident_diabetes,four_state,frailty_only,0.041247346527612604,28199
share,incident_diabetes,four_state,both,0.042911803303445906,28199
share,incident_stroke,four_state,neither,0.01971541817200048,31291
share,incident_stroke,four_state,withdrawal_only,0.020878472775186237,31291
share,incident_stroke,four_state,frailty_only,0.02872903515313733,31291
share,incident_stroke,four_state,both,0.03404470581663072,31291
share,incident_heart_disease,four_state,neither,0.047477517272699506,26644
share,incident_heart_disease,four_state,withdrawal_only,0.04696246388415226,26644
share,incident_heart_disease,four_state,frailty_only,0.0893692224411602,26644
share,incident_heart_disease,four_state,both,0.07415772186537736,26644
share,incident_hypertension,four_state,neither,0.11447582468226372,15238
share,incident_hypertension,four_state,withdrawal_only,0.11083611085669541,15238
share,incident_hypertension,four_state,frailty_only,0.16631662528580396,15238
share,incident_hypertension,four_state,both,0.11271509242309351,15238
share,incident_cancer,four_state,neither,0.027682683577664225,29906
share,incident_cancer,four_state,withdrawal_only,0.025096731937508273,29906
share,incident_cancer,four_state,frailty_only,0.031033806266033928,29906
share,incident_cancer,four_state,both,0.02905934125028479,29906
share,incident_arthritis,four_state,neither,0.12024942960946479,19598
share,incident_arthritis,four_state,withdrawal_only,0.1396846521103046,19598
share,incident_arthritis,four_state,frailty_only,0.20230484205031338,19598
share,incident_arthritis,four_state,both,0.1862906464534862,19598
