cohort,t1_wave,behavior_complete_n,shrinking_observed_n,shrinking_deficit_n,exhaustion_observed_n,exhaustion_deficit_n,weakness_observed_n,weakness_deficit_n,slowness_observed_n,slowness_deficit_n,low_activity_observed_n,low_activity_deficit_n,fried5_complete_n,fried_robust_n,fried_prefrail_n,fried_frail_n,fi_complete_n
hrs,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hrs,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hrs,8,13248,5142,67,12281,4228,5172,1170,3962,800,13231,1940,3847,1795,1772,280,12281
hrs,9,12952,4903,55,12064,3789,4931,1274,3838,770,12935,1950,3729,1754,1663,312,12061
hrs,10,12600,4842,477,11579,3678,4818,1206,3706,740,12561,2218,3586,1514,1708,364,11583
hrs,11,13274,5013,553,12376,4005,5024,1428,3584,721,13225,2252,3481,1424,1657,400,12377
hrs,12,13038,5306,504,12218,4055,5298,1551,3821,764,12973,2249,3713,1481,1798,434,12217
hrs,13,12661,4677,493,11920,3838,4676,1464,3296,659,12572,2011,3187,1252,1576,359,11917
hrs,14,11367,4550,461,10837,3515,4524,1422,3332,669,11309,1763,3167,1297,1522,348,0
hrs,15,10674,0,0,10166,3219,0,0,0,0,10566,1557,0,0,0,0,0
