exposure_model,term,outcome_id,estimate_scale,effect_scale,k_cohorts,cohorts,pooled_estimate,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_analysis_scale,direction_consistency,cohort_estimates
any_withdrawal,any_withdrawal,iadl_count_increase,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.4703139470677469,1.2707469467616734,1.7012223467867071,1.047400101701343,2.063989777574379,0.7109787237489279,0.008597620102619608,1.0,charls:1.2158;elsa:1.6835;hrs:1.4624;klosa:1.2996;share:1.5544
mutually_adjusted_components,activity_loss,iadl_count_increase,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.5127069436448064,1.2412418871041555,1.8435426012651122,0.9198078965889961,2.4877828357823932,0.8209689542628873,0.019362189477526565,1.0,charls:1.2527;elsa:1.7838;hrs:1.4752;klosa:1.2634;share:1.7158
mutually_adjusted_components,alcohol_loss,iadl_count_increase,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.4250795343612743,1.341317344557523,1.5140724806815116,1.3294884542102516,1.527543675030801,0.0,4.2300630066830894e-13,1.0,charls:1.6755;elsa:1.4994;hrs:1.4407;klosa:1.3234;share:1.3702
mutually_adjusted_components,work_loss,iadl_count_increase,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.2155049832825842,1.0915962977963891,1.3534787241101274,1.0745678979430533,1.3749269517663303,0.0,4.2300630066830894e-13,0.8,charls:0.87009;elsa:1.287;hrs:1.2468;klosa:1.2091;share:1.1945
score_categorical,loss_1,iadl_count_increase,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.4645021456266194,1.2674940895548863,1.6921313891871184,1.0204288202399052,2.1018286547813614,0.6669274402420579,0.0049900194083302,1.0,elsa:1.6402;hrs:1.4282;klosa:1.2952;share:1.4921
score_categorical,loss_2plus,iadl_count_increase,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,2.1737563474781805,1.4337072991284416,3.2958028888282587,0.7825573133592234,6.038173278220487,0.7022200061908768,0.03927747308209382,1.0,elsa:2.6323;hrs:2.0249;klosa:1.3971;share:2.5924
any_withdrawal,any_withdrawal,incident_any_adl,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.5024099998275502,1.4120666395893087,1.5985334858122018,1.3993189790085965,1.613095971285295,0.17389912105487998,4.2300630066830894e-13,1.0,charls:1.1261;elsa:1.5043;hrs:1.4934;klosa:1.6074;share:1.5453
mutually_adjusted_components,activity_loss,incident_any_adl,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.5586614810928705,1.4124678611813921,1.7199864714873174,1.2673059766724233,1.9170000436844663,0.307935989178691,0.001355331341868517,1.0,elsa:1.5335;hrs:1.5154;klosa:1.395;share:1.6903
mutually_adjusted_components,alcohol_loss,incident_any_adl,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.3967368674395317,1.2117822775415255,1.6099211162113594,1.0738187451656103,1.8167627317438209,0.3512866721324232,0.0017417050274138703,1.0,elsa:1.3414;hrs:1.4553;klosa:1.811;share:1.2942
mutually_adjusted_components,work_loss,incident_any_adl,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.344752013507498,0.9542434750592353,1.8950697857485637,0.5548233446904636,3.259340103725005,0.7208534287856543,0.03071793048626884,1.0,elsa:1.4378;hrs:1.2511;klosa:1.8601;share:1.0738
