cohort,scope,outcome_id,adjustment,exposure_model,analysis_family,outcome_coding_status,n,people,parameters,matrix_rank,events,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,standardized_estimate,standardized_standard_error,standardized_ci_low,standardized_ci_high,extended_loss_1_n,extended_loss_1_events,extended_loss_1_nonevents,extended_loss_2plus_n,extended_loss_2plus_events,extended_loss_2plus_nonevents,work_exit_retirement_n,work_exit_retirement_events,work_exit_retirement_nonevents,work_exit_no_retirement_n,work_exit_no_retirement_events,work_exit_no_retirement_nonevents
charls,comparable_22_30_months,incident_diabetes,basic,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1537,1537,7,7,31.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_diabetes,basic,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1537,1537,8,8,31.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1537,1537,9,9,31.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_diabetes,full,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1087,1087,12,12,24.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_diabetes,full,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1087,1087,13,13,24.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1087,1087,14,14,24.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_stroke,basic,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1624,1624,7,7,8.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_stroke,basic,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1624,1624,8,8,8.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_stroke,basic,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1624,1624,9,9,8.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_stroke,full,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1156,1156,12,12,7.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_stroke,full,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1156,1156,13,13,7.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_stroke,full,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1156,1156,14,14,7.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,basic,any_withdrawal,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,7,7,224.0,PASS,565.0,106.0,459.0,,any_withdrawal,risk_ratio,1.2242807276754584,0.1241103413449612,0.9599267604041682,1.5614350614899697,0.1030101607061198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,basic,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,8,8,224.0,PASS,,,,,loss_1,risk_ratio,1.179352097286419,0.1312086691746038,0.911923614492448,1.5252060011056932,0.2086545201903052,469.0,85.0,384.0,96.0,21.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,basic,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,8,8,224.0,PASS,,,,,loss_2plus,risk_ratio,1.4765202583750083,0.2193986635517967,0.9604769104356932,2.2698224701756287,0.0757057887714619,469.0,85.0,384.0,96.0,21.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,9,9,224.0,PASS,,,,,alcohol_loss,risk_ratio,1.3059801342992805,0.2038323413370013,0.8758589401223633,1.947327398343488,0.1903063058325198,,,,,,,119.0,23.0,96.0,344.0,69.0,275.0,208.0,37.0,171.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,9,9,224.0,PASS,,,,,activity_loss,risk_ratio,1.2642706766382106,0.1333789775712711,0.973436605354032,1.6419973678983637,0.0787281550301113,,,,,,,119.0,23.0,96.0,344.0,69.0,275.0,208.0,37.0,171.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,9,9,224.0,PASS,,,,,work_loss,risk_ratio,1.0293256137454612,0.1639394274319463,0.746461281883147,1.419378666820564,0.8600519232682936,,,,,,,119.0,23.0,96.0,344.0,69.0,275.0,208.0,37.0,171.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,full,any_withdrawal,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,966,966,12,12,153.0,PASS,392.0,72.0,320.0,,any_withdrawal,risk_ratio,1.1260929644035946,0.1445389012023264,0.8482864098285074,1.4948787930430667,0.4113009390546674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,full,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,966,966,13,13,153.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,332.0,59.0,273.0,60.0,13.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_adl,full,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,966,966,14,14,153.0,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,,,,64.0,11.0,53.0,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,multimorbidity_progression,basic,any_withdrawal,core,PASS_STRICT_COMMON_SIX,1588,1588,8,8,178.0,PASS,659.0,76.0,583.0,,any_withdrawal,risk_ratio,1.0370542656889186,0.1463261443592587,0.7784817616270383,1.3815115562062878,0.803630145503446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,multimorbidity_progression,basic,score_categorical,core,PASS_STRICT_COMMON_SIX,1588,1588,9,9,178.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,535.0,60.0,475.0,124.0,16.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,multimorbidity_progression,basic,mutually_adjusted_components,core,PASS_STRICT_COMMON_SIX,1588,1588,10,10,178.0,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,,,,145.0,18.0,127.0,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,multimorbidity_progression,full,any_withdrawal,core,PASS_STRICT_COMMON_SIX,1144,1144,12,12,125.0,PASS,469.0,53.0,416.0,,any_withdrawal,risk_ratio,1.0298177959850248,0.1763645064560409,0.7288508295400663,1.45506412278722,0.8676867447358048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,multimorbidity_progression,full,score_categorical,core,PASS_STRICT_COMMON_SIX,1144,1144,13,13,125.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,multimorbidity_progression,full,mutually_adjusted_components,core,PASS_STRICT_COMMON_SIX,1144,1144,14,14,125.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,mortality,basic,any_withdrawal,core,PASS_SOURCE_STATUS,1780,1780,7,7,58.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,mortality,basic,score_categorical,core,PASS_SOURCE_STATUS,1780,1780,8,8,58.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,mortality,basic,mutually_adjusted_components,core,PASS_SOURCE_STATUS,1780,1780,9,9,58.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,mortality,full,any_withdrawal,core,PASS_SOURCE_STATUS,1262,1262,12,12,34.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,mortality,full,score_categorical,core,PASS_SOURCE_STATUS,1262,1262,13,13,34.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,mortality,full,mutually_adjusted_components,core,PASS_SOURCE_STATUS,1262,1262,14,14,34.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_heart_disease,basic,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1407,1407,7,7,46.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_heart_disease,basic,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1407,1407,8,8,46.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_heart_disease,basic,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1407,1407,9,9,46.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_heart_disease,full,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1005,1005,12,12,34.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_heart_disease,full,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1005,1005,13,13,34.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_heart_disease,full,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1005,1005,14,14,34.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_hypertension,basic,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1099,1099,7,7,80.0,PASS,440.0,37.0,403.0,,any_withdrawal,risk_ratio,1.207060721364074,0.2218250489549926,0.7814681707981499,1.8644336896944391,0.3962356297169307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_hypertension,basic,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1099,1099,8,8,80.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,359.0,30.0,329.0,81.0,7.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_hypertension,basic,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1099,1099,9,9,80.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
