cohort,scope,outcome_id,adjustment,exposure_model,analysis_family,minimum_baseline_opportunities,outcome_coding_status,n,people,parameters,matrix_rank,events,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,extended_loss_1_n,extended_loss_1_events,extended_loss_1_nonevents,extended_loss_2plus_n,extended_loss_2plus_events,extended_loss_2plus_nonevents,work_exit_retirement_n,work_exit_retirement_events,work_exit_retirement_nonevents,work_exit_no_retirement_n,work_exit_no_retirement_events,work_exit_no_retirement_nonevents,standardized_estimate,standardized_standard_error,standardized_ci_low,standardized_ci_high
elsa,comparable_22_30_months,incident_diabetes,basic,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,22492,7371,13,13,359.0,5007.0,108.0,4899.0,PASS,,any_withdrawal,risk_ratio,1.7024601966336796,0.12198132493704257,1.3404365918922743,2.162258728725393,1.2891829107050755e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,basic,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,22492,7371,14,14,359.0,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4629.0,89.0,4540.0,378.0,19.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,22492,7371,15,15,359.0,,,,PASS,,alcohol_loss,risk_ratio,2.5332508887434986,0.20714879021697247,1.687923788077401,3.80192524724668,7.2189253641274485e-06,,,,,,,650.0,25.0,625.0,2522.0,66.0,2456.0,2221.0,37.0,2184.0,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,22492,7371,15,15,359.0,,,,PASS,,activity_loss,risk_ratio,1.8330588163103712,0.1386708141944077,1.396817248029806,2.4055434802173052,1.2426870450151583e-05,,,,,,,650.0,25.0,625.0,2522.0,66.0,2456.0,2221.0,37.0,2184.0,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,22492,7371,15,15,359.0,,,,PASS,,work_loss,risk_ratio,1.2374972041632473,0.19683208160220336,0.8413960227784767,1.82006960914176,0.2789847785671923,,,,,,,650.0,25.0,625.0,2522.0,66.0,2456.0,2221.0,37.0,2184.0,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,20240,6712,18,18,322.0,4474.0,96.0,4378.0,PASS,,any_withdrawal,risk_ratio,1.4484568601239776,0.1295279476492449,1.1237020575191337,1.8670672191098021,0.0042313773037524795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,20240,6712,19,19,322.0,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4138.0,78.0,4060.0,336.0,18.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,20240,6712,20,20,322.0,,,,PASS,,alcohol_loss,risk_ratio,2.227751189081884,0.2181894324184824,1.452591513546699,3.4165664016156994,0.00024152001115713395,,,,,,,589.0,23.0,566.0,2226.0,58.0,2168.0,2003.0,34.0,1969.0,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,20240,6712,20,20,322.0,,,,PASS,,activity_loss,risk_ratio,1.53205293569158,0.15113496006543273,1.139272095227419,2.060250758000571,0.004762113652496822,,,,,,,589.0,23.0,566.0,2226.0,58.0,2168.0,2003.0,34.0,1969.0,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,20240,6712,20,20,322.0,,,,PASS,,work_loss,risk_ratio,1.1609411357391466,0.20474590834722206,0.7771953020130108,1.7341642662538084,0.46608761175238234,,,,,,,589.0,23.0,566.0,2226.0,58.0,2168.0,2003.0,34.0,1969.0,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,extended_score_categorical,enrichment,1,PASS_BASELINE_FREE_RISK_SET,19890,6770,19,19,316.0,,,,PASS,,extended_loss_1,risk_ratio,1.1181667998471627,0.14065993949778516,0.8487438407155734,1.4731146575700902,0.42716825457268215,,,,,,,,,,,,,,,,4728.0,72.0,4656.0,592.0,31.0,561.0,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,extended_score_categorical,enrichment,1,PASS_BASELINE_FREE_RISK_SET,19890,6770,19,19,316.0,,,,PASS,,extended_loss_2plus,risk_ratio,3.788767607055979,0.2024868866285714,2.5476561801017406,5.634496558991501,4.755207600966353e-11,,,,,,,,,,,,,,,,4728.0,72.0,4656.0,592.0,31.0,561.0,,,,,,,,,,
elsa,comparable_22_30_months,incident_diabetes,full,work_exit_phenotype,enrichment,1,PASS_BASELINE_FREE_RISK_SET,6902,3242,19,19,120.0,,,,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_stroke,basic,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,23784,7783,13,13,234.0,5366.0,66.0,5300.0,PASS,,any_withdrawal,risk_ratio,1.3658989250584055,0.15392932273858836,1.0101681845128463,1.846900250947254,0.042796778419235154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_stroke,basic,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,23784,7783,14,14,234.0,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4958.0,58.0,4900.0,408.0,8.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_stroke,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,23784,7783,15,15,234.0,,,,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,715.0,7.0,708.0,,,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,incident_stroke,full,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,21419,7091,18,18,211.0,4795.0,58.0,4737.0,PASS,,any_withdrawal,risk_ratio,1.1933308353876673,0.16245081916813767,0.8679255530837203,1.6407380536584621,0.2765898702793709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
