cohort,scope,outcome_id,adjustment,exposure_model,analysis_family,minimum_baseline_opportunities,outcome_coding_status,n,people,parameters,matrix_rank,events,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,work_exit_retirement_n,work_exit_retirement_events,work_exit_retirement_nonevents,work_exit_no_retirement_n,work_exit_no_retirement_events,work_exit_no_retirement_nonevents,standardized_estimate,standardized_standard_error,standardized_ci_low,standardized_ci_high
hrs,comparable_22_30_months,incident_diabetes,basic,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,31421,11297,13,13,1029.0,9526.0,369.0,9157.0,PASS,,any_withdrawal,risk_ratio,1.352836973812757,0.06417468238349477,1.1929435011493184,1.534161404921204,2.4883480630349333e-06,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,basic,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,31421,11297,14,14,1029.0,,,,PASS,,loss_1,risk_ratio,1.2651209311754927,0.06847205213917877,1.1062378776651465,1.4468235113016261,0.000593633603278279,8280.0,302.0,7978.0,1246.0,67.0,1179.0,,,,,,,,,,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,basic,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,31421,11297,14,14,1029.0,,,,PASS,,loss_2plus,risk_ratio,1.9899527820114917,0.1257092877904479,1.5553883142495295,2.5459314811336498,4.404186998499659e-08,8280.0,302.0,7978.0,1246.0,67.0,1179.0,,,,,,,,,,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31421,11297,15,15,1029.0,,,,PASS,,alcohol_loss,risk_ratio,1.4379140488510416,0.09566625210165025,1.192069744649784,1.7344595995015633,0.00014677464039707303,,,,,,,2791.0,122.0,2669.0,4047.0,171.0,3876.0,3996.0,145.0,3851.0,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31421,11297,15,15,1029.0,,,,PASS,,activity_loss,risk_ratio,1.4146064865425503,0.0831923974854916,1.2017721849705776,1.6651338221954692,3.055796508110786e-05,,,,,,,2791.0,122.0,2669.0,4047.0,171.0,3876.0,3996.0,145.0,3851.0,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31421,11297,15,15,1029.0,,,,PASS,,work_loss,risk_ratio,1.1553626040079423,0.09095365070566629,0.9667149138155485,1.3808235785578333,0.11233646844173584,,,,,,,2791.0,122.0,2669.0,4047.0,171.0,3876.0,3996.0,145.0,3851.0,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,full,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,31213,11220,18,18,1024.0,9456.0,368.0,9088.0,PASS,,any_withdrawal,risk_ratio,1.2344099523703698,0.06659667933730465,1.0833585578370417,1.406522263093825,0.001565733813805857,,,,,,,,,,,,,,,,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,full,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,31213,11220,19,19,1024.0,,,,PASS,,loss_1,risk_ratio,1.1690022732668635,0.07052511354620165,1.018085542498343,1.3422902672299941,0.026820951594312862,8223.0,301.0,7922.0,1233.0,67.0,1166.0,,,,,,,,,,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,full,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,31213,11220,19,19,1024.0,,,,PASS,,loss_2plus,risk_ratio,1.7049894363396714,0.12903951392388066,1.3239849827911276,2.195635914163898,3.5518798077805686e-05,8223.0,301.0,7922.0,1233.0,67.0,1166.0,,,,,,,,,,,,,,,,,,,
hrs,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31213,11220,20,20,1024.0,,,,PASS,,alcohol_loss,risk_ratio,1.3208251300182736,0.09760620333214698,1.090844314231565,1.5992924025246829,0.004360816021334426,,,,,,,2769.0,122.0,2647.0,4014.0,170.0,3844.0,3968.0,145.0,3823.0,,,,,,,,,,
