cohort,scope,outcome_id,adjustment,exposure_model,analysis_family,minimum_baseline_opportunities,outcome_coding_status,n,people,parameters,matrix_rank,events,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,extended_loss_1_n,extended_loss_1_events,extended_loss_1_nonevents,extended_loss_2plus_n,extended_loss_2plus_events,extended_loss_2plus_nonevents,work_exit_retirement_n,work_exit_retirement_events,work_exit_retirement_nonevents,work_exit_no_retirement_n,work_exit_no_retirement_events,work_exit_no_retirement_nonevents,standardized_estimate,standardized_standard_error,standardized_ci_low,standardized_ci_high
share,comparable_22_30_months,incident_diabetes,basic,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,31984,19859,10,10,773.0,9552.0,299.0,9253.0,PASS,,any_withdrawal,risk_ratio,1.5902576127758956,0.07423091608649136,1.374934511044574,1.839301621042593,4.121271001150495e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,basic,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,31984,19859,11,11,773.0,,,,PASS,,loss_1,risk_ratio,1.4581653449330734,0.07946013919406725,1.247872400378468,1.7038971072033633,2.0669040283000706e-06,8310.0,239.0,8071.0,1242.0,60.0,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,basic,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,31984,19859,11,11,773.0,,,,PASS,,loss_2plus,risk_ratio,2.5568325913469256,0.13580940901810523,1.9593007962702444,3.3365948263883305,4.76515362163462e-12,8310.0,239.0,8071.0,1242.0,60.0,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31984,19859,12,12,773.0,,,,PASS,,alcohol_loss,risk_ratio,1.4824551069030305,0.09089457905517882,1.2405433486924637,1.7715407900088536,1.4817319818395283e-05,,,,,,,4543.0,155.0,4388.0,2363.0,104.0,2259.0,3938.0,101.0,3837.0,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31984,19859,12,12,773.0,,,,PASS,,activity_loss,risk_ratio,1.775189294706361,0.10610526531898658,1.4418753079918085,2.185554475184875,6.343206913042703e-08,,,,,,,4543.0,155.0,4388.0,2363.0,104.0,2259.0,3938.0,101.0,3837.0,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,basic,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,31984,19859,12,12,773.0,,,,PASS,,work_loss,risk_ratio,1.3114839451712763,0.11173012872656708,1.0535572025135396,1.6325550566580753,0.015227915786664594,,,,,,,4543.0,155.0,4388.0,2363.0,104.0,2259.0,3938.0,101.0,3837.0,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,any_withdrawal,core,2,PASS_BASELINE_FREE_RISK_SET,18540,13369,15,15,464.0,6006.0,181.0,5825.0,PASS,,any_withdrawal,risk_ratio,1.244994984718093,0.097218718584985,1.028998824541103,1.5063306925199405,0.024195838035374603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,18540,13369,16,16,464.0,,,,PASS,,loss_1,risk_ratio,1.1600337499664777,0.10349866589274796,0.9470488926864633,1.4209174536322469,0.15148401625537872,5232.0,144.0,5088.0,774.0,37.0,737.0,,,,,,,,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,score_categorical,core,2,PASS_BASELINE_FREE_RISK_SET,18540,13369,16,16,464.0,,,,PASS,,loss_2plus,risk_ratio,1.8241840552325637,0.17693817467215012,1.289610641071804,2.5803505037761556,0.0006802517606618925,5232.0,144.0,5088.0,774.0,37.0,737.0,,,,,,,,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,18540,13369,17,17,464.0,,,,PASS,,alcohol_loss,risk_ratio,1.1322014877377435,0.11782341661961523,0.8987362253960083,1.4263141649494853,0.2919681187570836,,,,,,,2942.0,92.0,2850.0,1501.0,69.0,1432.0,2368.0,58.0,2310.0,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,18540,13369,17,17,464.0,,,,PASS,,activity_loss,risk_ratio,1.6729681895259316,0.13289790445955368,1.2893320601279799,2.170753873046375,0.00010788356519224184,,,,,,,2942.0,92.0,2850.0,1501.0,69.0,1432.0,2368.0,58.0,2310.0,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,mutually_adjusted_components,core,2,PASS_BASELINE_FREE_RISK_SET,18540,13369,17,17,464.0,,,,PASS,,work_loss,risk_ratio,1.0232410140181207,0.1477188305233278,0.7660188255425785,1.366836085297533,0.8764016649189311,,,,,,,2942.0,92.0,2850.0,1501.0,69.0,1432.0,2368.0,58.0,2310.0,,,,,,,,,,,,,,,,
share,comparable_22_30_months,incident_diabetes,full,extended_score_categorical,enrichment,1,PASS_BASELINE_FREE_RISK_SET,22760,19812,15,15,756.0,,,,PASS,,extended_loss_1,risk_ratio,1.2799363488811326,0.0830529778452591,1.087660983546909,1.5062019158256492,0.002961348345218048,,,,,,,,,,,,,,,,6337.0,224.0,6113.0,1238.0,51.0,1187.0,,,,,,,,,,
