cohort,scope,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2plus_n,loss_2plus_events,score_support
charls,comparable_22_30_months,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,1537,1537,31,899,15,521,14,117,2,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,incident_stroke,PASS_BASELINE_FREE_RISK_SET,1624,1624,8,957,5,543,2,124,1,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,1385,1385,224,820,118,469,85,96,21,ESTIMABLE
charls,comparable_22_30_months,multimorbidity_progression,PASS_STRICT_COMMON_SIX,1588,1588,178,929,102,535,60,124,16,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,mortality,PASS_SOURCE_STATUS,1780,1780,58,1035,21,595,23,150,14,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,1407,1407,46,840,31,462,12,105,3,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,1099,1099,80,659,43,359,30,81,7,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,1318,1318,216,800,118,426,79,92,19,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,comparable_22_30_months,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,268,966,141,544,103,124,24,ESTIMABLE
charls,all_primary_wave_intervals,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,2476,1865,103,1455,55,837,41,184,7,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,all_primary_wave_intervals,incident_stroke,PASS_BASELINE_FREE_RISK_SET,2628,1979,79,1544,34,886,35,198,10,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,all_primary_wave_intervals,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,2197,1712,364,1301,197,741,138,155,29,ESTIMABLE
charls,all_primary_wave_intervals,multimorbidity_progression,PASS_STRICT_COMMON_SIX,2569,1940,482,1507,277,863,167,199,38,ESTIMABLE
charls,all_primary_wave_intervals,mortality,PASS_SOURCE_STATUS,2875,2157,114,1671,51,966,38,238,25,ESTIMABLE
charls,all_primary_wave_intervals,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,2255,1701,123,1344,77,746,39,165,7,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,all_primary_wave_intervals,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,1755,1335,178,1057,102,576,61,122,15,NOT_EVALUABLE_CATEGORY_SUPPORT
charls,all_primary_wave_intervals,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,2115,1665,376,1280,212,695,137,140,27,ESTIMABLE
charls,all_primary_wave_intervals,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,2650,1997,478,1558,257,893,182,199,39,ESTIMABLE
