cohort,scope,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2plus_n,loss_2plus_events,score_support
elsa,comparable_22_30_months,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,27503,8324,478,21892,358,5233,101,378,19,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,comparable_22_30_months,incident_stroke,PASS_BASELINE_FREE_RISK_SET,29362,8803,324,23269,245,5685,71,408,8,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,comparable_22_30_months,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,25590,8231,2461,20607,1815,4656,593,327,53,ESTIMABLE
elsa,comparable_22_30_months,multimorbidity_progression,PASS_STRICT_COMMON_SIX,30579,9120,4035,24163,3117,5979,844,437,74,ESTIMABLE
elsa,comparable_22_30_months,mortality,PASS_SOURCE_STATUS,32215,9732,584,25342,383,6395,179,478,22,ESTIMABLE
elsa,comparable_22_30_months,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,24929,7673,977,19795,746,4792,220,342,11,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,comparable_22_30_months,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,16909,5397,892,13542,701,3165,169,202,22,ESTIMABLE
elsa,comparable_22_30_months,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,28385,8672,1561,22709,1109,5305,414,371,38,ESTIMABLE
elsa,comparable_22_30_months,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,30572,9117,1917,24158,1336,5977,533,437,48,ESTIMABLE
elsa,all_primary_wave_intervals,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,30649,8617,559,24456,418,5785,121,408,20,ESTIMABLE
elsa,all_primary_wave_intervals,incident_stroke,PASS_BASELINE_FREE_RISK_SET,32763,9118,427,26021,329,6298,87,444,11,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,all_primary_wave_intervals,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,28661,8551,2812,23137,2076,5172,678,352,58,ESTIMABLE
elsa,all_primary_wave_intervals,multimorbidity_progression,PASS_STRICT_COMMON_SIX,34109,9446,5250,27008,4107,6627,1059,474,84,ESTIMABLE
elsa,all_primary_wave_intervals,mortality,PASS_SOURCE_STATUS,35745,10043,584,28187,383,7043,179,515,22,ESTIMABLE
elsa,all_primary_wave_intervals,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,27745,7954,1378,22090,1069,5287,295,368,14,NOT_EVALUABLE_CATEGORY_SUPPORT
elsa,all_primary_wave_intervals,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,18909,5627,1224,15194,973,3492,225,223,26,ESTIMABLE
elsa,all_primary_wave_intervals,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,31731,8984,1797,25435,1278,5894,475,402,44,ESTIMABLE
elsa,all_primary_wave_intervals,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,34101,9443,2194,27002,1531,6625,608,474,55,ESTIMABLE
